Nome: CRUZETA
Codigo Estacao: 82693
Latitude: -6.42638888
Longitude: -36.79138888
Altitude: 226.33
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;199,9;33,7;27,6;22,9;70,8;
2010-02-28;44,5;35;28,7;23,6;65,7;
2010-03-31;128,9;36,2;28,9;23,5;62,4;
2010-04-30;82,7;33,7;28;23,6;68,4;
2010-05-31;25,3;34,7;28,2;23;63,4;
2010-06-30;118,1;31,4;26;21,7;69;
2010-07-31;7,8;31,8;26;21,1;58,1;
2010-08-31;,1;32,7;26,3;20,9;52,8;
2010-09-30;1,9;34,3;27,1;21,4;48,8;
2010-10-31;91,8;35,6;28,4;22,9;51,6;
2010-11-30;,1;36;28,5;22,9;49,4;
2010-12-31;39,5;34,7;28,1;22,8;55,9;
2011-01-31;116,1;33,2;27,3;22,8;71,8;
2011-02-28;106,8;33,2;27,3;22,7;73,2;
2011-03-31;121,7;32,8;26,8;22,3;72,7;
2011-04-30;242,7;32,2;26,5;22,4;76,1;
2011-05-31;214,1;30,1;25,4;22,2;80,1;
2011-06-30;29,6;30,9;25,5;21,2;68,8;
2011-07-31;74;30;24,7;20,7;69,6;
2011-08-31;4,7;32,2;25,6;20,2;62,6;
2011-09-30;0;33,7;26,9;21,1;53,9;
2011-10-31;2,2;35,4;28,2;23;51,5;
2011-11-30;7,2;35,6;28,4;23,2;51,3;
2011-12-31;3,2;36;28,8;23,2;49;
2012-01-31;16,6;35,1;28,3;23,5;61;
2012-02-29;103,1;34,3;27,7;23;65,2;
2012-03-31;44,9;35,1;28,3;22,8;56,3;
2012-04-30;3,8;36,1;28,9;23,5;52,3;
2012-05-31;8,9;34,9;28,2;23;53,7;
2012-06-30;17,6;33;27;22,2;57,5;
2012-07-31;,9;32;26,2;21,5;56,9;
2012-08-31;0;33,4;26,5;20,9;49,9;
2012-09-30;0;34,6;27,3;21,3;47,7;
2012-10-31;0;35,4;28,1;22,6;49;
2012-11-30;0;36,4;28,7;23,3;48,5;
2012-12-31;0;36,2;29,1;23,9;50,1;
2013-01-31;24,4;36,3;29,3;24,4;57,4;
2013-02-28;32,8;36,3;29,4;24,1;57,5;
2013-03-31;67;36,3;29,4;24,4;55;
2013-04-30;55;35;28,8;24,3;58,9;
2013-05-31;22,7;34,2;28,1;23;57,6;
2013-06-30;54,4;32,5;26,9;22,5;61,9;
2013-07-31;27,2;32,2;26,4;21,7;59,5;
2013-08-31;28,6;33,3;26,9;22;54,9;
2013-09-30;3,1;34,2;27,2;22,2;53;
2013-10-31;2,9;35,5;28,3;23,3;49,8;
2013-11-30;13,4;35,2;28,3;23,6;52,3;
2013-12-31;55,4;35,1;28,5;23,8;56,4;
2014-01-31;30;35;28,6;23,5;57,9;
2014-02-28;28,3;34,6;28;23,4;66,7;
2014-03-31;193,1;34,3;27,9;23,4;64,3;
2014-04-30;245,7;32,9;27,1;23,1;72,8;
2014-05-31;103,8;32,7;26,9;22,4;71,1;
2014-06-30;12;32,2;26,5;22;66,1;
2014-07-31;3,1;32,4;26,4;21,3;62,1;
2014-08-31;0;33,4;26,7;21,2;58,8;
2014-09-30;1,3;34;27,3;22,4;54,4;
2014-10-31;,2;34,6;28;23,3;52;
2014-11-30;6,7;35,4;28,3;23,1;51,8;
2014-12-31;32,8;35,3;28,6;23,4;51,8;
2015-01-31;6,2;35,9;29;23,6;57,1;
2015-02-28;48,1;35,4;28,6;23,6;63;
2015-03-31;83;34,3;28;23,4;63,7;
2015-04-30;150,5;34,2;27,8;23;64,9;
2015-05-31;25,7;35,2;28,6;23,2;56,7;
2015-06-30;7,3;33,2;27,2;22;58,2;
2015-07-31;22,4;32,2;26,5;22,2;61,9;
