Nome: AREIA
Codigo Estacao: 82696
Latitude: -6.97555554
Longitude: -35.71805554
Altitude: 571.75
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;125,4;27,8;23,2;20,7;85,4;
2010-02-28;45,1;28,7;23,9;21,3;83,3;
2010-03-31;97,8;30,8;24,7;21,5;79;
2010-04-30;137,2;28,2;23,9;21,2;84,8;
2010-05-31;50,3;27,9;23,4;20,3;83,4;
2010-06-30;180,6;26;22,2;19,6;84,4;
2010-07-31;136,4;24,4;20,8;18,4;86,2;
2010-08-31;105,5;24,2;20,2;17,5;83,3;
2010-09-30;59,6;26;20,9;18;79,8;
2010-10-31;15,4;28,9;23;19,5;76,1;
2010-11-30;2,7;29,9;23,3;19,7;74,3;
2010-12-31;64,4;29,3;23,5;20,2;76,8;
2011-01-31;140,7;28,2;23,1;20;82,9;
2011-02-28;48,5;28,7;23,6;20,6;81,1;
2011-03-31;82,6;29,3;24;20,8;81;
2011-04-30;280,2;27,1;23,1;20,5;87,3;
2011-05-31;462,4;25,3;22,1;19,8;90,5;
2011-06-30;181,4;24,7;21,3;18,9;89,1;
2011-07-31;363;23,4;20,2;18,1;90,9;
2011-08-31;156,9;24,4;20,5;17,9;86,3;
2011-09-30;19,9;25,6;20,9;17,8;82,4;
2011-10-31;13,8;27,6;22,3;19,2;82,6;
2011-11-30;48,3;28,3;22,7;19,7;80,8;
2011-12-31;29,9;29;23,1;19,8;77,8;
2012-01-31;182,8;27,5;22,6;19,6;86,9;
2012-02-29;154,4;27,2;22,5;19,6;85,6;
2012-03-31;34,5;28,1;22,9;19,9;83,5;
2012-04-30;32,1;29,1;23,5;20,7;80,2;
2012-05-31;102,5;27,7;22,7;20,2;82,8;
2012-06-30;302,2;24,8;21,3;19,2;88,9;
2012-07-31;163,3;23,8;20,4;18,4;88,5;
2012-08-31;25,9;25;20,4;17,9;82,9;
2012-09-30;6,7;26,6;21,4;18,5;77,3;
2012-10-31;13,9;27,5;22;19;78,2;
2012-11-30;,8;29,5;23,2;19,9;73,9;
2012-12-31;5,6;29,9;23,6;20,5;76,5;
2013-01-31;40,7;30;23,8;20,4;77,5;
2013-02-28;59,9;29,6;24;21;78,4;
2013-03-31;49,6;29,8;24,4;21,6;78,5;
2013-04-30;192,1;29,2;24;21,1;81;
2013-05-31;110;26,4;22,6;20,2;86,4;
2013-06-30;221,2;24,8;21,5;19,5;90;
2013-07-31;263,7;24;20,8;18,9;89,8;
2013-08-31;124;24,6;20,8;18,5;87,9;
2013-09-30;59,9;25,3;21,2;18,9;87,1;
2013-10-31;37,1;27,4;22,3;19,9;81,8;
2013-11-30;48,4;27,7;22,7;20,2;80,9;
2013-12-31;66,5;28,9;23,4;20,7;79,8;
2014-01-31;34,8;28,7;23,2;20,4;79,8;
2014-02-28;156,6;27,6;23;20,5;86;
2014-03-31;73,1;28,3;23,5;21,1;85,7;
2014-04-30;48,2;29,6;24,2;21,4;82,9;
2014-05-31;117,9;null;null;20,3;86,8;
2014-06-30;153,7;null;null;19,5;88,6;
2014-07-31;156,2;24,9;20,9;19;87,2;
2014-08-31;92,2;25;20,7;18,5;84,6;
2014-09-30;203,8;25,6;21,3;19,2;86,3;
2014-10-31;78;26,9;22;19,7;84;
2014-11-30;40,9;28,6;22,8;20,2;79,8;
2014-12-31;34,1;28,8;23,1;20,4;78,8;
2015-01-31;50,9;29,2;23,3;20,7;78;
2015-02-28;65;29,9;23,9;21,1;78,6;
2015-03-31;133,3;27,9;23,3;21,1;85,5;
2015-04-30;52;29,5;23,9;21,3;80,7;
2015-05-31;91,2;28,4;23,4;21;83,5;
2015-06-30;163,9;25,2;21,7;19,8;89,2;
2015-07-31;379,6;23,9;20,9;19,3;91,9;
2015-08-31;68,7;25,2;20,8;18,7;85,3;
2015-09-30;27,9;27;21,7;19,4;81,9;
2015-10-31;24,9;28,2;22,5;19,8;78,1;
2015-11-30;4,7;30,3;23,5;20,4;74,1;
2015-12-31;92,1;29,5;23,6;20,8;78,6;
2016-01-31;188;27,7;23,5;21,4;86,7;
2016-02-29;47,5;28,1;23,4;21;85,5;
2016-03-31;136,8;29;23,9;21,5;84,8;
2016-04-30;227,5;27,4;23,3;21,3;88,1;
2016-05-31;236,9;26,2;22,5;20,6;89,4;
2016-06-30;77,6;26;21,9;19,8;86,1;
2016-07-31;40,1;26,1;21,3;18,9;82,8;
2016-08-31;26,8;27,4;21,6;18,6;78;
2016-09-30;32;28,4;22,3;19,5;77,1;
2016-10-31;19,8;29,5;23,1;20;74,9;
2016-11-30;3,1;30,1;23,8;20,6;74,8;
2016-12-31;172,3;29,6;23,7;20,9;78,5;
2017-01-31;28;29,2;23,5;20,9;79,6;
2017-02-28;38,8;29,7;23,9;21,2;79,8;
2017-03-31;88,4;28,8;23,9;21,6;85,4;
2017-04-30;185,6;28,3;23,7;21,5;84,9;
2017-05-31;135,4;26,9;22,9;20,9;87,5;
2017-06-30;172,3;25,4;21,9;20,1;89,7;
2017-07-31;366,6;23,1;20,2;18,6;90,3;
2017-08-31;64,9;25;20,9;18,6;86,8;
2017-09-30;74,8;26;21;18,5;82,5;
2017-10-31;68,4;27,3;22,1;19,6;82,5;
2017-11-30;6;28,9;23,2;20,4;78,7;
2017-12-31;23,8;30;23,8;21;78,5;
2018-01-31;66,6;29,2;23,6;20,9;80,8;
2018-02-28;139,4;28,3;23,5;21,1;85,2;
2018-03-31;174,5;28,3;23,7;21,3;85,2;
2018-04-30;224,7;26,6;22,8;20,8;89,6;
2018-05-31;106;26;22,2;20,2;88,5;
2018-06-30;105,1;25,3;21,4;19,2;87,2;
2018-07-31;88,3;25,2;20,9;18,6;83,4;
2018-08-31;21,1;27;21,5;18,8;80,3;
2018-09-30;24,3;27,7;21,9;19,3;79,4;
2018-10-31;14,6;29,7;23,3;20,3;76,9;
2018-11-30;7,8;30,1;23,8;20,8;77,6;
2018-12-31;36,5;30,3;24;20,9;78,1;
2019-01-31;38,5;30,6;24,3;21,1;77,4;
2019-02-28;216,4;28,5;24;21,7;85,5;
2019-03-31;173,4;28,2;23,9;21,7;88,1;
2019-04-30;131,4;28;23,8;21,7;87,8;
2019-05-31;101,9;27,7;23,4;21,3;86,7;
2019-06-30;180,9;25,8;21,9;19,9;86,6;
2019-07-31;293,4;24,3;21;19,2;90,7;
2019-08-31;123,4;24,6;20,7;18,7;88,4;
2019-09-30;59,1;26,2;21,5;19,4;85,3;
2019-10-31;65,4;27,8;22,3;19,8;80,2;
2019-11-30;,9;29,8;23,5;20,6;76,3;
2019-12-31;5,3;30,5;24;21;76,6;
2020-01-31;19,3;30,9;24,6;21,8;79,8;
2020-02-29;24,5;30,9;24,9;22,1;80,3;
2020-03-31;null;29,6;24,4;21,8;85,5;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;null;null;null;null;null;
2021-11-30;null;null;null;null;null;
2021-12-31;109,5;29,5;24,3;21,7;80,8;
2022-01-31;67,6;29,4;24,2;21,3;81,5;
2022-02-28;52,1;29,8;24,2;21,5;81,6;
2022-03-31;380,8;28,5;23,8;21,6;86,3;
2022-04-30;140,3;28;23,6;21,2;86,4;
2022-05-31;309,7;26,7;22,8;20,9;90,6;
2022-06-30;214,2;24,9;21,8;20;90,2;
2022-07-31;319,7;24,3;20,9;19,1;91,5;
2022-08-31;82,3;24,8;20,7;18,5;85,8;
2022-09-30;50;26,6;21,6;19,1;83,3;
2022-10-31;21;28,4;22,9;20,2;80,2;
2022-11-30;47,5;29;23,4;20,7;82,4;
2022-12-31;26,6;29,5;23,7;21;79,8;
2023-01-31;116,4;28,7;23,4;20,9;83,9;
2023-02-28;102,8;29,2;23,8;21,4;84,4;
2023-03-31;130;28,1;23,5;21,4;86,1;
2023-04-30;104,1;28;23,6;21,3;87,3;
2023-05-31;145,7;27,5;23,3;21;88,7;
2023-06-30;303,8;25,2;21,8;20,1;92,1;
2023-07-31;123,4;25,8;21,5;19,5;87,4;
2023-08-31;143,6;25,9;21,4;19,2;87,4;
2023-09-30;129,4;26,2;21,7;19,6;88;
