Nome: CRUZEIRO DO SUL
Codigo Estacao: 82704
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 214.19
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;205,3;32,2;26,6;23,3;85,5;
2010-02-28;170,3;32;26,6;23,3;88,2;
2010-03-31;134,2;32,5;26,7;23,6;88,2;
2010-04-30;233,6;32,8;26,9;23,3;86,2;
2010-05-31;105,5;31,5;25,8;22,1;86,9;
2010-06-30;38;31,9;25,7;21,3;85,8;
2010-07-31;37,7;30,8;24,3;19,6;84,6;
2010-08-31;82,2;34,1;26;20;77,7;
2010-09-30;64,9;34,4;27;22;81,1;
2010-10-31;169,4;32,9;26,1;21,6;84,9;
2010-11-30;206,4;31,9;25,8;21,9;86,5;
2010-12-31;296,4;31,5;25,5;22,2;88,6;
2011-01-31;149,3;31,7;25,8;22,5;86;
2011-02-28;204,1;30,6;25,3;22;89;
2011-03-31;247,4;30,4;25;22,2;90,3;
2011-04-30;180,6;32,1;25,9;22,4;87,5;
2011-05-31;121,1;31,6;25,3;21,4;86,3;
2011-06-30;53,2;31,8;25,2;21;87,2;
2011-07-31;38,3;32,2;25,5;20,7;80,2;
2011-08-31;29,3;34,3;26,1;20,4;75,6;
2011-09-30;86,1;33,9;26,5;21,7;79,5;
2011-10-31;306,2;32,2;25,8;22,3;87,2;
2011-11-30;114,2;33;26,5;22,6;83,5;
2011-12-31;251,8;31,1;25,5;22,7;88,7;
2012-01-31;248;30,8;25,4;22,4;87,5;
2012-02-29;247,6;29,8;24,8;21,8;88,4;
2012-03-31;401,5;31,3;25,2;22,1;87,6;
2012-04-30;222,4;31,8;25,9;22,7;87,1;
2012-05-31;119,1;31,9;25,7;21,5;85,4;
2012-06-30;101,4;31,2;25;21,2;85,7;
2012-07-31;8,7;31,9;24,7;19,8;81,4;
2012-08-31;10,5;34,3;26,2;20,6;75,4;
2012-09-30;93,6;34,2;26,3;21,6;80,9;
2012-10-31;62,6;33,3;26,6;22,4;82,7;
2012-11-30;112,7;33,1;27;23,2;83;
2012-12-31;209,7;30,8;25,4;22,3;88,7;
2013-01-31;337,6;31,2;26;22,7;86,5;
2013-02-28;336,4;31,3;26;22,8;86,4;
2013-03-31;370,7;31,6;25,9;22,9;87,2;
2013-04-30;319,6;32,8;26,4;22,5;83,1;
2013-05-31;185,2;31,4;25,8;22,5;86,5;
2013-06-30;174,4;31,7;25,7;22,3;85,9;
2013-07-31;80,2;31,5;24,6;19,9;81,6;
2013-08-31;74,7;31,8;25;19,6;78,4;
2013-09-30;171,4;33,1;26,2;21,3;79,2;
2013-10-31;81,7;32,8;26,5;22,9;82,7;
2013-11-30;196,1;31,3;25,9;22,5;85,4;
2013-12-31;252,2;31,8;26,4;22,9;83,7;
2014-01-31;394;30,3;25,4;22,6;88,8;
2014-02-28;326,7;31,1;25,6;22,6;87,6;
2014-03-31;246,1;31;25,9;22,7;86,9;
2014-04-30;274,8;32,2;26,2;22,8;86;
2014-05-31;189,3;31,1;25,5;22;87,4;
2014-06-30;87,2;31,4;25,4;21,5;90;
2014-07-31;35,6;31,5;25,3;20,8;87,2;
2014-08-31;108,9;32,7;25,9;20,9;83,5;
2014-09-30;108,7;33,6;26,4;22,2;86,5;
2014-10-31;182;32,1;26,3;22,4;90,3;
2014-11-30;329;31,6;26;22,7;92,5;
2014-12-31;403,9;31,2;26,1;22,9;89,5;
2015-01-31;348,7;30,3;25,5;22,6;92,1;
2015-02-28;null;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-30;null;null;null;null;null;
2015-05-31;209,9;30,5;25,7;22,8;92;
2015-06-30;114,4;31,7;25,8;22;90,3;
2015-07-31;84,8;32,1;25,9;21,8;88,8;
2015-08-31;78,3;33,5;26,5;22,1;88,8;
2015-09-30;96,5;33,7;26,8;22,9;91,5;
2015-10-31;135,2;33,1;26,5;22,8;90,8;
2015-11-30;190;33,1;26,6;23,5;91,5;
2015-12-31;438,1;32,3;26,1;23,2;94,1;
2016-01-31;287;32,7;26,9;23,7;93,8;

