Nome: LABREA
Codigo Estacao: 82723
Latitude: -7.26138888
Longitude: -64.78999999
Altitude: 62.23
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;343,4;31,8;26,6;23,5;88;
2010-02-28;241,1;32;27;24;89,1;
2010-03-31;198,2;32,6;27,3;24;87,6;
2010-04-30;171,3;33,3;27,3;23,9;87,1;
2010-05-31;152,2;32,4;26,4;22,6;86,3;
2010-06-30;52,8;33,2;26,6;22,2;85,3;
2010-07-31;8,4;32,6;25,2;20;82,8;
2010-08-31;5,8;35,7;26,7;20,3;75,3;
2010-09-30;70,4;35,8;28,1;22,7;76,3;
2010-10-31;126,1;34,2;27,3;23,1;81,6;
2010-11-30;null;33,2;26,9;23,2;86,2;
2010-12-31;185,6;32,9;26,9;23,1;85,4;
2011-01-31;335,9;31,5;26,2;22,9;88;
2011-02-28;263,8;31,5;26,1;22,8;87,4;
2011-03-31;361,7;32,3;26,3;23,1;88,3;
2011-04-30;178,8;32,5;26,7;23,4;89,5;
2011-05-31;165,3;31,8;26,2;22,8;87,8;
2011-06-30;40,9;33,6;26,4;21,5;88,7;
2011-07-31;30,3;34,1;26,6;21,1;83,2;
2011-08-31;32,5;35,6;27;21;79,1;
2011-09-30;178,9;34,2;27;22,6;85,9;
2011-10-31;107,1;33,7;27,2;23,3;84,3;
2011-11-30;96,7;33,4;26,9;23,1;84,7;
2011-12-31;256,4;32,9;26,6;23,2;86,1;
2012-01-31;385,1;31,6;26,3;23,1;88,4;
2012-02-29;303,2;31;25,9;22,6;88,1;
2012-03-31;310,8;31,7;26;22,7;89,4;
2012-04-30;158,1;32,3;26,4;23,2;88,8;
2012-05-31;120,2;32,8;26,4;22,6;88,1;
2012-06-30;27,2;33,1;26,1;21,5;86,9;
2012-07-31;0;33,5;25,7;20,2;82,8;
2012-08-31;,8;35,6;27;20,3;72,2;
2012-09-30;69,6;35,4;27,9;23;77;
2012-10-31;99,1;33,4;26,9;23,2;86,2;
2012-11-30;124,6;33,4;27,3;23,8;85,6;
2012-12-31;234,2;32,4;26,6;23;87,3;
2013-01-31;450,4;31,8;26,7;23,6;88,1;
2013-02-28;434,2;31,3;26,3;23,3;89,6;
2013-03-31;245,1;32,1;26,6;23,6;89,4;
2013-04-30;202;32,6;26,8;23,7;89,5;
2013-05-31;128,2;32,6;26,7;23,1;86,5;
2013-06-30;null;33,1;26,8;22,8;85,5;
2013-07-31;104,4;32,4;25,6;21,2;null;
2013-08-31;15,4;33,7;26,3;20,7;84,4;
2013-09-30;97,6;33,8;26,7;22,1;87,3;
2013-10-31;143,8;33,3;26,7;23;87,4;
2013-11-30;217,3;32,3;26,5;23;88,3;
2013-12-31;178,5;32,8;26,8;23,6;89,1;
2014-01-31;304,1;32;26,4;23,1;89,3;
2014-02-28;247,4;31,9;26,2;23;89,7;
2014-03-31;440,2;32,3;26,5;23,2;89;
2014-04-30;388,4;32,9;26,7;23;88,9;
2014-05-31;81,7;null;null;23,1;89,4;
2014-06-30;34;33,7;26,7;22,1;83,4;
2014-07-31;54,4;31,8;25,6;20,9;null;
2014-08-31;27,1;34,1;26,5;21,5;84;
2014-09-30;77;35,6;27,8;22,8;79,1;
2014-10-31;120,5;33,3;26,5;22,7;84,2;
2014-11-30;191,3;32,2;27,2;23,5;85,1;
2014-12-31;153,2;31,9;26,9;23,2;85,2;
2015-01-31;274,3;31;25,8;22,8;86,8;
2015-02-28;247,8;31,2;25,9;23;88,1;
2015-03-31;289,2;30,9;26,3;23,4;89,5;
2015-04-30;159,6;31,8;26,5;23,3;89,1;
2015-05-31;158,7;32;26,6;23,1;87,9;
2015-06-30;22,6;32,4;26,2;21,8;86,4;
2015-07-31;13,4;33,3;26,5;21,3;null;
2015-08-31;49,2;35,8;27,9;22,4;78,4;
2015-09-30;33,9;36,1;28,4;23,3;77,8;
2015-10-31;112,2;35,6;28,3;23,4;86,6;
2015-11-30;136,8;35,4;28,3;23,9;84,7;
2015-12-31;168,4;34,2;27,9;23,6;85,5;
2016-01-31;291,7;33,3;27,6;23,9;86,1;
2016-02-29;304,2;null;28,3;23,8;85,6;
2016-03-31;295,2;null;null;24;89;
2016-04-30;254,4;32,3;26,9;23,4;90,7;
2016-05-31;99,8;32,9;26,9;23,2;90,8;
2016-06-30;25,8;32,4;26,2;22,2;89,7;
2016-07-31;9,8;34,9;26,9;21,1;86,8;
2016-08-31;5,7;35,3;27,3;21,8;80,5;
2016-09-30;58,9;34,2;27;22,2;87,5;
2016-10-31;150,8;34,3;27,8;23,6;85,5;
2016-11-30;93,7;33,5;27,4;23,6;87,5;
2016-12-31;225,9;32,3;26,6;23,4;89,8;
2017-01-31;387,6;31,2;26,1;23;91,1;
2017-02-28;328;32;26,6;23,2;89,1;
2017-03-31;229,6;32,3;26,6;23,4;89,7;
2017-04-30;154,2;32,3;26,7;23,3;90,2;
2017-05-31;244,7;null;null;23,3;90,4;
2017-06-30;49,4;null;null;21,7;87,2;
2017-07-31;0;null;null;19;85,9;
2017-08-31;78;null;null;22;80,1;
2017-09-30;65;null;null;23;81,2;
2017-10-31;102,7;null;null;23;84,3;
2017-11-30;230,9;null;null;23,6;87,9;
