Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;179,7;30,6;25,3;21,4;73,5;
2010-02-28;21,6;33,1;27;22,7;64,4;
2010-03-31;107,4;34;27,7;23,1;62,6;
2010-04-30;249,5;30,3;25,4;22,2;77,3;
2010-05-31;,9;31,8;25,5;21,1;66,6;
2010-06-30;19,3;29,5;24;20,4;69,2;
2010-07-31;6,3;29,8;24;19,7;60,5;
2010-08-31;2,2;30,5;24,3;19,6;54,5;
2010-09-30;3,8;32,1;25,5;20,2;50,6;
2010-10-31;36;34,4;27,9;22,4;49,3;
2010-11-30;0;35,3;29;23,2;44,5;
2010-12-31;111,9;31,7;26,3;22,3;66,1;
2011-01-31;81,9;31,4;25,7;21,5;66,7;
2011-02-28;95,7;31,6;26;22,1;70,1;
2011-03-31;135,3;31;25,4;21,7;76,5;
2011-04-30;88,1;30,5;24,9;21,6;75,4;
2011-05-31;167,7;28,2;23,7;20,6;78;
2011-06-30;11,9;29,2;23,2;19,2;70,1;
2011-07-31;11,2;29,4;23,4;18,9;62,7;
2011-08-31;26,4;31,5;24,8;19;52,8;
2011-09-30;2,3;31,6;25,2;20;52,2;
2011-10-31;59,1;33,6;27,5;22,1;54,9;
2011-11-30;55,1;32,8;27,1;22,5;59,5;
2011-12-31;44,2;34;27,8;22,8;55,7;
2012-01-31;53,2;33;27,2;22,8;59,6;
2012-02-29;76,1;31,9;26,3;22;64;
2012-03-31;14,9;33,3;27,1;22,4;58,4;
2012-04-30;3,6;34,1;27,6;22,3;53,3;
2012-05-31;3,4;32,5;26,7;21,8;53,4;
