Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;344,9;31,8;26,3;22,8;85,5;
2010-02-28;311,9;32;26,7;23,3;86,8;
2010-03-31;199,3;32,7;27,2;23,6;84,8;
2010-04-30;247,5;33,2;27,8;23,7;80,6;
2010-05-31;23,4;35,1;28,7;23,8;73,7;
2010-06-30;17,2;35;28;22,3;65,2;
2010-07-31;0;36;28,2;21,1;53,8;
2010-08-31;0;37,4;28,9;20,7;45,8;
2010-09-30;,1;38,5;30,7;24;44,6;
2010-10-31;110,8;35,1;28,7;24;69,4;
2010-11-30;103,6;34;28,3;24,2;75,1;
2010-12-31;341,8;null;null;23,5;82;
2011-01-31;221,8;null;null;22,8;83,5;
2011-02-28;538,1;30,7;25,5;22,6;87,6;
2011-03-31;339,4;31,5;26,4;23,2;85,6;
2011-04-30;324,7;31;26,3;23,2;87,1;
2011-05-31;71,6;32,5;27,3;23,4;78,1;
2011-06-30;0;34,4;27,6;21,7;65,6;
2011-07-31;9,7;34,8;27,2;20,5;59;
2011-08-31;,7;37,2;29,3;22,4;50;
2011-09-30;14;37,9;30,4;23,5;46,9;
2011-10-31;188,5;34,2;28,1;24,1;76,3;
2011-11-30;425,1;30,9;26,2;23,2;86,3;
2011-12-31;148,6;31,6;26,7;23,4;83,7;
2012-01-31;348,8;29,9;25,2;22,7;88,3;
2012-02-29;287,5;30,5;25,4;22,4;87;
2012-03-31;253,9;31,5;26;23;87,1;
2012-04-30;172,3;32,5;27,1;23,4;84,6;
2012-05-31;21,2;33,4;27,4;23;78,5;
2012-06-30;3,4;34,3;27,5;22,1;70,6;
2012-07-31;3;35,8;27,8;20,6;58,6;
2012-08-31;2,5;36,7;28,7;21,4;47,7;
2012-09-30;13,3;37,6;30,1;23,7;52,6;
2012-10-31;125;34,8;28,8;24,4;68;
2012-11-30;186,1;31,6;26,9;23,8;83,4;
2012-12-31;268,4;32,1;26,8;23,2;83;
2013-01-31;590,2;31,2;26,2;23;86,1;
2013-02-28;130,4;31,8;26,5;23,3;84,1;
2013-03-31;307,6;31,6;26,6;23,3;87;
2013-04-30;104,5;32,5;27,3;23,9;82,5;
2013-05-31;76,8;32,3;27,1;23,2;81,6;
2013-06-30;42,2;33,5;27,2;22,2;74,3;
2013-07-31;0;35,1;27,9;21,8;61,2;
2013-08-31;6;36,9;28,9;21,6;53,3;
2013-09-30;64,4;37;30;24,1;57,7;
2013-10-31;204,5;34,3;28,3;23,7;70,7;
2013-11-30;165,5;32;26,6;22,8;80,3;
2013-12-31;390,4;32;26,8;23,3;83,1;
2014-01-31;170,4;31,5;26,3;22,8;82,2;
2014-02-28;311,8;31,6;26,3;23,1;83,9;
2014-03-31;364,5;31,5;26,4;23;85,3;
2014-04-30;160;32;26,9;23,5;82,7;
2014-05-31;36,1;33;27,5;23,3;74;
2014-06-30;0;34,6;27,6;21,8;60,8;
2014-07-31;14;35,6;28;21,4;51,1;
2014-08-31;2,8;36,8;28,9;21,7;45,1;
2014-09-30;47,2;36,3;29,3;23,9;57;
2014-10-31;133,9;34,3;28;23;67,2;
2014-11-30;315,6;32,2;26,8;22,5;81,3;
2014-12-31;227,5;31,8;26,6;22,8;79,4;
2015-01-31;336,3;31,4;26,1;22,2;81,6;
2015-02-28;251;31,2;25,8;22,3;84,3;
2015-03-31;132,9;31,9;26,3;22,7;83,5;
2015-04-30;186;32,1;27;23,1;82,5;
2015-05-31;107;32,3;27,1;22,6;76,9;
2015-06-30;3,6;34;27,3;21,3;63,4;
2015-07-31;28,3;35,2;27,8;20,8;54,8;
2015-08-31;4,8;36,5;28,6;21;47;
2015-09-30;8,8;37,7;30,4;24,1;51,8;
2015-10-31;46,2;37,5;30,4;24,5;56,4;
2015-11-30;8,7;34,7;28,9;24;67,4;
2015-12-31;129,4;33,9;28,1;23,6;71,6;
2016-01-31;597,8;31;26,5;23,2;84,4;
2016-02-29;228,6;34,4;28,2;23,2;73,6;
2016-03-31;221,4;33,1;27,6;23,8;82,6;
2016-04-30;94,9;33,5;28;23,8;78,2;
2016-05-31;52,5;34;27,9;22,8;74,4;
2016-06-30;27,2;34,4;27,4;21,5;65,7;
2016-07-31;5;36,2;28;20,2;50;
2016-08-31;31,6;37,5;29,6;21,7;48;
2016-09-30;71,2;36,6;29,5;23,3;58,5;
2016-10-31;85,3;35,2;28,6;23,2;68,3;
2016-11-30;202,1;33,7;28;22,9;75,2;
2016-12-31;71,3;32,8;27,2;22,8;77,9;
2017-01-31;216,3;31,9;26,4;22;82,1;
2017-02-28;425,5;31,5;26,1;22,3;85,1;
2017-03-31;175,1;32,4;26,7;23,2;84,4;
2017-04-30;256,4;32,5;27,1;23,4;85,1;
2017-05-31;82,9;34,1;27,9;23,2;75,5;
2017-06-30;56,2;34;27;20,7;70,1;
2017-07-31;0;34,6;27;19,8;56,9;
2017-08-31;24,1;37,6;29,4;21,7;54,9;
2017-09-30;0;38,4;30,9;23,5;46,2;
2017-10-31;74,2;36,8;30;24,1;64,9;
2017-11-30;153,4;32,9;27,4;22,9;78,8;
2017-12-31;176,2;31,9;26,5;22,3;83,7;
2018-01-31;248,6;31,9;26;21,5;83,9;
2018-02-28;340,3;31,1;25,8;21,9;87,6;
2018-03-31;422,9;32,1;26,4;22,2;87,5;
2018-04-30;234,5;31,9;26,6;22;82,9;
2018-05-31;36,7;33,8;27,4;21,6;74,2;
2018-06-30;1,4;34,9;27,3;19,8;63,6;
2018-07-31;0;36;27,8;19,4;56,6;
2018-08-31;0;37;28,9;20,9;56,9;
2018-09-30;57,3;36,7;29,4;22,6;64,2;
2018-10-31;110,3;35,2;28,4;22,4;74;
2018-11-30;null;32;26,5;21,3;84,9;
2018-12-31;248,2;32,9;26,9;21,6;79;
2019-01-31;214,1;31,8;25,8;20,7;86,1;
2019-02-28;214,6;32,3;26,7;21,2;84,7;
2019-03-31;334,6;32,2;null;null;85,1;
2019-04-30;163,4;32,7;null;null;84,8;
2019-05-31;77,4;34,2;27,6;23,6;78,7;
2019-06-30;0;35,1;27,8;21,5;66,8;
2019-07-31;42,5;34,9;27,6;21;64;
2019-08-31;1;37;28,9;21,5;54,9;
2019-09-30;5,9;39;30,7;24,2;60,9;
2019-10-31;195,7;33,8;28,4;24;77,8;
2019-11-30;221;33,2;28,2;23,8;80,8;
2019-12-31;194,3;33,3;28,4;23,9;78,4;
2020-01-31;565,5;32,6;27,3;23,3;83,2;
2020-02-29;301,6;null;null;23,2;82,8;
2020-03-31;556,1;null;null;23;80,9;
2020-04-30;413,9;null;null;22,8;83,9;
2020-05-31;33,8;null;null;23,3;73,9;
2020-06-30;34,3;null;null;21,6;67,1;
2020-07-31;0;null;null;20,7;54,7;
2020-08-31;8,6;null;null;21,9;49,8;
2020-09-30;16,8;null;null;23,9;47,4;
2020-10-31;111,3;null;null;23,6;65,5;
2020-11-30;399,8;null;null;22,1;74,8;
2020-12-31;234,1;null;null;21,5;78,5;
2021-01-31;173,6;null;null;21;81,6;
2021-02-28;195,1;null;null;20,6;85,1;
2021-03-31;251,4;null;null;20,1;84,5;
2021-04-30;117,4;null;null;20,3;83,5;
2021-05-31;30,3;null;null;19,6;77,3;
2021-06-30;4;null;null;19,4;68,5;
2021-07-31;8;null;null;18,8;59,9;
2021-08-31;0;null;null;19,6;56,3;
2021-09-30;28;null;null;21,5;69,4;
2021-10-31;101,3;null;null;20,1;80,9;
2021-11-30;323,8;null;null;18,6;90,2;
2021-12-31;267,7;null;null;18,7;90,6;
2022-01-31;311,3;null;null;17,7;90;
2022-02-28;130,6;null;null;19,2;90,5;
2022-03-31;273;null;null;18,2;88,7;
2022-04-30;103,9;null;null;18;90,7;
2022-05-31;21,2;null;null;17,5;83,3;
2022-06-30;43,3;null;null;16,6;83,5;
2022-07-31;0;null;null;16,2;74,1;
2022-08-31;null;null;null;null;null;
2022-09-30;0;37,7;29,3;18,3;67,7;
2022-10-31;95,6;37,2;29,3;19,9;76;
2022-11-30;337,1;31,7;25,4;15,8;85;
2022-12-31;350,5;31,8;25,2;16,2;91,6;
2023-01-31;283,6;31,8;25;16,4;92,3;
2023-02-28;122,2;32;25,3;16,3;92;
2023-03-31;384,6;31,3;24,8;15,7;90,7;
2023-04-30;220,9;32,9;25,6;15,9;94,2;
2023-05-31;194,8;33,7;26,5;16,7;91,3;
2023-06-30;,2;35,5;28,3;23,2;85,9;
