Nome: BALSAS
Codigo Estacao: 82768
Latitude: -7.52944443
Longitude: -46.04638888
Altitude: 263.48
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;173,7;31,7;26,2;21,2;77,3;
2010-02-28;178,1;32,2;26,8;22;79,9;
2010-03-31;47,7;32,8;27,2;22,3;77,7;
2010-04-30;128,2;32,9;27,4;22,1;74,9;
2010-05-31;23,8;34,4;28,4;22;66;
2010-06-30;3;33,8;27,3;20,6;59,5;
2010-07-31;0;34,5;27,5;20,1;49;
2010-08-31;0;35,6;28,1;20,2;42,4;
2010-09-30;0;36,8;30,1;23;40,8;
2010-10-31;194,5;34,7;28,6;23,4;62,7;
2010-11-30;91,5;33,8;28,2;23,3;66,7;
2010-12-31;38,6;32,6;27,3;23,2;72,2;
2011-01-31;282,4;31,4;26;22,3;79;
2011-02-28;314,2;30,7;25,2;21,9;84,9;
2011-03-31;220,9;31,7;26,2;22,5;79,5;
2011-04-30;92,4;32,2;26,8;22,8;77;
2011-05-31;53,4;33;27,2;22,4;68,3;
2011-06-30;0;34,1;27,2;20,7;60,5;
2011-07-31;2;34;26,9;19,5;57,3;
2011-08-31;0;36;28,7;20,6;50,2;
2011-09-30;0;37;29,8;21,5;45,3;
2011-10-31;143,5;34,9;28,8;23,5;64,3;
2011-11-30;169,8;31,1;26,1;22,5;80,8;
2011-12-31;70,6;32,3;26,8;22,7;77;
2012-01-31;211,3;30,8;25,4;22;83;
2012-02-29;168,6;31,2;25,5;21,8;82;
2012-03-31;78,4;32;26,4;22,5;80;
2012-04-30;34,2;33,6;27,6;22,7;74,4;
2012-05-31;31,5;33,9;27,9;22,3;69;
2012-06-30;12,8;34,3;27,8;21,2;62,2;
2012-07-31;0;35,2;27,9;19,8;52,4;
2012-08-31;0;35,6;28,6;20,7;46,2;
2012-09-30;1,2;37,3;30,4;22,7;44,9;
2012-10-31;69,4;36,7;30,7;24,5;54,3;
2012-11-30;254;32;27;23,2;79,3;
2012-12-31;91,7;32,6;27,2;23;74,5;
2013-01-31;457,8;31,4;26,3;22,8;82,9;
2013-02-28;72,2;32,6;27,2;23,3;77,8;
2013-03-31;200,3;32,1;26,9;23,3;82,5;
2013-04-30;74,6;32,9;27,4;23,4;76,9;
2013-05-31;64,2;32,8;27,5;22,7;72,9;
2013-06-30;4,5;33,7;27,6;21,5;65,3;
2013-07-31;2,6;34,6;27,8;20,8;55,4;
2013-08-31;0;36,2;28,9;21,1;47;
2013-09-30;12,7;37,2;30,6;23,5;49,6;
2013-10-31;269,8;35,1;28,9;23,6;70,6;
2013-11-30;356,5;32,3;26,7;22,3;82,9;
2013-12-31;157,1;32,6;26,9;23;84,5;
2014-01-31;149,3;32,2;26,6;22,4;84,6;
2014-02-28;118,8;32;26,3;22,5;87,5;
2014-03-31;164,7;32,3;26,7;22,9;87,5;
2014-04-30;78,4;32,9;27,1;23,1;85,8;
2014-05-31;12,2;33,8;27,8;22,5;78,4;
