Nome: CAMPOS SALES
Codigo Estacao: 82777
Latitude: -7.07666666
Longitude: -40.38999999
Altitude: 586.06
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;67,5;30,6;24,7;19,2;74,1;
2010-02-28;69,1;32,1;26,2;20,6;68,1;
2010-03-31;177,1;32,6;26,4;20,5;67,3;
2010-04-30;236,8;29,7;24,4;19,5;86,6;
2010-05-31;null;null;null;null;null;
2010-06-30;6;29,3;23,4;18,3;80;
2010-07-31;1,7;29,6;23,4;17,6;71,7;
2010-08-31;0;30,4;23,9;17,4;65,7;
2010-09-30;0;31,9;25,2;18,3;61,2;
2010-10-31;53,7;33,3;26,6;19,9;66,5;
2010-11-30;0;33,8;27;19,9;60,8;
2010-12-31;201,2;29,8;24,5;19,1;81,3;
2011-01-31;86,3;29,7;23,8;18,4;85,7;
2011-02-28;106,4;28,1;23,1;18,4;91,5;
2011-03-31;240,2;29;23,4;18,3;93,3;
2011-04-30;56,5;29,4;23,5;18,1;91,7;
2011-05-31;55,3;28,2;22,8;17,9;86,6;
2011-06-30;4,9;29,2;22,8;16,9;84,9;
2011-07-31;null;null;null;null;null;
2011-08-31;9,6;31;23,9;17,2;73,4;
2011-09-30;0;31,5;24,6;17,7;67,2;
2011-10-31;16,2;32,8;26;19,4;71;
2011-11-30;52;31,1;25,1;19;79,4;
2011-12-31;15,2;32,5;26;19,2;78;
2012-01-31;16,8;31,8;25,9;20,2;75,5;
2012-02-29;169,4;30,3;24,5;19;80,8;
2012-03-31;118,2;30,1;24,2;18,5;83,7;
2012-04-30;2,1;32,1;24,9;18,3;79,5;
2012-05-31;1,6;32,1;25,4;19;73,7;
2012-06-30;7,6;31,4;24,7;18,3;73,4;
2012-07-31;0;30,6;24,4;18;70,3;
2012-08-31;0;30,7;24,1;17,2;62,2;
2012-09-30;0;33,2;26,2;18,6;50,8;
2012-10-31;0;34;27,3;19,8;53,1;
2012-11-30;0;33,8;27,7;20,5;58,8;
2012-12-31;15,5;33,6;27,4;21;65,8;
2013-01-31;151,3;31,5;25,8;19,7;81;
2013-02-28;28;32,2;26;20,1;81,9;
2013-03-31;84,1;32,4;26,4;20,3;77,6;
2013-04-30;81,4;30,1;24,5;18,9;81,6;
2013-05-31;9;31,2;24,8;18,5;74,5;
2013-06-30;2,2;31,4;24,9;18,5;65;
2013-07-31;14,4;30,5;24,2;17,5;57,8;
2013-08-31;0;32;25,2;18,3;51,3;
2013-09-30;2,4;33,8;26,6;18,9;46,5;
2013-10-31;1,7;33,8;27,2;19,9;53,4;
2013-11-30;25,5;32,5;26,8;20;66;
2013-12-31;40,7;32,2;26,4;20;68,3;
2014-01-31;41,7;32,3;26,1;19,8;63,1;
2014-02-28;57,2;30,1;24,8;19,4;74,3;
2014-03-31;137,1;29,6;24,2;18,9;83,7;
2014-04-30;59,3;29,9;24,1;18,5;78,4;
2014-05-31;6,6;30,6;24,4;18,3;75;
2014-06-30;4;30,4;24,3;17,8;57,9;
2014-07-31;14,8;30,5;24,1;17,3;58,4;
2014-08-31;0;31,3;24,6;17,4;46,5;
2014-09-30;3,2;33,3;26,4;18,7;43;
2014-10-31;26,7;32,8;26,5;19,3;49,1;
2014-11-30;92,8;32,5;26,2;19,5;54,4;
2014-12-31;23;32;26,2;21;56,5;
2015-01-31;19,7;33,2;26,9;21,2;54,4;
2015-02-28;74,8;31,4;25,6;20,8;64,9;
2015-03-31;195,2;30,4;24,8;20,1;74,5;
2015-04-30;41,6;30,6;24,7;19,6;73,8;
2015-05-31;89,1;30,4;24,4;19,8;72,5;
2015-06-30;17,1;30,3;24,2;19,1;61,1;
2015-07-31;18,1;30,3;24,3;18,9;62,2;
2015-08-31;0;32,6;25,2;18,9;45,3;
2015-09-30;1,5;34,7;27,3;20,3;44;
2015-10-31;9,7;34,7;28;21,1;41,2;
2015-11-30;10,4;35,1;28,4;21,4;44,9;
2015-12-31;30,6;34,7;28,3;21,9;51,5;
2016-01-31;182,7;30,3;25,4;20,8;72,4;
2016-02-29;36,3;32,1;null;null;68;
2016-03-31;49,1;33,2;26,8;22,9;70,1;
2016-04-30;8,4;32,9;26,9;22,1;70,3;
2016-05-31;10;32,8;26,9;22,1;62,5;
2016-06-30;1,6;30,9;25,2;20,8;67,1;
2016-07-31;null;null;null;null;null;
2016-08-31;0;33;26,2;20,7;58;
2016-09-30;1,1;34;27,5;21,9;63,9;
2016-10-31;11,7;34,7;28,6;22,9;66,7;
2016-11-30;,4;34,8;28,9;23,5;69,1;
2016-12-31;54;33,3;27,8;23,2;71,6;
2017-01-31;100,7;32,5;26,7;22,7;80,5;
2017-02-28;103,3;29,9;25,1;21,6;85,6;
2017-03-31;90,7;29,5;24,5;21,3;88,5;
2017-04-30;48,6;31,2;25,4;21,2;77,8;
2017-05-31;15,9;31,6;26;22;68,1;
2017-06-30;16,4;30;24,6;20,9;69;
2017-07-31;null;null;null;null;null;
2017-08-31;0;32,2;25,6;20,5;82,7;
2017-09-30;0;31,8;25,8;20,8;61,4;
2017-10-31;0;34,5;28,2;22,6;53,1;
2017-11-30;6,4;33,9;28,2;22,9;60,7;
2017-12-31;14,9;33,7;28;23,4;61,5;
2018-01-31;null;null;null;null;null;
2018-02-28;null;null;null;null;null;
2018-03-31;null;null;null;null;null;
2018-04-30;null;null;null;null;null;
2018-05-31;null;30,6;24,4;20,2;null;
2018-06-30;null;null;null;null;null;
2018-07-31;0;30,9;24,6;20;63,1;
2018-08-31;0;32,9;26;20,5;55,2;
2018-09-30;0;34,2;27,6;21,9;53,1;
2018-10-31;12,6;34,6;28,1;22,8;58,3;
2018-11-30;25,4;34,3;28,4;23,4;57,6;
2018-12-31;165;30,3;25,1;21,3;76,9;
2019-01-31;21,6;31,6;25,5;21,1;75;
2019-02-28;123,6;32,1;26;22;78,5;
2019-03-31;207,2;30,8;25,1;21,5;84,7;

