Nome: PICOS
Codigo Estacao: 82780
Latitude: -7.08083332
Longitude: -41.43499999
Altitude: 210.07
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-10-03
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;79,3;33,5;27,5;22,6;59,3;
2010-02-28;130,1;35,3;29;23,7;50,8;
2010-03-31;171,8;34,9;28,4;23,3;58,8;
2010-04-30;153,1;32,8;27,2;23;64,8;
2010-05-31;,8;35,2;28,1;21,7;48,3;
2010-06-30;14;33,3;27,1;21,3;50,8;
2010-07-31;0;34,1;27,5;20,6;49,1;
2010-08-31;0;35;28;21;41,2;
2010-09-30;0;36,4;29,5;22,5;38,4;
2010-10-31;84,5;37,5;30,6;24,2;40,1;
2010-11-30;50,9;36,6;29,9;23,7;45,2;
2010-12-31;74,5;33,4;27,8;23,2;56,9;
2011-01-31;46,7;33,5;27,3;22,4;58,6;
2011-02-28;225,9;31,8;26,1;22,1;75,8;
2011-03-31;224,7;32,4;26,2;21,8;75,7;
2011-04-30;76,9;32,6;26,6;22;66;
2011-05-31;92,6;31,8;26;21,1;62,7;
2011-06-30;0;33,6;26,7;19,9;49,5;
2011-07-31;0;33,7;27,2;20;52,5;
2011-08-31;4,2;35,5;28,4;21,1;39,5;
2011-09-30;0;36;29,1;21,8;37,8;
2011-10-31;3,8;36,7;30,5;24,5;39,6;
2011-11-30;75,5;35,2;29,1;23,7;47,6;
2011-12-31;,4;36,9;30,9;24,5;40,6;
2012-01-31;49,5;35,1;29;23,8;51,7;
2012-02-29;75,1;33,6;27,8;22,7;54,7;
2012-03-31;47,4;34,7;28,3;23;53;
2012-04-30;12,7;36,5;29,3;22,5;45,2;
2012-05-31;7,1;36;29,6;22,9;41,4;
2012-06-30;1,8;35,3;28,9;22,1;40,7;
2012-07-31;0;34,7;28,7;22,1;44;
2012-08-31;0;34,5;28,1;21,6;37,6;
2012-09-30;0;36,5;29,9;22,9;33,6;
2012-10-31;,6;37,7;31,4;24,9;32,3;
2012-11-30;103,9;37,1;31;25,2;41,5;
2012-12-31;13,8;36,1;30,1;24,4;47,7;
2013-01-31;73,9;34,5;28,7;23,9;53,5;
2013-02-28;8,8;36,3;30;23,9;43,3;
2013-03-31;69,9;35,3;29,5;24,5;53,8;
2013-04-30;68,5;33,5;28;23,1;60,9;
2013-05-31;67;34,5;28,7;22,8;47,2;
2013-06-30;8,6;34,7;28,7;22,3;42,3;
2013-07-31;1;34,3;28,3;21,9;39,8;
2013-08-31;0;35,8;29,3;22,8;38,3;
2013-09-30;0;37,4;30,8;24,3;37,3;
