Nome: BARBALHA
Codigo Estacao: 82784
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;232,1;31,6;25,3;20,7;84,1;
2010-02-28;111,5;32,6;26,2;21,6;82,1;
2010-03-31;177,6;33,7;26,5;21,8;80,9;
2010-04-30;299,8;32,2;26,1;22;81,3;
2010-05-31;19,3;32,9;26;21;75,9;
2010-06-30;40,6;30,7;24,8;20;75,1;
2010-07-31;8;31,6;25;19,9;74,8;
2010-08-31;0;32,8;25,4;19,3;61;
2010-09-30;0;34,3;26,4;19,6;56,8;
2010-10-31;25,5;35;27,5;20,9;63,7;
2010-11-30;10;35,1;27,5;21,3;64,5;
2010-12-31;183,6;32;25,8;20,7;77,5;
2011-01-31;367,6;31,2;25,2;20,5;85,8;
2011-02-28;295,2;30,2;24,6;20,5;93,2;
2011-03-31;262,8;31,3;25,1;21;88,8;
2011-04-30;84;31;25;20,9;90,7;
2011-05-31;78,8;29,8;24,5;20,6;85,6;
2011-06-30;3,4;30,7;24,3;19,1;80,3;
2011-07-31;6,3;30,8;24,1;18,9;79;
2011-08-31;10,2;32,9;25,2;18,4;74,1;
2011-09-30;0;33,6;26,1;19,2;70,6;
2011-10-31;204,3;34,4;27,1;20,7;76,2;
2011-11-30;73,5;31,9;25,1;20,3;83,2;
2011-12-31;77,8;33,7;25,6;20;77,8;
2012-01-31;38,6;33,4;25,9;20,5;78,5;
2012-02-29;147,4;33;25,9;20,4;84;
2012-03-31;221,9;31,4;25,1;20,3;86,8;
2012-04-30;53;33;25,4;20,1;80,5;
2012-05-31;5,8;33,8;26;20,5;68,6;
2012-06-30;18,1;32,9;25,6;19,7;65,6;
