Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;156,1;27;21,6;17,7;82;
2010-02-28;132,8;28;22,4;18,2;74,1;
2010-03-31;24,8;29,8;23,6;18,9;66;
2010-04-30;258,3;27,1;21,9;18,4;78,3;
2010-05-31;30,7;27,5;22;17,9;68,7;
2010-06-30;208,7;22,7;18,8;16,2;87,2;
2010-07-31;79,6;23;18;15;84,3;
2010-08-31;12,2;24,4;18,2;14,3;74,5;
2010-09-30;26,8;26,8;19,9;14,8;69,7;
2010-10-31;119;28,8;22,2;16,9;65,2;
2010-11-30;0;29,5;23,3;16,7;53;
2010-12-31;83,2;27,9;22,1;17,6;null;
2011-01-31;215,2;27,5;21,7;17,1;78,6;
2011-02-28;230,5;26;21,2;17,3;79,7;
2011-03-31;152,7;27,2;21,8;17,6;78,6;
2011-04-30;225,2;25,6;20,8;17,3;82,6;
2011-05-31;296,3;23,1;19,2;16,6;90,8;
2011-06-30;96,4;23,2;18,8;15,7;80,7;
2011-07-31;98,2;22,4;17,7;14,8;83,4;
2011-08-31;52,6;25,1;19;14,8;70;
2011-09-30;41,9;25,8;19,2;14,8;70,6;
2011-10-31;108,7;28,4;22;16,4;58;
2011-11-30;65,6;27,9;22,1;16,7;60;
2011-12-31;12;29,4;23,2;17,2;null;
2012-01-31;35,5;28,5;22,5;17,5;64,5;
2012-02-29;106,5;27,9;22,1;17,1;61;
2012-03-31;28,5;28,3;22,4;17,3;58,7;
2012-04-30;37,7;28,6;22,7;17,4;54,5;
2012-05-31;45,1;27,3;21,7;16,8;60,3;
2012-06-30;17,6;25,7;20,3;16;66,3;
2012-07-31;32,4;24,5;18,8;14,4;73,3;
2012-08-31;40,6;24,7;18,4;13,8;69,2;
2012-09-30;2;27,7;20,8;14,6;55,1;
2012-10-31;1;28,9;22,1;15,4;53,4;
2012-11-30;2,8;30,6;23,9;16,9;49,6;
2012-12-31;12,8;30,2;24;17,6;null;
2013-01-31;37;29,6;23,7;18,6;62,5;
2013-02-28;42,9;30,2;23,9;17,9;53,2;
2013-03-31;103,6;29,7;23,8;18,6;58,1;
2013-04-30;225,9;26,9;21,9;18,2;71,8;
2013-05-31;78,5;25,4;20,7;17,5;79,1;
2013-06-30;42,3;24,9;20;16,4;null;
2013-07-31;112,9;23,4;18,6;15,4;79,4;
