Nome: PATOS
Codigo Estacao: 82791
Latitude: -7.05361111
Longitude: -37.27388888
Altitude: 251.65
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;130;33,9;27;20;71,8;
2010-02-28;29,4;35,3;28,3;20,7;63,9;
2010-03-31;102,5;36,6;28,8;20,8;65;
2010-04-30;49,1;34,9;27,8;20,5;71,5;
2010-05-31;9;36,2;28,5;20,3;60,8;
2010-06-30;53,3;33;26,6;21,3;68,2;
2010-07-31;1,3;33,2;26,4;20,6;62,3;
2010-08-31;,4;34;26,6;20,2;54,3;
2010-09-30;0;34,8;27,2;20,7;52,5;
2010-10-31;68,6;36;28,5;21;54;
2010-11-30;,5;36,7;29;21,3;49,9;
2010-12-31;72,3;34,6;27,6;20,7;63,2;
2011-01-31;287,1;33,9;27,1;20,8;66,7;
2011-02-28;216,1;33;26,6;21,2;72,7;
2011-03-31;104,8;32,9;26,4;20,5;74,1;
2011-04-30;119,8;33,6;26,7;21;72,9;
2011-05-31;115;31,6;25,4;18,9;75,9;
2011-06-30;7,4;32,5;25,7;18,9;70;
2011-07-31;24,7;31,4;25,2;20,2;68,6;
2011-08-31;7,6;33,2;26,2;20,3;59,5;
2011-09-30;0;34,6;27,4;21,3;57,1;
2011-10-31;13,6;35,7;28;19,8;54,2;
2011-11-30;15,6;36,2;27,8;18,4;57,2;
2011-12-31;0;36,7;29,1;21,1;50,6;
2012-01-31;20,7;35,6;29;24,8;58,2;
2012-02-29;146,4;34,8;28,3;24,3;59,9;
2012-03-31;14,5;36,1;29;23,2;56,7;
2012-04-30;14,3;36,8;29,5;22,8;54,5;
2012-05-31;2,7;35,5;28,9;23,1;59,3;
2012-06-30;13;33,5;27,2;22,2;64,3;
2012-07-31;1;33;26,6;21,7;56,1;
2012-08-31;0;34,2;27;21,7;54,8;
2012-09-30;0;35,3;28;22;52,2;
2012-10-31;0;36,3;28,6;23,2;52;
2012-11-30;,2;36,9;29,7;23,8;50;
2012-12-31;6,8;36,9;30;24,6;45;
2013-01-31;96,6;36,5;29,7;24,2;50,6;
2013-02-28;3,3;37,2;30,3;24,8;48,6;
2013-03-31;34,3;37;30,2;25;52,5;
2013-04-30;97,6;35,7;29,1;24,3;60,6;
2013-05-31;6,2;34,3;28,4;23,8;59,1;
2013-06-30;82,3;33,3;27,5;23,2;64,3;
2013-07-31;0;33,2;26,8;22;59,3;
2013-08-31;0;34,3;27,5;22,3;52;
2013-09-30;0;35,2;27,9;22,6;54,3;
2013-10-31;0;36,1;28,8;23,3;49,8;
2013-11-30;18,2;35,3;28,5;23,5;54,1;
2013-12-31;88,5;35,2;28,7;23,5;56,4;
2014-01-31;12,2;36,1;29,1;23,4;52,7;
2014-02-28;32,2;35;28,4;23,5;60,2;
2014-03-31;445,4;34,1;27,7;22,9;67,8;
2014-04-30;154,7;33;27,1;22,8;72,9;
2014-05-31;105;33;27;22,4;66,9;
2014-06-30;9,5;32,5;26,5;21,7;61,3;
2014-07-31;18,2;32,4;26,2;21;61,9;
2014-08-31;2;33,5;26,9;21,5;49,3;
2014-09-30;1,7;34,6;27,5;21,4;52,7;
2014-10-31;11,4;35;27,9;21,6;50;
2014-11-30;25,5;35,6;28,6;21,9;49,6;
2014-12-31;76,5;35,5;28,6;22,1;50,7;
2015-01-31;23,9;36,1;29;22,2;49;
2015-02-28;174,1;34,6;27,9;22,1;59;
2015-03-31;148;34,8;27,8;22,1;63,6;
2015-04-30;117,2;33,6;27,3;22,2;67,2;
2015-05-31;3,7;35,5;28,6;22,6;54,2;
2015-06-30;5,9;33,3;27,2;21,8;60,7;
2015-07-31;14,1;32,5;26,4;21,8;59,4;
2015-08-31;3,2;34,1;27,1;21,3;48,9;
2015-09-30;0;35,5;28,2;21,7;50,6;
2015-10-31;0;36,3;28,6;21,3;47,1;
2015-11-30;0;37,3;29,4;20,7;43;
2015-12-31;9;36,6;28,9;20,9;49,4;
2016-01-31;142,5;33,5;27,3;22,2;67,1;
2016-02-29;82,9;34,5;27,7;21,9;61;
2016-03-31;214,7;36,3;28,7;22,5;60,6;
2016-04-30;45,5;33,9;27,8;22,8;66,4;
2016-05-31;22,1;34,7;28,2;22,5;61,2;
2016-06-30;1,2;33;27,4;22;61,8;
2016-07-31;0;33,8;27,4;21,3;49,1;
2016-08-31;0;34,4;27,7;21,4;47,9;
2016-09-30;0;35,4;28,6;22,3;49,4;
2016-10-31;0;36,3;29,3;23;45,1;
2016-11-30;0;36,6;29,7;23,4;44,4;
2016-12-31;,7;36;29,7;23,4;47,1;
2017-01-31;46,4;36,6;29,7;23;48,3;
2017-02-28;129,4;35,7;28,5;22,8;59,8;
2017-03-31;149,1;34,3;27,7;22,8;67,4;
2017-04-30;138,6;34,1;27,7;22,9;66,2;
2017-05-31;23,7;34;27,7;23;59,9;
2017-06-30;31,3;32;26,6;22,6;62,2;
2017-07-31;23;30,9;25,5;21,6;58,4;
2017-08-31;0;34,5;27,4;21,3;46,9;
2017-09-30;0;34,2;27,5;22;47,6;
2017-10-31;0;35,9;28,9;23,3;44,5;
2017-11-30;2,6;36,7;29,5;23,5;43,2;
2017-12-31;2,1;36,2;29,9;23,9;44,3;
2018-01-31;93,8;35,2;28,8;23,4;52,1;
2018-02-28;209,4;33,4;27,7;23,1;62,6;
2018-03-31;76,5;33,7;27,7;23;65,1;
2018-04-30;176,4;31,5;26,3;22,1;73,8;
2018-05-31;25,2;32,5;26,6;21,8;62,1;
2018-06-30;1;31,4;26,2;21,2;57,8;
2018-07-31;0;33,1;26,8;21,3;48,7;
2018-08-31;0;34,7;27,6;21,4;44;
2018-09-30;0;35,2;28,3;22,2;46;
2018-10-31;7,9;36,3;29,2;23,2;44,5;
2018-11-30;33,2;36,7;29,6;23,9;44,8;
2018-12-31;31,8;35,6;29,2;23,3;48,5;
2019-01-31;87,1;35,7;28,7;23,2;54;
2019-02-28;176,8;33,8;27,8;23;67;
2019-03-31;189,9;33,6;27,4;22,9;68,2;
2019-04-30;96,8;32,9;27,2;22,7;72,6;
2019-05-31;75,5;33,1;27;21,9;65;
2019-06-30;1,9;33,3;26,9;21,2;58,7;
2019-07-31;23,9;32,5;26;20,5;59;
2019-08-31;1,4;33,1;26,1;20,1;53,2;
2019-09-30;0;35,4;27,9;21,3;51,2;
2019-10-31;0;36,8;28,9;21,7;44,5;
2019-11-30;10,7;37,6;29,9;22,5;42,9;
2019-12-31;12,8;37,6;29,9;22,8;47,2;
2020-01-31;86,9;35,5;28,8;23;60,3;
2020-02-29;237,8;34,6;27,8;22,6;71,7;
2020-03-31;null;33,3;27;22,1;78;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;null;null;null;null;null;
2021-11-30;0;37,7;null;null;64,5;
2021-12-31;null;null;null;null;null;
2022-01-31;147,4;33,8;null;null;79;
2022-02-28;null;35,8;null;null;76,3;
2022-03-31;259,6;34;null;null;80,7;
2022-04-30;87,7;33,5;null;null;81,6;
2022-05-31;52,7;33,3;null;null;80,5;
2022-06-30;92,4;31,3;null;null;80;
2022-07-31;10,3;32,7;null;null;74,3;
2022-08-31;23,4;33,7;null;null;71,4;
2022-09-30;0;36,3;null;null;68,2;
2022-10-31;1,4;36,6;null;null;69,2;
2022-11-30;44,5;35,6;null;null;73,1;
2022-12-31;null;null;null;null;null;
2023-01-31;null;35,9;null;null;72,3;
2023-02-28;null;35,4;null;null;70,3;
2023-03-31;236,4;33,8;26,1;20,3;76,1;
2023-04-30;206,2;32,8;26,3;20,2;79,1;
2023-05-31;55,2;33,5;26,9;20,4;71,8;
2023-06-30;28,6;32,8;26,1;19,5;69;
2023-07-31;null;33,7;26,1;18,4;61,1;
2023-08-31;0;34,6;26,8;18,6;55,7;
2023-09-30;0;35,6;27,6;19,5;56;
2023-10-31;0;37,7;29,1;19,6;52,8;
2023-11-30;12,4;37,7;29,4;20,7;58,3;
2023-12-31;null;null;null;null;null;
2024-01-31;80,7;35,6;28,3;20,2;73,2;
2024-02-29;81,4;35,4;27,8;20,7;79,4;
2024-03-31;201,5;33,8;27,4;20,6;83,4;
2024-04-30;113,3;33,7;26,9;20,3;82,9;
2024-05-31;79,3;34,6;27,1;19,4;74,9;
2024-06-30;17,6;33,4;26,4;18,8;71,8;
2024-07-31;2,6;33,1;25,7;17,5;65,5;
2024-08-31;null;35,1;26,7;17,4;62,6;
2024-09-30;null;35,7;27,5;18,5;69,9;
2024-10-31;6,2;37,2;28,7;19,4;73,1;
2024-11-30;0;37,6;29,2;19,9;76,1;
2024-12-31;null;null;null;null;null;

