Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;64;31,3;25,2;20;72,3;
2010-02-28;46,3;32,4;25,8;20,3;70,9;
2010-03-31;null;null;null;null;null;
2010-04-30;110,3;31,4;25,3;20,5;79,7;
2010-05-31;14,7;31,9;25,2;19,2;73;
2010-06-30;134,7;28;22,7;18,3;82,5;
2010-07-31;19,2;27,6;21,8;16,5;80;
2010-08-31;0;28,9;22;15,6;66,2;
2010-09-30;6;30,5;23,2;16,6;61,8;
2010-10-31;160,4;32,5;25,3;19,1;60,8;
2010-11-30;0;32,5;25,5;19,2;57,2;
2010-12-31;172,4;31;25,1;19,6;63,7;
2011-01-31;231,1;30,9;24,6;19,3;67,8;
2011-02-28;108,1;30,8;24,6;19,5;72,8;
2011-03-31;124,7;31;24,9;19,9;71,8;
2011-04-30;48,7;30,8;24,5;19,3;73,6;
2011-05-31;186,9;28,2;23,2;19,1;79,9;
2011-06-30;49,8;28,5;22,4;17,2;74,8;
2011-07-31;48,8;27,3;21,5;16,1;76,4;
2011-08-31;11;29,4;22,4;15,9;65,4;
2011-09-30;2,8;30,4;23,1;16,2;58,9;
2011-10-31;45;31,9;24,9;18,7;56,3;
2011-11-30;52,5;31,9;25;19,3;59,2;
2011-12-31;0;33,3;26;19,7;55,3;
2012-01-31;110,7;32;25,2;19,1;59,5;
2012-02-29;21,6;31,9;25;18,8;61;
2012-03-31;,8;33,4;26;19,4;55,3;
2012-04-30;5,4;33,5;26,1;19,1;53;
2012-05-31;35,2;32,1;25,3;18,9;57,6;
2012-06-30;12,9;30,2;23,7;17,9;64,5;
2012-07-31;12,4;29,2;22,5;16,2;69,7;
2012-08-31;10,5;29,7;22,6;16;65;
2012-09-30;0;31,6;23,9;16,4;58,4;
2012-10-31;,3;32,5;25;18,1;56,3;
2012-11-30;5,1;33,6;26,2;19,4;51,9;
2012-12-31;3,8;33,9;26,5;20;53,7;
2013-01-31;82,8;33,3;26,6;20,2;55,9;
2013-02-28;5,1;33,9;26,7;19,9;50,7;
2013-03-31;94,2;33,8;27;20,9;53,6;
2013-04-30;95,6;32,3;26,1;20,6;61,3;
2013-05-31;57,6;30,5;24,5;19,2;67,6;
2013-06-30;66,4;29,5;23,4;18;70;
2013-07-31;27,1;28,1;22,1;16,6;71,3;
2013-08-31;5,5;29,7;23,1;17,2;63,1;
2013-09-30;,7;31,3;24;17,3;57,1;
2013-10-31;19,6;32,3;25,1;18,5;55,9;
2013-11-30;6,2;31,7;25;19,1;57,4;
2013-12-31;97,4;32,1;25,6;19,6;57,3;
2014-01-31;21,8;32,4;25,5;19;54,3;
2014-02-28;54,2;31,9;25,1;19,4;64,4;
2014-03-31;110,3;32;25,4;19,4;66,3;
2014-04-30;162,9;31,3;24,9;19,5;72,6;
2014-05-31;98,9;null;null;18,5;74;
2014-06-30;2;null;null;17;70,5;
2014-07-31;24,7;null;null;16,3;69,4;
2014-08-31;10,4;null;null;15,7;62,8;
2014-09-30;5,4;31,5;24,1;17,6;58,1;
2014-10-31;16,4;31,8;24,4;18,1;59,3;
2014-11-30;20;32,4;25,4;18,8;57,1;
2014-12-31;9,1;32,7;25,6;19;55,9;
2015-01-31;,8;33,3;26,4;19,1;55,3;
2015-02-28;61,8;33,2;26,2;19,7;57;
2015-03-31;81,4;33,1;26,2;20;59,9;
2015-04-30;108,2;32,7;26,2;20;60,8;
2015-05-31;8,4;31,9;25,6;19,5;58,8;
2015-06-30;65,1;29,1;23,2;17,8;69,2;
2015-07-31;70,2;28,1;22,5;17,6;74,9;
2015-08-31;8,2;30,1;23;16,1;60,7;
