Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;78,3;29,9;24,4;21,7;81,8;
2010-02-28;14,3;30,7;25,2;22,2;80,2;
2010-03-31;21,2;32,6;25,9;22,4;78,4;
2010-04-30;95,6;30,4;25,1;22,2;81,1;
2010-05-31;27,1;30,2;24,6;21,5;80,3;
2010-06-30;233,5;27,3;23;20,5;84,8;
2010-07-31;42,1;25,6;21,6;19;86,4;
2010-08-31;85,9;25,9;21,2;18,2;85;
2010-09-30;48,3;27,7;22,1;19;79,7;
2010-10-31;16,2;30,8;24,2;20,8;75,8;
2010-11-30;4;31,4;24,5;20,8;72;
2010-12-31;37,2;30,8;24,6;21,3;74,9;
2011-01-31;53,5;30,6;24,4;21,1;79;
2011-02-28;139,8;30,6;24,8;21,7;79,9;
2011-03-31;137,3;30,4;24,8;21,8;80,8;
2011-04-30;180;28,8;24;21,4;85,5;
2011-05-31;361,1;26,5;22,8;20,5;90,5;
2011-06-30;127,8;26,2;22,1;19,5;88,9;
2011-07-31;333,9;24,6;20,9;18,7;91,3;
2011-08-31;105,9;26;21,4;18,4;87,1;
2011-09-30;4,1;27,5;22,1;18,8;81,4;
2011-10-31;7,4;29,3;23,4;20,2;79;
2011-11-30;25,1;29,8;23,9;20,7;76,6;
2011-12-31;19,5;30,6;24,3;20,8;75,1;
2012-01-31;71,6;29,7;23,7;20,5;79,8;
2012-02-29;98,9;29,3;23,8;20,8;78,9;
2012-03-31;14,4;30,4;24,4;21,1;76,6;
2012-04-30;5;31,1;24,7;21,2;72;
2012-05-31;58,3;29,5;23,7;20,8;77,1;
2012-06-30;213,1;27;22,3;19,7;84;
2012-07-31;102;25,6;21,3;18,6;85,5;
2012-08-31;20,9;26,8;21,4;18;78,9;
2012-09-30;6,2;28,6;22,5;18,9;73,7;
2012-10-31;10,2;29,3;23,1;19,7;74,2;
2012-11-30;,5;30,9;24,1;20,5;71,3;
2012-12-31;9,2;31,6;24,5;20,9;72,1;
2013-01-31;27,2;31,4;24,9;21,5;71,4;
2013-02-28;30,1;31,8;25,1;21,2;71,5;
2013-03-31;37,1;31,7;25,4;22;73,4;
2013-04-30;116,4;30,8;24,9;21,6;76,9;
2013-05-31;66,4;28;23,6;20,7;81,4;
2013-06-30;150,1;26,5;22,4;19,9;85,1;
2013-07-31;141,4;25,5;21,5;18,9;85,5;
2013-08-31;86,7;26,5;21,7;18,7;83;
2013-09-30;34,3;27,3;22,1;19;81,5;
2013-10-31;22,9;29,4;23,3;19,9;76,9;
2013-11-30;20,6;29,4;23,5;20,1;75,7;
2013-12-31;21,7;30,4;24,1;20,8;75,9;
2014-01-31;15,3;30,6;24,3;20,4;73,2;
2014-02-28;48,2;29,2;23,8;20,9;79,7;
2014-03-31;43,5;30,5;24,6;21,2;76,6;
2014-04-30;30,1;31,3;25,1;21,8;75,9;
2014-05-31;139,7;28,4;23,4;20,2;83,5;
2014-06-30;102,4;26,7;22,2;19,4;85,6;
2014-07-31;122,2;26,3;21,6;18,6;83,8;
2014-08-31;39,6;26,6;21,4;18,2;82,7;
2014-09-30;99,2;27,3;22;18,9;81,5;
2014-10-31;51,5;28,5;22,8;19,5;79,2;
2014-11-30;10,9;30,1;23,6;20;76,2;
2014-12-31;10,7;30,1;23,9;20,2;76;
2015-01-31;13,8;30,6;24,2;20,3;74;
2015-02-28;16,8;31,3;24,8;21;73,4;
2015-03-31;96,8;29,8;24,3;20,9;79,2;
2015-04-30;31,8;31,3;25;21,2;75,3;
2015-05-31;20,9;30,3;24,5;20,8;77,3;
2015-06-30;120,8;26,8;22,3;19,4;86,9;
2015-07-31;201,4;25,1;21,2;18,6;90,6;
2015-08-31;24,8;26,9;21,5;18,2;82,5;
2015-09-30;11,2;28,9;22,5;19;76,4;
