Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;111,8;30,7;25,1;21,5;82,4;
2010-02-28;43,5;31,9;25,9;22,3;76,7;
2010-03-31;25;33,6;26,8;22,5;68;
2010-04-30;92,8;31,1;25,8;22,2;76,4;
2010-05-31;39;30,9;25,1;20,8;75,6;
2010-06-30;249;27,9;23,5;20,6;80,6;
2010-07-31;38,9;26,7;22,1;19,1;82,5;
2010-08-31;51;26,3;21,5;18,1;78,9;
2010-09-30;25,7;28,5;22,5;18,8;75,1;
2010-10-31;7,7;31,5;24,8;20,7;70,4;
2010-11-30;2,9;32,4;25,2;20,8;66,3;
2010-12-31;45,7;31,4;25,3;21,5;70,1;
2011-01-31;70,3;30,9;25,1;21,4;78;
2011-02-28;35,4;31,7;25,6;22;75,9;
2011-03-31;71,2;31,7;25,8;21,9;73,2;
2011-04-30;174,3;29,7;24,9;21,7;79,1;
2011-05-31;184,3;27,3;23,5;21;86;
2011-06-30;97,3;27;22,6;19,8;84,6;
2011-07-31;120,1;25,4;21,5;18,9;87,4;
2011-08-31;62,6;26,5;21,7;18,5;82,8;
2011-09-30;13,9;28,1;22,1;17,8;76,1;
2011-10-31;11;29,9;23,8;19,8;73,4;
2011-11-30;15,8;30,7;24,5;20,8;72,9;
2011-12-31;3,2;32,2;25,2;20,8;68,4;
2012-01-31;71,8;30,8;24,8;21,2;79,8;
2012-02-29;48,9;30,3;24,4;20,8;78,7;
2012-03-31;6,1;31,7;25,2;20,9;69,1;
2012-04-30;3,5;32,1;25,3;20,8;68,3;
2012-05-31;46,4;30,5;24,4;20,2;71,9;
2012-06-30;95,1;27,8;23;19,6;79,6;
2012-07-31;59,3;26;21,5;18,3;83,2;
2012-08-31;29,2;27,6;21,7;17,8;75,3;
2012-09-30;1,9;30;23,1;18,6;68;
2012-10-31;4,3;30,1;23,9;19,7;68,5;
2012-11-30;1,4;31,9;25;20,7;67,6;
2012-12-31;9;32,1;25,3;21,3;69,8;
2013-01-31;31;31,6;25,3;21,2;75;
2013-02-28;4,7;32,3;25,9;21,7;70,8;
2013-03-31;9,8;32,4;26,3;22,5;69,2;
2013-04-30;101,9;31,5;25,9;22,1;72,6;
2013-05-31;35,5;28,6;24;20,7;81,3;
2013-06-30;73;27,5;23;19,9;82,8;
2013-07-31;109,4;26,3;22,1;19;83,2;
2013-08-31;45,4;26,8;22;18,4;80,7;
2013-09-30;14,4;28,3;22,8;19;77,9;
2013-10-31;11,4;30,6;24;19,8;72,5;
2013-11-30;8,5;31;24,5;20,3;71;
2013-12-31;10,5;31,6;25,2;21,3;71,4;
2014-01-31;6,2;32,1;25,3;20,9;74;
2014-02-28;81;30;24,8;21,1;77,9;
2014-03-31;28,3;31,5;25,6;21,8;72,5;
2014-04-30;46,9;32;25,8;22,1;73,3;
2014-05-31;203,1;28,2;23,7;20,6;82,5;
2014-06-30;41,3;27,3;22,8;19,4;81,9;
2014-07-31;55,1;27,4;22,4;19,1;80,8;
2014-08-31;58,4;27,7;22;18,3;78,8;
2014-09-30;54,3;28,4;22,9;19,1;78,2;
2014-10-31;56,3;29,6;23,5;19,6;75,4;
2014-11-30;67,8;30,8;24,4;20,2;72,6;
2014-12-31;5,7;31,3;24,5;20,4;71,7;
2015-01-31;9,1;32,5;24,9;20;76,8;
2015-02-28;10,9;32,8;25,9;21,5;72,7;
2015-03-31;50,5;31,7;25,6;21,5;71,9;
2015-04-30;10,6;33;26,1;21,5;67,7;
2015-05-31;43;31,3;25,3;21;71,1;
2015-06-30;98,1;27,5;23;19,7;83,7;
2015-07-31;108,3;25,8;21,9;19,3;86,2;
2015-08-31;16,5;27,6;22;18,2;79,2;
2015-09-30;7,2;30,2;23,6;19;69,4;
2015-10-31;7,3;31,2;24,2;19,6;68,7;
2015-11-30;4;32,9;25,3;20,7;66;
2015-12-31;41,6;31,9;25,3;21,2;71,1;
2016-01-31;108,1;30,2;24,8;21,3;82,2;
2016-02-29;31,6;30,7;25;21;79,1;
2016-03-31;31,8;32,1;25,7;21,4;75,5;
2016-04-30;73,9;30,6;25,1;21,3;77,3;
2016-05-31;99,8;28,7;24;20,7;81,6;
2016-06-30;45,5;28,3;23,1;19,8;79,9;
2016-07-31;12,9;29;22,9;18,9;75,1;
2016-08-31;9,4;29,7;23,2;19,1;70,9;
2016-09-30;3,7;30,6;24,1;20,1;69,6;
2016-10-31;,2;32;25;21,2;67,3;
2016-11-30;,6;32,2;25,6;21,6;66;
2016-12-31;4,6;32,8;25,8;21,9;67,8;
2017-01-31;7,5;32,7;25,7;21,8;77,1;
2017-02-28;4,3;32,5;26,1;22,2;71,8;
2017-03-31;12,5;32,6;26,2;22,6;70,3;
2017-04-30;79,7;30,7;25,5;22,2;75,2;
2017-05-31;64,2;29,1;24,4;21,6;78,8;
2017-06-30;86,1;26,6;22,9;20,6;84,5;
2017-07-31;138,6;25,1;21,2;18,9;87,4;
2017-08-31;13,9;27,4;22,2;18,6;80,7;
2017-09-30;18,9;28,9;22,7;18,9;74,8;
2017-10-31;6,6;30,4;24,1;20,1;71,5;
2017-11-30;6,1;31,7;25;20,9;70,9;
2017-12-31;9,2;32,6;25,8;21,6;71,2;
2018-01-31;69,8;31,7;25,4;21,8;78,7;
2018-02-28;59,6;30,7;25,1;21,8;81,1;
2018-03-31;124,9;30,5;24,9;21,6;79,4;
2018-04-30;223,1;28,4;24;21,2;85,6;
2018-05-31;72,5;27,7;23,3;20,1;84,4;
2018-06-30;35,8;27,8;22,5;18,7;81;
2018-07-31;14,9;28,3;22,3;18,1;79,8;
2018-08-31;9,3;30;23,3;18,7;73,2;
2018-09-30;3;30,5;23,8;19,3;73,2;
2018-10-31;,4;32,3;25;20,6;70,1;
2018-11-30;9,6;32,3;25,5;21,2;73,1;
2018-12-31;18,7;32,5;25,6;21,4;75,1;
2019-01-31;11,8;32,6;25,7;21,6;81,8;
2019-02-28;34,2;32,3;26,2;22,6;78,3;
2019-03-31;82,9;31,9;26;22,3;77,4;
2019-04-30;47,2;31,2;25,7;22,2;78,7;
2019-05-31;35,2;30,8;25,2;21,5;76,3;
2019-06-30;115,6;28,4;23,6;19,9;79,6;
2019-07-31;129,1;26,1;22,1;19,3;86,9;
2019-08-31;67,1;25,8;21,7;18,7;84,9;
2019-09-30;22,4;28,3;22,8;19,2;80;
2019-10-31;6,2;31,2;24,3;19,9;72,1;
2019-11-30;0;32,9;25,3;20,9;69,8;
2019-12-31;2,5;33,2;25,7;21,1;68,4;
2020-01-31;8,8;33,5;25,9;21,7;79,9;
2020-02-29;51,8;33;26,6;22,5;78,9;
2020-03-31;181,2;32;26;22,1;82,7;
2020-04-30;112,6;30,5;25,3;21,7;87,2;
2020-05-31;63,4;29,4;24,4;20,9;87,7;
2020-06-30;268,6;27,6;null;19,7;null;
2020-07-31;28,4;27;null;18,2;null;
2020-08-31;10,9;29;null;17,7;null;
2020-09-30;17,8;29,6;null;18,8;null;
2020-10-31;3;31,8;null;20,3;null;
2020-11-30;0;32,5;null;21,1;null;
2020-12-31;,6;31,9;null;21,1;null;
2021-01-31;null;32,4;null;21,2;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;2,6;null;null;20,9;null;
2021-11-30;34,7;33,3;26,1;22,2;72;
2021-12-31;59;31,6;25,3;21,9;79,7;
2022-01-31;79;31,1;25;21,8;86,4;
2022-02-28;31,8;32,3;25,7;21,7;null;
2022-03-31;58,6;31,1;25,3;21,9;82,2;
2022-04-30;40,8;31,1;25,4;21,6;82,3;
2022-05-31;247,2;28,7;24,2;21,1;85,8;
2022-06-30;179,2;26,4;22,8;19,9;88,8;
2022-07-31;97,5;26,1;22,1;19,1;86,9;
2022-08-31;85,2;26,2;21,6;18,2;84,3;
2022-09-30;7,2;28,9;23,1;18,5;77,7;
2022-10-31;20,6;30,6;24,2;20,3;76,5;
2022-11-30;64,8;30,8;24,6;21,1;78,9;
2022-12-31;29,5;31,7;25;21;74,6;
2023-01-31;26,2;31,7;25,1;21,2;79,6;
2023-02-28;null;31,5;25,5;21,9;77,5;
2023-03-31;95,5;30,9;25,1;21,4;75,7;
2023-04-30;52,2;30,2;24,7;21,1;80,4;
2023-05-31;86,4;29,6;24,6;21;80,5;
2023-06-30;161,8;27,2;23;20;86;
2023-07-31;59,6;27,1;22,5;19,2;84,6;
2023-08-31;41,5;27,9;22,4;18,9;81,9;
2023-09-30;35,7;29,1;23,1;19,3;79,7;
2023-10-31;14,4;32;24,6;20,1;69,9;
2023-11-30;6,6;32,7;25,6;21,2;67,6;
2023-12-31;69;31,7;25,2;21,3;72,9;
2024-01-31;13,1;null;null;22;null;
2024-02-29;67,2;null;null;22,3;null;
2024-03-31;102,6;null;null;22,5;null;
2024-04-30;129,2;null;null;21,8;null;
2024-05-31;33,8;30,5;25;21,1;80,9;
2024-06-30;153,8;28;23,3;19,9;85,1;
2024-07-31;65,8;26,8;22,4;18,5;84,1;
2024-08-31;19,1;28,4;22,7;17,9;78,2;
2024-09-30;10,6;29,9;23,1;18,6;73,3;
2024-10-31;1,4;31,5;24,5;20,2;70,7;
2024-11-30;1,6;32,6;25,4;20,7;66,8;
2024-12-31;19,7;33;25,6;21,3;69;

