Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;110,9;30,8;27,7;23,8;78;
2010-02-28;76,9;31,7;28,4;24,7;74,6;
2010-03-31;30,9;32,5;28,9;24,7;72,8;
2010-04-30;165,9;31,8;28,6;25,6;77,4;
2010-05-31;111,7;31,5;27,9;23,8;75;
2010-06-30;256,3;30,3;26,3;22,1;79,5;
2010-07-31;222,4;29,2;25,5;22,1;78,3;
2010-08-31;189;29;24,7;21;78;
2010-09-30;92,4;29,2;25,9;22,7;74,4;
2010-10-31;16;30,5;27,5;25,1;73,2;
2010-11-30;10,1;31;28;25,8;70,6;
2010-12-31;38,5;31,2;28,1;25,7;73,4;
2011-01-31;223,4;31;27,8;25,1;75,7;
2011-02-28;222;31,3;28,3;25,3;74,3;
2011-03-31;66,2;31,9;28,6;25,3;74;
2011-04-30;428;30,5;27,2;24,1;82,5;
2011-05-31;484,7;30;26,5;23,9;84,4;
2011-06-30;248,7;29,2;25,9;23,3;82,3;
2011-07-31;425,8;28,3;25;22,5;83,1;
2011-08-31;215,5;29,1;25,4;22,4;78,5;
2011-09-30;36,5;29,7;26,3;23,3;70,8;
2011-10-31;9,6;30,2;27,2;24,9;71,9;
2011-11-30;45,2;30,6;27,7;25,4;71,5;
2011-12-31;8,4;31;28,1;26;70,3;
2012-01-31;206,4;30,6;27,5;25,2;75,8;
2012-02-29;141,3;30,8;27,6;24,9;74,7;
2012-03-31;71;31,3;28,1;25;73,6;
2012-04-30;47;31,3;27,9;24,3;73,3;
2012-05-31;216,5;30,3;27;23,8;77,5;
2012-06-30;538,1;29,4;25,7;22,6;81,5;
2012-07-31;290,5;29,1;25,5;22,2;78;
2012-08-31;81,1;29;25,2;21,8;75,9;
2012-09-30;36,7;29,4;26;23,1;72,8;
2012-10-31;30,5;29,9;26,8;24,4;71,5;
2012-11-30;2;30,7;27,7;25,7;70,7;
2012-12-31;7,5;30,9;28,1;26,3;72,4;
2013-01-31;51,3;31,2;28,2;25,9;72,8;
2013-02-28;39,3;31,7;28,6;26,1;71,3;
2013-03-31;17,5;31,7;28,9;26,6;71,5;
2013-04-30;271,2;31,3;27,9;24,6;76,6;
2013-05-31;185,7;30,7;27,3;23,8;76,6;
2013-06-30;493,5;29,6;26;22,9;83,3;
2013-07-31;481,5;28,5;25;22,5;84,9;
2013-08-31;252,2;29,1;25,7;22,6;79,6;
2013-09-30;286,9;29,3;26,2;23,6;79,7;
2013-10-31;40,2;30,3;27,4;25,1;74,3;
2013-11-30;33,4;30,4;27,5;25,4;77,4;
2013-12-31;21,4;30,7;28;25,8;73,3;
2014-01-31;85,8;30,7;27,7;25,2;72,7;
2014-02-28;108,2;30,6;27,7;24,9;74,6;
2014-03-31;150,5;31,1;28,1;25,1;74,9;
2014-04-30;134,1;31,3;28,2;24,9;75,6;
2014-05-31;265;30,3;26,7;23,6;81,3;
2014-06-30;256,3;29,5;25,8;22,1;81,2;
2014-07-31;153,1;29;25,3;21,6;78,3;
2014-08-31;79;29;25,4;21,2;74,1;
2014-09-30;199,2;29;26;23,2;76;
2014-10-31;40,5;30,2;27,1;24,7;72,9;
2014-11-30;13,3;30,4;27,6;25,3;71,2;
2014-12-31;23,1;30,7;27,8;25,4;72,8;
2015-01-31;54,8;30,9;27,8;25,4;72,4;
2015-02-28;40,7;31,5;28,4;26;73,7;
2015-03-31;406,6;30,8;27,8;25;76,5;
2015-04-30;51,3;31,5;28,4;24,7;72,8;
2015-05-31;87,2;31,2;27,8;24,4;76,1;
2015-06-30;343,2;29,7;26,1;22,8;80,7;
2015-07-31;381,4;28,8;25,4;22,7;83,1;
2015-08-31;50,6;29,2;25,8;22,5;74,8;
2015-09-30;56,9;29,7;26,7;24,1;71,5;
2015-10-31;19,5;30,2;27,1;24,6;70,6;
2015-11-30;4,8;30,7;27,7;25,4;70,7;
2015-12-31;149,7;31,1;27,8;25;74,4;
2016-01-31;100,5;31,1;27,9;25,1;78,5;
2016-02-29;104,2;31,5;28,1;24,3;74,9;
2016-03-31;145,1;31,8;28,3;24,6;76,6;
2016-04-30;374,3;31,3;27,9;24,6;78,5;
2016-05-31;359,7;30,3;26,6;22,9;82;
2016-06-30;254,7;29,9;26,2;22,4;78,9;
2016-07-31;45,8;29,6;25,6;21,3;76,4;
2016-08-31;47,3;29,9;25,9;21,6;73;
2016-09-30;52,8;30,2;26,8;23,5;71,4;
2016-10-31;11,4;31,1;27,5;24,3;72,5;
2016-11-30;8,6;31,7;28;25,2;76,1;
2016-12-31;64,8;32;28,1;24,7;75,2;
2017-01-31;57,1;32;28,1;24,1;73,5;
2017-02-28;41,7;32,3;28,2;23,8;74,6;
2017-03-31;145,5;32,3;28,2;23,1;76,6;
2017-04-30;276,9;32,1;27,7;22,4;77,4;
2017-05-31;493,8;31,2;26,8;22,9;82,7;
2017-06-30;328,1;30,3;26,2;23;83,9;
2017-07-31;442,8;28,5;24,6;22,1;86,2;
2017-08-31;75,3;29,8;25,8;22;76,7;
2017-09-30;120,6;30;26;22,8;74,2;
2017-10-31;51,6;30,7;27,1;24,5;74,2;
2017-11-30;11;31,6;28;25,4;70,8;
2017-12-31;26,6;32,2;28,7;26,2;72,4;
2018-01-31;100,7;32;28,2;25,3;74,7;
2018-02-28;142,3;31,7;28;24,8;76,7;
2018-03-31;204,4;32,1;28,2;25;77;
2018-04-30;357,7;31;27,1;24,1;83,7;
2018-05-31;245,8;30,9;26,6;23,2;81,6;
