Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;263,2;31,6;26,3;22,7;86,5;
2010-02-28;102,5;32;26,7;23,1;86,7;
2010-03-31;137,8;32,3;26,6;23;87;
2010-04-30;105,8;33,1;27;22,8;83;
2010-05-31;157;31,2;25,4;21,5;84,4;
2010-06-30;31,2;31,7;25,7;20,9;83;
2010-07-31;50,8;30,8;23,9;18,4;81,2;
2010-08-31;45,6;34,3;25,7;18,7;72,6;
2010-09-30;73;33,8;26,8;21,2;76,9;
2010-10-31;222,8;34;25,9;21,4;80,7;
2010-11-30;247,2;32,3;25,9;21,3;84,8;
2010-12-31;205,6;31,7;25,6;21,3;85,6;
2011-01-31;344,8;30,9;25,5;21,6;86,4;
2011-02-28;264,8;30,3;25,3;21,6;87,2;
2011-03-31;394,2;30,7;25,5;21,5;87,3;
2011-04-30;233,4;31,5;26,2;21,7;85,2;
2011-05-31;89,4;31,1;25,4;20,4;85,3;
2011-06-30;39,8;31,4;25,2;19,6;83,1;
2011-07-31;83,6;31,9;24,7;19,2;81,2;
2011-08-31;57,2;33,6;null;null;75,7;
2011-09-30;139,8;33,4;26,5;22,6;80,8;
2011-10-31;119,4;32,4;26,3;23;85;
2011-11-30;129,8;32,6;26,8;23,2;83,2;
2011-12-31;357,6;31,1;25,9;23;88,9;
2012-01-31;309,4;30,4;25,4;22,8;89,9;
2012-02-29;324;30;25,3;22,6;88,4;
2012-03-31;296,4;31,3;25,8;22,6;86,8;
2012-04-30;294,4;31,3;26,1;23,1;87,6;
2012-05-31;121,4;31,6;25,5;21,8;86,5;
2012-06-30;88,6;30,8;24,8;20,8;86,2;
2012-07-31;44,8;31,9;24,4;18,9;81,1;
2012-08-31;108,2;33,3;25,7;20;77,6;
2012-09-30;181;34,2;26,7;21,7;77,1;
2012-10-31;135;32,7;26,5;22,6;83,3;
2012-11-30;203,4;32,4;26,8;23,4;84,9;
2012-12-31;360,8;30,4;25,5;22,9;90,1;
2013-01-31;513,2;31,1;25,8;22,7;88,3;
2013-02-28;232,8;30,8;26;23;88,2;
2013-03-31;354,2;31,3;26,3;23,1;88,2;
2013-04-30;156,6;32,7;26,5;22,2;85,6;
2013-05-31;110,1;31,4;25,9;22,5;88,3;
2013-06-30;189,2;31,7;25,8;22,2;89,2;
2013-07-31;100;31,1;24,4;19,6;87,1;
2013-08-31;13,6;32,5;24,9;19,2;82,1;
2013-09-30;157;33,7;26,3;21,2;83;
2013-10-31;188,4;32,5;26,4;23;87,4;
2013-11-30;298,8;31,5;26,2;22,6;87,2;
2013-12-31;211,8;31,6;26,2;23,1;88;
2014-01-31;430,8;30,5;25,7;22,9;90,3;
2014-02-28;265,8;30,5;25,9;23,1;90,3;
2014-03-31;289,8;31,1;26;23,1;90,1;
2014-04-30;202,4;31,3;26,2;23,1;88,8;
2014-05-31;259;30,8;25,4;22,2;89,2;
2014-06-30;138,4;31,4;25,6;21,6;86,9;
2014-07-31;41,2;30,4;24,6;19,7;86,2;
2014-08-31;86,6;32,8;25,8;20,8;83,2;
2014-09-30;91,2;33,2;26,4;22,2;88,5;
2014-10-31;110,4;32,7;26,5;23;85,9;
2014-11-30;444;31,8;26,2;23,3;92,1;
2014-12-31;199,8;31,5;26,4;23,3;87,9;
2015-01-31;607;30,1;25,3;22,7;90,8;
2015-02-28;397,2;31,1;26,2;23,2;87,6;
2015-03-31;410,2;30,8;26;23,1;89,4;
2015-04-30;267,6;31,8;26,5;23,2;87,2;
2015-05-31;169;31;25,9;22,8;89,8;
2015-06-30;45,2;31,7;25,8;21,6;86,8;
2015-07-31;62,4;32,4;25,9;21,3;86,6;
2015-08-31;172,8;34;26,9;22,3;84,3;
2015-09-30;189,8;34,1;27,3;22,7;88,9;
2015-10-31;87,2;33,8;27,2;23,3;89,6;
2015-11-30;168,8;33,5;27,2;23,7;86;
2015-12-31;395,8;31,7;26,3;23,3;89,6;
2016-01-31;271,8;32,4;27,1;24;88,9;
2016-02-29;310;32,2;26,8;23,8;88,8;
2016-03-31;280,4;32,2;27;23,7;86,5;
2016-04-30;134;32,9;26,9;23,2;84,2;
2016-05-31;97,2;31,4;26,1;22,1;86,3;
2016-06-30;76;31,4;25,3;20,4;83,2;
2016-07-31;29,2;33,4;26,2;20,3;79,3;
2016-08-31;88,2;34;26,7;21;78;
2016-09-30;47,3;33,3;26,3;21,4;84,5;
2016-10-31;346;32,8;27;23,2;85,1;
2016-11-30;193,9;32,3;26,8;23,4;81,9;
2016-12-31;322,6;31,3;26,4;23,1;84,2;
2017-01-31;483,2;30,4;25,8;22,9;86,7;
2017-02-28;190,2;31,2;25,8;22,8;85,4;
2017-03-31;330,9;31,3;26,2;23;85,8;
2017-04-30;177,3;31,4;26,1;22,9;85,5;
2017-05-31;118;32,1;26,5;23;85,8;
2017-06-30;37,4;31,3;25;20,5;83,1;
2017-07-31;10,1;32,9;24,7;18,5;76,1;
2017-08-31;30;34,4;26,8;21,6;75,7;
2017-09-30;156,2;33,4;26,5;22,5;84,2;
2017-10-31;121,4;33,7;27,1;22,9;85,3;
2017-11-30;344,4;32;26,5;23,2;84,6;
2017-12-31;466,6;32,1;26,4;23,1;83,8;
2018-01-31;255,4;31,4;26,1;23;83,9;
2018-02-28;242,4;30,8;26,1;23,2;85,2;
2018-03-31;361;31,5;26,4;22,9;83;
2018-04-30;193,7;31,3;26;22,9;85,2;
2018-05-31;91,8;31,1;25,8;22,1;84,2;
2018-06-30;49;30,1;24,3;19,3;80,2;
2018-07-31;23,4;32,6;25,4;19,5;77,3;
2018-08-31;115;32,2;25,4;20,1;78,2;
2018-09-30;45,6;34,3;26,7;21,7;79,9;
2018-10-31;271,8;32,9;26,9;23,5;88,1;
2018-11-30;331,9;31,6;26,6;23,8;85,7;
2018-12-31;301,7;30,6;25,8;23;86,7;
2019-01-31;395,4;30,9;26,2;23,2;85,5;
2019-02-28;324,2;31,3;26,1;23,4;86,1;
2019-03-31;421;31,6;26,4;23,4;85,8;
2019-04-30;127,2;32,2;26,6;23,3;83,2;
2019-05-31;95,4;31,9;26,1;22,1;82,8;
2019-06-30;105,8;31,9;26,1;22;84,1;
2019-07-31;38,4;31,9;25,1;20,3;81,9;
2019-08-31;105;33,2;25,6;19,4;75,2;
2019-09-30;119,8;34,3;27,4;22,9;85;
2019-10-31;216;32,1;26,2;23;89,9;
2019-11-30;233,4;32,1;26,6;23,4;85,5;
2019-12-31;287,6;31,6;26,6;23,5;85,2;
2020-01-31;258;32,5;27;23,7;82,3;
2020-02-29;210,8;31,5;26,6;23,7;86,1;
2020-03-31;251,8;32,5;26,8;23,8;86,6;
2020-04-30;223;32,2;26,7;22,8;90,4;
2020-05-31;95,6;31;25,8;21,3;86,5;
2020-06-30;73;32;26,2;21,4;86,5;
2020-07-31;57,8;31,6;25,9;21,2;86,3;
2020-08-31;31;34,1;26,3;19,6;78,1;
2020-09-30;173,8;33,5;27,4;22,6;83,1;
2020-10-31;null;null;null;null;null;
2020-11-30;139,8;33,1;27,4;23,4;83;
2020-12-31;478,6;31,2;26,2;23;84,5;
2021-01-31;370,2;31,4;26,5;23,1;82,6;
2021-02-28;406,2;30,8;26,4;23,5;85,4;
2021-03-31;376,2;30,3;25,8;22,7;85,1;
2021-04-30;160,2;31,6;26,6;23;83,1;
2021-05-31;67;31;25,8;21,7;83,5;
2021-06-30;59,6;30,6;25,2;21,2;83,2;
2021-07-31;56;31,9;25,1;19;81,3;
2021-08-31;75,8;34;27,1;20,9;73,2;
2021-09-30;153;33,5;27,2;22,5;82,4;
2021-10-31;138,4;32,8;27,2;23,1;80,8;
2021-11-30;253,6;31,9;26,5;23,2;83,9;
2021-12-31;197,6;31,9;26,7;23,4;83;
2022-01-31;174,2;32,4;26,8;23,1;82,2;
2022-02-28;229,2;31,2;26,1;22,9;84,4;
2022-03-31;369,6;31,1;26,5;22,9;83,1;
2022-04-30;118,2;31,6;26,2;22,7;83,9;
2022-05-31;99,4;31,2;25,6;21,4;82,3;
2022-06-30;63,2;31,2;25;20,2;81,2;
2022-07-31;18,2;33,6;27;21,4;76,4;
2022-08-31;51;33,2;26,1;20,2;74;
2022-09-30;55,8;35;27,5;21,2;77,1;
2022-10-31;205,2;33,7;27,2;22,9;84,1;
2022-11-30;76,8;33,7;26,9;22,2;75,7;
2022-12-31;131,2;32,5;26,7;23;80,6;
2023-01-31;517;31,1;26;22,6;83,8;
