Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;147,1;32,8;27;23,2;79,7;
2010-02-28;236,5;32,4;26,7;23;83,3;
2010-03-31;189,2;32,9;27,4;23,8;82,5;
2010-04-30;265,3;33,2;28;23,7;79,5;
2010-05-31;107,4;35,1;28,9;23,8;72,2;
2010-06-30;14,8;35,5;28,5;22,9;65,5;
2010-07-31;0;36,6;28,7;21,7;54,5;
2010-08-31;0;38;29,1;20,9;51,2;
2010-09-30;0;39,2;30,4;22,4;49,9;
2010-10-31;175,8;35,5;28,6;23,4;71,5;
2010-11-30;235,9;33,6;27,5;23,4;78,1;
2010-12-31;204,7;32,5;27;23;81,5;
2011-01-31;195;32,2;26,5;22,6;81,5;
2011-02-28;317,5;32;26,4;22,7;81,3;
2011-03-31;306;31,9;26,7;22,9;82,1;
2011-04-30;227,1;32,2;26,7;23,1;82,6;
2011-05-31;82;33,6;27,7;23,2;75,2;
2011-06-30;,2;35,5;28,5;22,7;62,5;
2011-07-31;0;36,3;28,4;21,5;56,4;
2011-08-31;12,4;37,9;29,2;21,8;55,6;
2011-09-30;0;38,8;30,2;22;49,8;
2011-10-31;270;33,9;27,4;22,7;74,9;
2011-11-30;223,2;32;26,6;22,8;80,8;
2011-12-31;164;32,8;27,2;23,4;80,2;
2012-01-31;315,7;30,3;25,5;22,3;85,5;
2012-02-29;225,5;31;25,9;22,3;82,2;
2012-03-31;161,7;32,4;26,5;22,8;81,3;
2012-04-30;112,1;33,7;27,4;23,2;80,1;
2012-05-31;152,9;34;27,7;23,2;75,9;
2012-06-30;26,3;34,5;27,9;22,8;69,3;
2012-07-31;0;36,2;28,3;21,2;58,3;
2012-08-31;0;37;28,8;20,8;51,3;
2012-09-30;7,6;37;29,4;22,5;59,2;
2012-10-31;110,4;35,3;28,5;23;70,4;
2012-11-30;260,3;32,8;26,7;22,6;80,6;
2012-12-31;186,2;32,7;26,8;22,5;82;
2013-01-31;342,4;32;26,5;22,6;82,8;
2013-02-28;209,5;32,4;26,6;22,6;82,6;
2013-03-31;362,8;32,6;26,9;22,7;82,8;
2013-04-30;173,9;32,4;27,3;23,1;82;
2013-05-31;118;33,6;27,8;23,3;77,7;
2013-06-30;76,4;34,3;28;22,9;71,6;
2013-07-31;6,1;35,6;28,6;22,5;63,6;
2013-08-31;0;37,7;29,5;21,9;54,2;
2013-09-30;111;36,4;29,2;23;63,2;
2013-10-31;244,3;34,8;28;22,9;72,8;
2013-11-30;199,8;32,4;26,4;22,4;81,8;
2013-12-31;280,3;31,6;26,4;22,6;83,8;
2014-01-31;150,7;31,6;26,1;22,1;82,6;
2014-02-28;414,2;31,3;26,1;22,3;85,3;
2014-03-31;305,7;32,1;26,5;22,5;84,9;
2014-04-30;168,4;32,6;27;22,7;81,8;
2014-05-31;22,8;34,2;28,3;23,3;73,6;
2014-06-30;0;35,7;28,8;22,7;62,3;
2014-07-31;,7;36,5;28,9;22,3;57,2;
2014-08-31;,3;37,6;29,3;21,9;52;
2014-09-30;79,1;36;28,7;22,8;66,7;
2014-10-31;240,3;34,5;27,9;22,8;72,9;
2014-11-30;269,1;32,8;27,1;22,7;81,9;
2014-12-31;415,4;31,7;26,4;22,5;83,9;
2015-01-31;264,6;32,2;26,4;22,5;82,1;
2015-02-28;193,5;31,7;26,2;22,3;83;
2015-03-31;246,5;31,9;26,5;22,5;83,2;
2015-04-30;147,2;32,4;26,8;22,7;83,5;
2015-05-31;144,1;33,7;27,8;23,1;76,5;
2015-06-30;,1;34,9;28,3;22,8;64,1;
2015-07-31;9,3;35,9;28,5;22,1;60,9;
2015-08-31;0;37,8;29,3;21,6;51,7;
2015-09-30;14,5;38,4;30,3;23,3;57,6;
2015-10-31;15,1;37,5;30;23,7;60,6;
2015-11-30;154,1;34,8;28,3;23,2;75,2;
2015-12-31;275,1;33;27,3;22,8;80,8;
2016-01-31;257,3;31,4;26,4;22,4;85,6;
2016-02-29;58,6;35,3;29;23,4;72,2;
2016-03-31;289,6;32,8;27,4;22,9;82,9;
2016-04-30;48,4;34,3;28,3;23,3;77,4;
2016-05-31;26,1;35,1;28,8;23,4;73,6;
2016-06-30;34,4;34,8;28,2;22,7;69,4;
2016-07-31;0;37;28,7;21,6;55,2;
2016-08-31;0;38,7;30,2;22,2;53,5;
2016-09-30;67,3;36,7;29,5;23,2;61,9;
2016-10-31;56,8;35,5;28,6;23,1;70,9;
2016-11-30;84,1;34,2;28;23,1;77,6;
2016-12-31;136,4;33,1;26,9;22,7;81,8;
2017-01-31;255,1;32,6;26,6;22,4;82,8;
2017-02-28;289,6;31,2;26,1;22,4;84,6;
2017-03-31;215,6;32,4;27;22,9;82,5;
2017-04-30;189,3;33;27,4;23,2;82;
2017-05-31;37,2;35,1;28,9;23,7;72,8;
2017-06-30;8,9;35,5;28,4;22,4;63,4;
2017-07-31;0;35,7;27,9;20,6;53,7;
2017-08-31;0;39,2;30,5;22,8;52;
2017-09-30;0;39,5;31;22,3;46,8;
2017-10-31;19,8;37,1;29,9;23,5;63,1;
2017-11-30;217,2;33,5;27,5;22,8;77,9;
2017-12-31;226,1;32,2;26,4;22,5;84,7;
2018-01-31;186,7;32,1;26,3;22,5;83,7;
2018-02-28;489,7;30,6;25,8;22,3;87,2;
2018-03-31;444;32,3;26,9;22,6;82,8;
2018-04-30;301,4;32,6;27;22,9;81,6;
2018-05-31;34;35;28,6;23,3;71;
2018-06-30;7,2;36,1;28,5;22,2;62,3;
2018-07-31;,3;37,5;28,8;21,3;53,8;
2018-08-31;16,3;37,9;29,3;22,2;58,3;
2018-09-30;33,3;37;29,3;23;63,6;
2018-10-31;146,3;35,4;28,2;23;75,9;
2018-11-30;156,1;34;27,5;22,9;80,4;
2018-12-31;237,3;32,7;27,3;23,1;78,5;
2019-01-31;185,6;32,6;26,4;22,2;82,6;
2019-02-28;153,9;32,5;26,9;22,6;82,5;
2019-03-31;244,6;32,9;27;23;82,3;
2019-04-30;319,6;33,2;27,4;22,9;81,8;
2019-05-31;59,6;35,2;28,5;23,4;76;
2019-06-30;6,5;36,2;28,9;22,9;64,4;
2019-07-31;null;null;null;null;null;
2019-08-31;null;38,5;29,7;22,2;51,5;
2019-09-30;42,2;39,1;30,5;23,1;54,8;
2019-10-31;182,7;34,4;27,2;22,5;77,9;
2019-11-30;136,2;34,3;27,3;22,4;79,8;
2019-12-31;128,9;34,6;27,8;23,3;78,7;
2020-01-31;185,7;33,6;27,6;23,7;81,4;
2020-02-29;261,4;32,3;26,8;22,5;83,5;
2020-03-31;327,7;32,4;26,8;22,3;83,4;
2020-04-30;183,2;33,6;27,6;22,9;79,2;
2020-05-31;46,5;34,9;28,4;23;74,1;
2020-06-30;7,1;35,5;28,4;22,4;69,5;
2020-07-31;0;37;28,6;21,3;61,2;
2020-08-31;0;38,2;29,4;21,4;56,5;
2020-09-30;16,5;39,5;30,3;22,3;60;
2020-10-31;158,9;36,3;29,1;23,3;72,4;
2020-11-30;200,2;33,8;27,8;23;81,7;
2020-12-31;209,2;33,5;27,3;23;84,3;
2021-01-31;170;33;26,9;22,6;86,1;
2021-02-28;316;30,8;26;22,7;90,8;
2021-03-31;250;31,6;26,3;22,4;89,8;
2021-04-30;207,2;32,8;27,1;22,9;87,5;
2021-05-31;4,8;34,8;28,2;22,7;76,5;
2021-06-30;0;35,9;28,1;21,7;70,1;
2021-07-31;0;36,5;28,2;19,8;61,4;
2021-08-31;0;37,9;29,2;20,4;56,2;
2021-09-30;41,4;36,3;28,5;22,2;73,7;
2021-10-31;233,2;33,9;27,4;22,6;83,3;
2021-11-30;286,9;31,6;26,4;22,5;89;
2021-12-31;291,6;31,2;26,1;22,7;91,3;
2022-01-31;350,7;31,4;25,9;22,2;87,9;
2022-02-28;377,6;32,2;26,7;22,5;87,5;
2022-03-31;305,7;31,9;26,3;22,3;89,4;
2022-04-30;253,4;33,1;27,5;22,8;84,7;
2022-05-31;31,8;34,3;27,7;21,7;75,1;
