Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;256,3;32,7;26,5;22,8;81,7;
2010-02-28;147,6;33;26,6;23,3;82,8;
2010-03-31;305,4;33,4;27,1;23,6;83;
2010-04-30;234,6;33,7;27,5;23,7;79,9;
2010-05-31;38,1;34,9;28;23,5;75,1;
2010-06-30;,8;35,1;26,7;20,9;68,9;
2010-07-31;15,6;35,6;26,2;19,5;62,1;
2010-08-31;2;36,9;26,6;18,8;54,2;
2010-09-30;0;38,5;28,9;21,3;50,1;
2010-10-31;172;35,3;28,2;23,4;72,2;
2010-11-30;286,5;33,6;27,1;23;80;
2010-12-31;158,3;32,4;26,7;23,2;81,5;
2011-01-31;271,6;31,7;25,9;22,4;84;
2011-02-28;466;31,1;25,4;22,3;85,6;
2011-03-31;212,3;32;26,3;23,2;85,1;
2011-04-30;220,7;32,7;26,4;23;83,6;
2011-05-31;128,7;32,7;26,4;22,5;80,8;
2011-06-30;5,3;34,3;25,9;20,3;71,5;
2011-07-31;0;35;25,6;19,1;64,7;
2011-08-31;2,2;37,1;27,3;20,1;58,3;
2011-09-30;0;38;28,4;20,8;50,3;
2011-10-31;188,7;34,4;27,4;22,9;73,2;
2011-11-30;345,2;31,9;26,1;23;82,4;
2011-12-31;293,6;32,9;26,5;22,8;81,9;
2012-01-31;434,4;30,4;25;22,1;87,5;
2012-02-29;276,8;31,2;25,4;21,9;84;
2012-03-31;252,5;32,1;25,9;22,6;85,7;
2012-04-30;178,8;33,3;27;23,2;82,6;
2012-05-31;64;33,4;26,8;22,4;78,4;
2012-06-30;11,3;34;26,2;21;73,7;
2012-07-31;0;35,3;25,7;19;63,9;
2012-08-31;0;36,2;26,4;18,7;54,4;
2012-09-30;2;37,2;28,3;21,2;54,3;
2012-10-31;138,3;36,3;29,1;23,9;63;
2012-11-30;201,3;33,1;27;23,5;79,3;
2012-12-31;156,1;33,2;26,7;22,8;79,6;
2013-01-31;413,3;32;26,1;22,7;84,3;
2013-02-28;191,3;32,5;26,2;22,6;83,7;
2013-03-31;354,3;32,6;26,7;23,2;84,3;
2013-04-30;130;33,1;27,3;23,6;81,2;
2013-05-31;67,8;33,1;27;22,8;80,3;
2013-06-30;10,5;34,2;26,6;21,5;73,8;
2013-07-31;,7;35,5;26,6;20,1;64,9;
2013-08-31;9,4;37;27,4;19,9;57,3;
2013-09-30;3,1;37;29,2;22,9;57,5;
2013-10-31;81,3;35,2;27,9;23,2;70,9;
2013-11-30;240,5;33,1;26,6;22,7;79,4;
2013-12-31;279,1;31,7;26,2;23,1;84,1;
2014-01-31;182,2;32,3;25,9;22,2;80,5;
2014-02-28;247,2;31,3;25,7;22,5;85,4;
2014-03-31;279,6;32,1;26,3;22,9;84,9;
2014-04-30;137,5;32,9;26,9;23,3;81,9;
2014-05-31;129,2;33,3;27;22,7;78,1;
2014-06-30;0;34,3;26,2;20,5;71,2;
2014-07-31;0;35,4;26,4;20;64;
2014-08-31;,2;37,1;27,3;19,6;55;
2014-09-30;134,5;36,2;28,4;22,2;62,8;
2014-10-31;133,5;34,8;27,5;22,6;70,2;
2014-11-30;294,8;33,3;27,2;23,2;79,9;
2014-12-31;277,4;32,2;26,4;23;82,8;
2015-01-31;256,5;32,2;26;22,2;82,3;
2015-02-28;198,9;31,6;26;22,6;83,2;
