Nome: VALE DO GURGUEIA (CRISTIANO CASTRO)
Codigo Estacao: 82870
Latitude: -8.44166666
Longitude: -43.86555555
Altitude: 261.26
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-06-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;70,8;32,8;26,6;21,8;72,7;
2010-02-28;76,8;34,2;27,4;22,9;72,2;
2010-03-31;214;33,1;27;22,8;77,1;
2010-04-30;198,2;32,7;26,4;22,2;77,5;
2010-05-31;33,4;35,5;27,6;21,3;63,8;
2010-06-30;0;34,8;27,5;21;52,5;
2010-07-31;0;34,9;27,6;20,2;46,6;
2010-08-31;0;36,1;28,2;20,7;40,8;
2010-09-30;0;37,3;29,9;22,7;40,1;
2010-10-31;22,7;36,9;30;23,5;49,8;
2010-11-30;113,6;36,1;29;23;58,4;
2010-12-31;136,3;32,8;26,8;21,6;71,4;
2011-01-31;158,5;32,1;26,1;21,7;77,2;
2011-02-28;180,2;30,3;25,1;21,5;84,9;
2011-03-31;308,9;31,1;25,6;21,8;83,8;
2011-04-30;87,3;32;25,8;21,2;78,8;
2011-05-31;25,5;33;26,4;20,9;68,4;
2011-06-30;0;34,6;26,3;18,1;54,4;
2011-07-31;0;34,4;26,7;18,2;48,1;
2011-08-31;0;36,6;28,7;19,6;39,3;
2011-09-30;0;37,3;29,7;21,4;34,4;
2011-10-31;68,7;36,2;29,3;23,1;51,7;
2011-11-30;111,9;32,6;26,8;22,2;69,4;
2011-12-31;22,5;35;28,2;21,5;59,5;
2012-01-31;139,2;32,5;26,3;21,9;74,2;
2012-02-29;244,5;30,9;25,3;20,8;77,6;
2012-03-31;127,8;32,6;26,4;20,9;73,2;
2012-04-30;9,8;35,4;27,8;20,5;61,2;
2012-05-31;0;36,5;28,7;20,3;46,3;
2012-06-30;0;36,3;28,8;20,1;38,6;
2012-07-31;0;35,9;28,3;19,9;37,8;
