Nome: SAO JOAO DO PIAUI
Codigo Estacao: 82879
Latitude: -8.365
Longitude: -42.25027777
Altitude: 237.02
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;136,9;32,5;26,6;22,1;73;
2010-02-28;35,7;35,3;28,6;23,5;61,2;
2010-03-31;130,3;34,2;27,8;23,5;71,4;
2010-04-30;120,9;33,4;27,4;22,8;69,5;
2010-05-31;1,4;36,3;29,2;23,2;48,9;
2010-06-30;15;33,6;27,7;22,8;54,3;
2010-07-31;0;33,2;27,1;22;56,3;
2010-08-31;0;34,1;27,6;22,2;44,7;
2010-09-30;0;35,4;29,1;23,5;40,9;
2010-10-31;33,8;36,6;30,2;24,7;47,6;
2010-11-30;69,2;36,3;29,4;22,9;52,6;
2010-12-31;82,7;33,4;27,2;21,2;65,5;
2011-01-31;87,9;33;27,1;21,3;70,6;
2011-02-28;214,1;32;26,3;21,6;75,6;
2011-03-31;263,9;31,4;25,7;21,1;82,1;
2011-04-30;38,6;32;26;21;75,8;
2011-05-31;35,7;32,8;26,5;20,7;62,5;
2011-06-30;0;34,2;26,6;19,6;49,6;
2011-07-31;0;33,1;26,6;20,7;48,9;
2011-08-31;,7;34,9;28,3;22,9;40,8;
2011-09-30;0;35,6;28,9;23,3;38,4;
2011-10-31;3,4;36,2;30;24,9;45,1;
2011-11-30;83,6;34,2;28,5;23,8;55,8;
2011-12-31;40,8;35,9;29,5;23,8;49,6;
2012-01-31;37,5;35,3;28,8;23,7;58,3;
2012-02-29;168,7;32,9;26,9;22,2;63,9;
2012-03-31;35,2;36;28,9;22,8;51,7;
2012-04-30;,6;37;29,8;23,1;42,2;
2012-05-31;0;35,9;29,4;23,8;43,6;
2012-06-30;0;34,8;28,6;23,3;44,5;
2012-07-31;0;33,9;27,9;22,6;42,7;
2012-08-31;0;33,5;27,3;22,1;41,2;
2012-09-30;0;36,1;29,4;23,5;35,7;
2012-10-31;0;37,2;30,8;25,2;35,5;
2012-11-30;63,9;35,3;29,7;25;53,2;
2012-12-31;52,2;35,9;29,3;23,9;52,2;
2013-01-31;160,8;33,5;28;23,8;69,1;
2013-02-28;,9;36;29,4;23,5;50,1;
2013-03-31;72,6;35,4;29,3;24,5;59,7;
2013-04-30;103,1;32,9;27,3;22,9;67,9;
2013-05-31;,6;34,8;28,6;23,5;52,5;
2013-06-30;0;34,6;28,5;23,5;46,7;
2013-07-31;,2;34;27,9;22,8;46,7;
2013-08-31;0;34,5;28,4;23,2;41,8;
2013-09-30;0;36,4;30;24,4;37,8;
2013-10-31;5,8;37,1;30,9;25,5;39,1;
2013-11-30;80,2;34,9;29,4;24,4;50,5;
2013-12-31;233,2;32,1;27,3;23,1;69,9;
2014-01-31;9,9;34,6;28,5;23;58,6;
2014-02-28;232,5;32,8;27,8;23,5;62,7;
2014-03-31;67,8;32,4;27,2;23,1;71,8;
2014-04-30;49,2;32,9;27;22,4;69,8;
2014-05-31;16,6;34,1;27,6;22;57;
2014-06-30;0;34;27,9;23;49,4;
2014-07-31;1;33,3;27,7;23,1;51,1;
2014-08-31;,9;34,2;28,1;22,9;43,3;
2014-09-30;,4;36,4;30,1;24,4;38;
2014-10-31;7,1;36,3;30,4;25,3;40,4;
2014-11-30;151,6;35;29,3;24,6;57,6;
2014-12-31;44,1;33,1;27,7;23,4;65,4;
2015-01-31;10,7;35,7;29,2;23,6;54,5;
2015-02-28;136,3;32,8;27,4;23,1;67,1;
2015-03-31;145,4;31,9;26,7;22,5;74,9;
2015-04-30;46,1;33,6;27,4;22,2;68,3;
2015-05-31;0;34,8;28,7;23,5;53;
2015-06-30;0;34,2;28,2;23,3;47,3;
2015-07-31;0;34,2;28,2;23,2;44,2;
2015-08-31;0;34,9;28,5;23,1;39,3;
2015-09-30;0;37,6;30,6;24,4;33,2;
2015-10-31;12,4;37,8;31,2;25,8;38,2;
2015-11-30;34,3;38,2;31,5;25,4;42,2;
2015-12-31;10,6;37,9;31,6;26,1;39,7;
2016-01-31;312,4;31,2;26,9;23,4;79,3;
2016-02-29;57,6;33,3;27,6;22,9;64,3;
2016-03-31;70,7;35,7;29,1;23,8;59,4;
2016-04-30;2,4;36,4;29,9;23,9;55;
2016-05-31;0;36,4;29,8;24,5;46,3;
2016-06-30;0;35,2;28,6;22,8;45,9;
2016-07-31;0;34,3;27,9;22,6;42,7;
2016-08-31;0;35,6;28,9;23,2;40,1;
2016-09-30;5,8;36,4;30,1;24,6;40,1;
2016-10-31;13,2;37,2;31,1;25,8;41,2;
2016-11-30;24,5;37;30,7;25,6;46;
2016-12-31;89,2;35;29,4;24,6;55,2;
2017-01-31;31,7;36,2;29,9;24,2;58,9;
2017-02-28;288,8;32,3;27,2;23,2;65,1;
2017-03-31;79,2;32,7;27,4;23;65,9;
2017-04-30;33,2;34,5;28,6;23,6;55;
2017-05-31;1,2;35,4;29,3;24,1;52,6;
2017-06-30;1,8;34,3;28,3;23,3;48,2;
2017-07-31;0;32,2;26,8;22,2;48,3;
2017-08-31;0;35,2;28,8;23,4;45,1;
2017-09-30;0;34,6;28,6;23,4;48,6;
2017-10-31;0;37,3;31,1;25,9;48,2;
2017-11-30;97,8;35,9;29,9;24,6;56,9;
2017-12-31;41,6;35,3;29,4;23,9;57,9;
2018-01-31;55,2;34,6;28,1;23,3;67,9;
2018-02-28;279,2;31,7;26,5;23;77,3;
2018-03-31;234,6;31,2;26,5;23;79,5;
2018-04-30;52,7;31,2;26,2;22,3;72,8;
2018-05-31;4,1;34,1;27,5;22,3;62,8;
2018-06-30;1,7;34,3;27,4;22,4;49,5;
2018-07-31;0;34,2;27,5;22,5;46,3;
2018-08-31;0;35,8;28,8;22,9;43,3;
2018-09-30;0;37,3;30,5;25,2;45,2;
2018-10-31;67,7;37;30,4;24,9;54,7;
2018-11-30;32,2;36,5;30,5;25,6;53,8;
2018-12-31;166,3;32,9;27,2;22,6;65,2;
2019-01-31;55,2;35,6;28,6;22,7;62,2;
2019-02-28;246,8;33,1;27,2;22,9;74,2;
2019-03-31;84;32,4;27,2;23;75,6;
2019-04-30;121,5;32,9;27,3;23;74;
2019-05-31;60,8;34,9;27,7;22,1;61,3;
2019-06-30;,4;34,6;28;23;50,3;
2019-07-31;0;null;null;null;null;
2019-08-31;0;34,6;28,1;23;43,6;
2019-09-30;null;37,3;30,3;24,2;42,4;
2019-10-31;12,6;37,7;30,9;24,4;50,9;
2019-11-30;41,7;37,9;30,8;23,6;58,4;
2019-12-31;26,8;37,6;30;22,3;61,7;
2020-01-31;133,3;31,9;26,2;20,8;88,5;
2020-02-29;72,8;33,3;26,8;21;85,8;
2020-03-31;67,4;32,5;26,4;21,5;92,3;
2020-04-30;128,2;32,3;26,2;20,5;90,8;
2020-05-31;0;33;26,4;20,2;84,9;
2020-06-30;8;33,2;26,3;19,7;77;
2020-07-31;0;34,1;26,6;19,2;67,9;
2020-08-31;0;35;27,6;20,5;66,5;
2020-09-30;0;36,8;29,4;22,4;70,5;
2020-10-31;23,4;38,4;30,5;23,2;81,4;
2020-11-30;180,4;32,6;26,4;20,7;82,8;
2020-12-31;9,8;35,2;27,8;20,3;84,3;
2021-01-31;10,4;35,7;28;20,2;82,4;
2021-02-28;126,5;32,1;25,7;20,3;89,8;
2021-03-31;60,2;33,1;26;19,3;88,1;
2021-04-30;75,1;34;27,1;20,2;83,8;
2021-05-31;0;35,2;27,3;18,8;70,4;
2021-06-30;5,2;35,3;27,5;19,7;66,8;
2021-07-31;0;34,9;27,4;19,9;72,4;
2021-08-31;0;35,4;28,1;20,5;67,1;
2021-09-30;0;38;30,3;22,8;63,5;
2021-10-31;18,1;37,8;30,6;23,2;67;
2021-11-30;26,3;34,3;27,7;21,3;76,5;
2021-12-31;40;33,1;26,9;20,9;80,4;
