Nome: PAULISTANA
Codigo Estacao: 82882
Latitude: -8.13222221
Longitude: -41.14305555
Altitude: 376
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;92,9;32,5;26,9;22,5;67,3;
2010-02-28;29,3;34,8;28,6;24,3;56,3;
2010-03-31;113,7;34,5;28,3;23,8;63;
2010-04-30;73,2;32,1;27;23,1;69,6;
2010-05-31;1;34,5;28,5;23,4;52,8;
2010-06-30;25,7;31,5;26,1;21,8;61,2;
2010-07-31;3,5;30,8;25,5;21;64,3;
2010-08-31;null;null;null;null;null;
2010-09-30;0;33,7;27,7;21,8;42,7;
2010-10-31;50,5;35,8;29,7;24,1;43,9;
2010-11-30;75;35,8;29,7;24,2;46,9;
2010-12-31;55,6;32;26,7;22,4;65,1;
2011-01-31;81,3;32,4;26,7;22,3;64,9;
2011-02-28;196,1;32,4;26,5;22,8;70,4;
2011-03-31;197,5;31,3;25,6;21,7;80;
2011-04-30;68,8;31,3;25,8;22;73;
2011-05-31;57,3;30,5;25,4;21,6;67,5;
2011-06-30;null;null;null;null;null;
2011-07-31;0;31,4;25,5;20,3;51,9;
2011-08-31;,7;33,2;26,9;20,8;41,9;
2011-09-30;0;33,5;27,3;21;42,1;
2011-10-31;,8;35,1;29,1;23,4;44,5;
2011-11-30;30,7;34,1;28,4;23,6;52,3;
2011-12-31;25,4;35,3;29,2;23,9;47,3;
2012-01-31;13,9;34,9;29;24,3;48,7;
2012-02-29;63,8;32,7;27,1;22,5;58,7;
2012-03-31;43,7;34,7;28,5;23,5;54,1;
2012-04-30;0;35,7;29,6;23,9;43,5;
2012-05-31;0;34,3;28,3;22,9;47,3;
2012-06-30;null;null;null;null;null;
2012-07-31;0;32;26,2;20,5;50,4;
2012-08-31;,8;32,1;26;20,1;47,7;
2012-09-30;0;34,3;28,1;21,6;41,3;
2012-10-31;0;35,6;29,4;22,7;39,6;
2012-11-30;21,8;35,8;30,1;24,8;47,6;
2012-12-31;40,3;35,7;29,8;24,3;46,9;
2013-01-31;58,3;33,8;28,3;23,1;57,9;
2013-02-28;,2;35,8;30;24,3;43,9;
2013-03-31;144,8;35,2;29,2;23,9;54,4;
2013-04-30;71,2;32,7;27,5;22,5;61,3;
2013-05-31;2;33,4;27,8;22,3;53,7;
2013-06-30;null;null;null;null;null;
2013-07-31;1,1;31,9;26,5;21,6;54,7;
2013-08-31;0;32,7;27,2;21,9;53,1;
2013-09-30;0;34,9;28,8;22,8;43,4;
2013-10-31;0;35,6;29,8;24;42,7;
2013-11-30;63,7;34,8;29,2;24;50,4;
2013-12-31;116;33,2;27,7;23,7;65;
2014-01-31;null;null;null;null;null;
2014-02-28;231,5;32,3;27,5;23,2;66,3;
2014-03-31;37,2;32,3;27,2;23,5;73,3;
2014-04-30;44,8;32,8;27,3;23,1;71,5;
2014-05-31;8,6;32,3;26,9;22,5;66,3;
2014-06-30;0;32,2;26,9;22,1;60,7;
2014-07-31;0;31,8;26,3;21,4;61,1;
2014-08-31;0;32,6;26,8;21,3;56,1;
2014-09-30;0;34,9;28,8;22,9;49,4;
2014-10-31;,8;35,3;29,5;23,9;49,5;
2014-11-30;155,4;34,8;29,1;24,3;59,9;
2014-12-31;57;33;27,6;23,6;67,3;
2015-01-31;null;null;null;null;null;
2015-02-28;71,6;33,8;27,7;22,7;68,1;
2015-03-31;286;32,1;26,5;21,8;76,5;
2015-04-30;34,3;32,8;26,6;21,5;78,3;
2015-05-31;3,2;33,2;27,4;22,3;67,3;
2015-06-30;0;32,5;26,6;21,1;63,6;
2015-07-31;0;32,3;26,6;20,8;59,8;
2015-08-31;0;33;26,8;20,4;52,5;
2015-09-30;0;35,7;29,1;22,2;45,4;
2015-10-31;1;36;30;23,3;48,1;
2015-11-30;0;37,8;31,4;24,8;45,7;
2015-12-31;2,6;37;30,9;25;51,2;
2016-01-31;null;null;null;null;null;
2016-02-29;4,6;32,9;26,8;21,3;70,2;
2016-03-31;40,8;34,7;28,4;23,2;69;
2016-04-30;0;35,3;29,4;23,2;54,7;
2016-05-31;2,2;34,3;28,4;22,4;52,9;
2016-06-30;,7;33;27;20,6;55,2;
2016-07-31;0;32,4;26,3;19,7;50,3;
2016-08-31;0;33,6;27,3;20,5;46,1;
2016-09-30;3,4;34,9;29,4;24,9;43,3;
2016-10-31;1,9;36,1;30,3;24,8;42;
2016-11-30;27,1;36,3;30,5;25,4;45,4;
2016-12-31;110,3;34,9;29,5;25;53,1;
2017-01-31;null;null;null;null;null;
2017-02-28;83,3;33,2;27,7;23,6;66,7;
2017-03-31;58,5;34,3;28,1;23,6;66,2;
2017-04-30;39,2;34;28,5;23,9;62;
2017-05-31;,7;33,8;28,5;23,7;63;
2017-06-30;0;31,9;26,6;21,7;74,5;
2017-07-31;,8;30,1;24,9;19,9;64,9;
2017-08-31;1,1;32,9;27;21,2;62,1;
2017-09-30;0;32,8;26,7;20,9;64,3;
2017-10-31;0;35,7;29,5;23,1;55,6;
2017-11-30;54,6;35,7;29,8;24,4;64,8;
2017-12-31;32,3;35,5;29,7;24,3;67;
2018-01-31;61,2;34,2;28,5;23,3;69,6;
2018-02-28;138,9;32;26,7;22,7;84,3;
2018-03-31;114,8;32,1;26,7;22,5;83,2;
2018-04-30;null;null;null;null;null;
2018-05-31;,9;32,4;26,8;21,7;64,8;
2018-06-30;0;32,1;26,4;20,9;60,2;
2018-07-31;0;31,8;26,2;20,5;58,6;
2018-08-31;0;33,4;27,4;21,2;57,5;
2018-09-30;0;35,1;29,1;22,8;54,8;
2018-10-31;54,4;35,6;29,4;23,5;60,5;
2018-11-30;25,2;35,6;30;24,4;63,5;
2018-12-31;169,2;31,5;26,2;21,5;78,5;
2019-01-31;15,9;34,8;28,8;23,2;67,3;
2019-02-28;105,3;33,8;27,6;22,8;82;
2019-03-31;120;32,1;26,4;21,5;84,4;
2019-04-30;null;null;null;null;null;
2019-05-31;32,8;33,7;27,3;21,6;74;
2019-06-30;9,3;31,7;25,9;20,5;67;
2019-07-31;0;31,8;25,9;19,8;67,1;
2019-08-31;0;32,5;26,3;19,6;64,4;
2019-09-30;0;35,3;28,7;21,4;66,1;
2019-10-31;25,8;35,8;29,4;22,4;66,1;
2019-11-30;24,4;36,3;30,4;25,5;68,8;
2019-12-31;48,3;36,4;30,5;27;65,4;
2020-01-31;226,3;31,5;27;23,8;88,1;
2020-02-29;184,8;31,5;26,7;23,3;89,7;
2020-03-31;null;30,8;26,1;23;93,1;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;null;null;null;null;null;
2021-11-30;37,3;34,4;27,8;21,6;83,2;
2021-12-31;57,8;33,3;27,5;21,8;81,8;
2022-01-31;null;null;null;null;null;
2022-02-28;199,3;32,4;26,2;20,2;88,5;
2022-03-31;15,8;31,7;26;20,3;86,1;
2022-04-30;42,4;33;26,4;20,1;83,9;
2022-05-31;83,7;32,6;26,4;20,2;80,3;
2022-06-30;5,6;31,3;25,4;20,4;80,7;
2022-07-31;null;31,1;25,4;20,6;75,9;
2022-08-31;1;32,7;26,3;20,9;72,3;
2022-09-30;1,5;35,2;28,5;22,5;68,4;
2022-10-31;86,8;35,8;29,5;24,4;63,8;
2022-11-30;195,8;31,9;26,6;22,9;84,1;
2022-12-31;24,7;32,3;26,8;22,6;83,5;
2023-01-31;null;null;null;null;null;
2023-02-28;null;32,9;27,1;22,5;85,2;
2023-03-31;196,2;31,9;26,4;22,4;87,5;
2023-04-30;25;32,1;26,4;22,4;88,3;
2023-05-31;27,1;32;26,6;22,5;80,4;
2023-06-30;,5;31,6;26,2;22;69,2;
2023-07-31;0;32,8;26,7;21,4;60;
2023-08-31;0;34,3;27,7;22,1;59,9;
2023-09-30;0;35,5;29,2;23,1;53,6;
2023-10-31;0;38;31,2;24,9;53,7;
2023-11-30;24,4;36,5;30,4;25;64,2;
2023-12-31;25;36,5;30,1;24,8;63,8;
2024-01-31;null;null;null;null;null;
2024-02-29;165,7;32;26,9;23,1;85,5;
2024-03-31;104,4;32,5;27,2;23,2;86,2;
2024-04-30;80,4;32,1;26,8;23,1;85,7;
2024-05-31;,2;33,6;27,6;22,7;71,8;
2024-06-30;,4;32,4;26,7;21,6;66,4;
2024-07-31;2,8;32;26;20,6;64,3;
2024-08-31;0;33,6;27,1;20,9;62,1;
2024-09-30;0;34,9;28,5;22,3;55,3;
2024-10-31;19;36,3;30,1;24,3;61,1;
2024-11-30;22,4;35,7;29,7;24,4;64,2;
2024-12-31;24,7;36,9;30,4;25;63,5;

