Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;34,3;33,8;27,6;22,9;63,9;
2010-02-28;64,4;34,9;28,7;23,8;59,8;
2010-03-31;50,6;34,8;28,8;24;62,9;
2010-04-30;null;null;null;null;null;
2010-05-31;null;null;null;null;null;
2010-06-30;null;null;null;null;null;
2010-07-31;null;null;null;null;null;
2010-08-31;null;null;null;null;null;
2010-09-30;3,8;31,7;25,6;20,5;59,5;
2010-10-31;106,8;34,4;28,3;22,8;53,4;
2010-11-30;null;null;null;null;null;
2010-12-31;86,1;33,3;27,5;22,9;61,2;
2011-01-31;71,4;33,1;27,2;22,6;63,6;
2011-02-28;157,5;33,6;27,7;23,2;64,4;
2011-03-31;92,9;32,7;26,8;22,7;73,1;
2011-04-30;26,5;33,4;27,3;22,7;67,6;
2011-05-31;111,7;30;25,1;21,5;69,8;
2011-06-30;7,5;30,6;24,9;20,5;60,4;
2011-07-31;24,9;29,6;23,9;19,8;64,8;
2011-08-31;5,4;31,5;25,2;19,7;52,2;
2011-09-30;4,8;31,5;25,5;20,4;52;
2011-10-31;8,2;33,9;28,1;22,5;52;
2011-11-30;25,2;34;28,3;23,2;46,9;
2011-12-31;50;34,9;29,1;23,7;43;
2012-01-31;11,5;34,5;28,8;23,8;45,1;
2012-02-29;117,7;33,1;27,7;22,8;52,9;
2012-03-31;16,8;34,3;28,3;23;53,8;
2012-04-30;0;34,2;28,3;22,9;47,8;
2012-05-31;11,8;32,6;26,9;22,2;51,8;
2012-06-30;3,4;31,4;26;21,3;58,8;
2012-07-31;15,5;29,7;24,4;20,1;60,7;
2012-08-31;8,7;30,3;24,3;19,6;57;
2012-09-30;1;32,2;26,3;20,6;49,3;
2012-10-31;0;33,5;27,6;22;46,5;
2012-11-30;7,9;35,8;30;24,4;40,6;
2012-12-31;,8;35,2;29,6;24,2;41,9;
2013-01-31;49,3;34,3;28,8;24,1;50,5;
2013-02-28;0;35,1;29,5;24,2;43;
2013-03-31;,8;35,5;29,9;24,8;46;
2013-04-30;57,9;33,9;28,3;24;55,3;
2013-05-31;5;32,1;26,8;22,7;58,7;
2013-06-30;,8;31,6;26,3;22;60,5;
2013-07-31;14,1;30,2;24,9;20,7;60,7;
2013-08-31;1,8;30,8;25,3;20,8;56,5;
2013-09-30;0;32,9;27;21,4;51;
2013-10-31;5,2;34,2;28,2;22,8;45,1;
2013-11-30;1,3;33,9;28,6;23,5;45,2;
2013-12-31;200;34;28,4;23,7;52,4;
2014-01-31;6,8;34;28,5;23,6;46,9;
2014-02-28;28,4;33,3;27,9;23,4;53,8;
2014-03-31;12,6;33,9;28,4;24;53,4;
2014-04-30;48,7;32,5;27,1;23,2;63,4;
2014-05-31;19,9;31,2;26;22,1;62,8;
2014-06-30;9;30,7;25,5;21,3;64,2;
2014-07-31;8,9;30,3;24,8;20,4;58,7;
2014-08-31;14,9;30,3;24,7;19,9;56,8;
2014-09-30;5,4;33;26,9;21,5;51,4;
2014-10-31;3;33,5;27,7;22,4;48;
2014-11-30;31,2;34,1;28,6;23,7;48,8;
2014-12-31;46,4;33,4;28;23,4;52,6;
2015-01-31;4;34,8;29,3;23,8;42,5;
2015-02-28;68;34;28,2;23,6;53,4;
2015-03-31;119,3;33,7;28,4;23,7;53,9;
2015-04-30;16,3;34,4;28,6;24;51,7;
2015-05-31;7,2;33,2;27,6;23,3;55,6;
2015-06-30;12,6;30,7;25,5;21,5;66,9;
2015-07-31;22,4;30,5;25;20,9;61;
2015-08-31;1,2;31,7;25,7;20,5;50,6;
2015-09-30;,4;34;27,8;21,7;42,6;
2015-10-31;0;35;28,8;23;41,4;
2015-11-30;0;37,3;30,9;24,6;32,1;
2015-12-31;16;35,9;30;24,5;40,5;
2016-01-31;216,3;32,4;27,1;23,6;67,9;
2016-02-29;38,2;33,4;27,6;22,9;56,9;
2016-03-31;81,8;35,2;29,5;24,3;53,7;
2016-04-30;1,6;34,2;28,6;23,7;52,2;
2016-05-31;180,2;32,8;27,3;22,7;54,9;
2016-06-30;24,4;30,8;25,2;20,8;67,1;
2016-07-31;3,6;30,9;25;20;55,2;
2016-08-31;2,6;31,9;25,8;20;49,5;
2016-09-30;,2;33,7;27,7;22,1;44,5;
2016-10-31;1;35,2;29,1;23,3;40,2;
2016-11-30;,8;35,7;29,7;24;39,7;
2016-12-31;50,4;35,4;29,5;24,4;43,8;
2017-01-31;0;35,2;29,5;24,1;42;
2017-02-28;94;34,5;29;23,9;50,8;
2017-03-31;16,8;34,6;29,1;24,3;50,2;
2017-04-30;16,6;33,7;28,3;23,8;53,5;
2017-05-31;5,4;31,9;26,9;22,9;59;
2017-06-30;45;29,3;24,5;21;73,9;
2017-07-31;25,8;28;23;19,1;64,3;
2017-08-31;0;30,9;25,2;20,3;54,6;
2017-09-30;13,8;30,9;null;20,4;null;
2017-10-31;,3;33,7;null;22,2;null;
2017-11-30;8,3;35,4;null;24,2;null;
2017-12-31;8,4;35,5;null;24,8;null;
2018-01-31;48,8;34,3;null;24,2;null;
2018-02-28;209;32,7;26,8;23,4;70;
2018-03-31;38,8;33,1;27,7;23,7;62,2;
2018-04-30;null;null;null;null;null;
2018-05-31;1,2;31,5;26,5;22;64,2;
2018-06-30;,2;30,7;25,4;20,7;65,2;
2018-07-31;,1;30,5;25;20,2;64;
2018-08-31;0;31,8;26;20,5;57;
2018-09-30;0;33,3;27,4;21,8;55,3;
2018-10-31;4,4;35,2;29,2;23,6;52,4;
2018-11-30;2;35,3;29,6;24,2;51,9;
2018-12-31;82,7;33,3;27,3;22,8;67,7;
2019-01-31;,9;34,5;29;24;55,3;
2019-02-28;68,8;34,5;28,7;24,1;63;
2019-03-31;null;33,9;28;23,4;60,5;
2019-04-30;9,4;33,5;27,9;23,7;61,8;
2019-05-31;51;33;27,5;23;56,6;
2019-06-30;21,7;30,6;25,3;21,5;67,8;
2019-07-31;41,2;29,3;24,2;20,3;69,3;
2019-08-31;1,5;30,5;24,7;20,1;59,8;
2019-09-30;0;33,3;27,2;21,7;49,7;
2019-10-31;1,2;34,7;28,7;22,9;44,6;
2019-11-30;1,4;36;29,9;24;42,6;
2019-12-31;40,4;35,5;29,7;24,3;45,7;
2020-01-31;86,2;34,4;28,6;23,8;63,4;
2020-02-29;148,6;32,8;27,5;23,4;72,1;
2020-03-31;93;32,2;26,9;23,4;80,6;
2020-04-30;126,3;32,4;26,8;23,1;77,7;
2020-05-31;38,2;31,5;26,2;22,7;74,8;
2020-06-30;11;30,3;24,9;20,9;73,3;
2020-07-31;1,6;30,2;24,5;19,8;63,4;
2020-08-31;1,3;31,2;25,3;20,1;55,5;
2020-09-30;0;32,8;26,8;21;49,5;
2020-10-31;1,2;35,6;29,5;23,2;44,6;
2020-11-30;50,2;33,4;27,6;23;62,8;
2020-12-31;18,6;34,5;28,7;23,6;50,8;
2021-01-31;28,2;33,4;28,1;23,6;57,7;
2021-02-28;150,4;33,7;27,9;23,3;65,3;
2021-03-31;21;33,9;27,8;23,4;61,2;
2021-04-30;118,6;32,1;26,9;22,9;71,5;
2021-05-31;3,2;30,9;25,6;21,8;73,9;
2021-06-30;8,4;31;25,2;20,9;70,2;
2021-07-31;8,8;30,5;24,9;20,6;69;
2021-08-31;3;31;25,3;20,3;58,7;
2021-09-30;0;34;27,8;22;51,7;
2021-10-31;20,4;35,1;29,1;23,6;51,1;
2021-11-30;34,8;35,1;29,3;24,4;55,3;
2021-12-31;91,8;33,3;28,1;24;67,7;
2022-01-31;24,6;32,7;27,3;23,1;69,4;
2022-02-28;32,6;33,7;28,1;23,2;62,3;
2022-03-31;145,6;32,8;27,2;23,3;73;
2022-04-30;89,6;32,5;26,8;22,8;71,2;
2022-05-31;39,9;31,5;26,1;22,3;72,2;
2022-06-30;null;null;null;null;null;
2022-07-31;18;29,2;23,6;19,4;74,1;
2022-08-31;9,6;30,4;24,4;19,4;60,4;
2022-09-30;0;33;26,4;20,8;51,4;
2022-10-31;2,8;34,3;28,2;22,5;48,7;
2022-11-30;269,3;32,3;27;22,7;69,6;
2022-12-31;101,9;32,9;26,9;22,4;65,3;
2023-01-31;9,2;33,8;27,7;23,1;59,6;
2023-02-28;null;35,1;28,8;23,6;51;
2023-03-31;251;32,6;27,3;22,8;67,2;
2023-04-30;19,4;32,8;26,9;22,9;70,4;
2023-05-31;101,6;31,8;26,4;22,8;74,2;
2023-06-30;21,2;30,3;24,8;21,1;75,5;
2023-07-31;null;null;null;null;null;
2023-08-31;,6;32,5;26,1;21,2;57,4;
2023-09-30;2,2;33,9;27,4;22,2;52,9;
2023-10-31;0;36;29,4;23,1;41;
2023-11-30;9,6;36,5;30,4;24,8;46,6;
2023-12-31;8;35,7;29,8;24,5;51,6;
2024-01-31;120,3;35,5;29,4;24,9;62,6;
2024-02-29;null;null;null;null;null;
2024-03-31;101,6;33,2;28,1;24;77,8;
2024-04-30;81,2;32,7;27,2;23,9;84,7;
2024-05-31;31;32;26,5;22,5;73,7;
2024-06-30;null;30,7;25,2;21,2;74,9;
2024-07-31;null;30,4;24,5;19,6;66,5;
