Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;143,3;29,7;23,8;19,1;78,8;
2010-02-28;90,1;31,5;24,7;19,8;75,9;
2010-03-31;67,6;32,3;25,5;19,8;73,4;
2010-04-30;null;null;null;null;null;
2010-05-31;34,7;29,6;23,5;18,7;82,3;
2010-06-30;210,6;25,5;21,1;17,9;89,7;
2010-07-31;73,5;25,1;20,4;17,4;87,2;
2010-08-31;31,9;25,6;20;16,5;82,5;
2010-09-30;37,3;27,8;21,4;16,9;75,9;
2010-10-31;62,1;31,1;23,9;18,8;71;
2010-11-30;0;32,3;24,8;18,9;64,8;
2010-12-31;31,2;31,6;25;19,8;67,8;
2011-01-31;36,2;31,5;24,6;19,6;70,1;
2011-02-28;58;31,3;24,6;20;72,8;
2011-03-31;36,1;31,8;25;19,6;71,2;
2011-04-30;89;29,6;23,8;19,8;80,5;
2011-05-31;229,8;26,1;22,1;19,6;87,9;
2011-06-30;null;null;null;null;null;
2011-07-31;78;24,8;20,1;17,1;88,2;
2011-08-31;39,2;27,5;20,9;16,2;77;
2011-09-30;22,4;27,9;21,4;17,2;78,2;
2011-10-31;18,2;30,9;23,7;18,6;74,3;
2011-11-30;21,8;31,1;24,1;19,2;73,3;
2011-12-31;0;33;25,3;19,1;65,8;
2012-01-31;91,2;31,3;24,5;19,6;70,2;
2012-02-29;7,7;31,1;24,3;19,4;71,5;
2012-03-31;10;32,3;24,9;19,4;68,1;
2012-04-30;38,7;31,5;24,6;19;69,7;
2012-05-31;43,7;30,4;23,8;18,7;75;
2012-06-30;27,3;28,2;22,5;18,4;75;
2012-07-31;59,3;26,3;20,7;17;86,2;
2012-08-31;37,9;27;20,8;16,8;81,9;
2012-09-30;5,9;29,8;22,5;17,1;75,4;
2012-10-31;7,7;31,2;23,8;18,6;72,9;
2012-11-30;10,9;33,5;25,7;19,5;67,7;
2012-12-31;,9;33,2;25,6;20;68,6;
2013-01-31;3,2;33;26,1;20,6;66;
2013-02-28;1,4;33,3;26;20,5;69,3;
2013-03-31;17,4;33,2;26,3;21,2;69,4;
2013-04-30;98;31,5;25,4;20,7;75,4;
2013-05-31;56,4;28,3;23;19,3;82,9;
2013-06-30;60,4;26,9;21,9;18,6;82,8;
2013-07-31;117,1;25,2;20,5;17,4;88,7;
2013-08-31;31,4;26,6;20,9;17,1;84,6;
2013-09-30;11,9;29,8;22,5;17,6;76,3;
2013-10-31;20;31,6;24,1;18,7;72,8;
2013-11-30;9,8;31,5;24,3;19,2;74,4;
2013-12-31;90,7;31,7;25,1;19,9;72,1;
2014-01-31;3;32;24,9;19,6;71,5;
2014-02-28;65,8;31,3;24,6;19,9;74,9;
2014-03-31;17,6;31,9;25,1;20,2;76,3;
2014-04-30;86,3;30,5;24,5;19,9;79,9;
2014-05-31;129,4;26,9;22,2;18,9;88,2;
2014-06-30;59,6;27;21,5;17,8;83,6;
2014-07-31;55,9;26,8;21;17;86,1;
2014-08-31;59,3;26,5;20,6;16,5;84,5;
2014-09-30;44,4;29,2;22,4;17,8;80,6;
2014-10-31;106,4;28,5;22,5;18,5;81,7;
2014-11-30;7,9;31,5;24,4;18,9;77,1;
2014-12-31;7,9;31,9;24,7;19,4;75,2;
2015-01-31;1,1;32,6;25,3;19,7;71,4;
2015-02-28;70,9;31,4;24,9;19,9;77,3;
2015-03-31;35,7;32,3;25,2;20,1;76,9;
2015-04-30;10;33;25,8;19,9;72,9;
2015-05-31;20;31,1;24,7;20;84,5;
2015-06-30;67,2;27,3;22;18,5;90,5;
2015-07-31;91,3;25,6;21,1;18,2;93,1;
2015-08-31;28,5;27,2;21,2;16,9;85,2;
2015-09-30;15;31;23,3;17,7;79,5;
2015-10-31;0;31,9;24,4;19;78,8;
2015-11-30;0;33,9;26;19,2;66,9;
2015-12-31;54,2;32,9;25,6;20;73,5;
2016-01-31;211;30,8;24,6;20,5;84,6;
2016-02-29;96,6;30,7;24,1;19,3;83,5;
2016-03-31;30;32,8;25,4;20,3;84;
2016-04-30;19,1;31,6;24,8;20,1;80,1;
2016-05-31;197,2;28,9;23;18,9;86,9;
2016-06-30;17,2;28,4;22;17,7;83,5;
2016-07-31;11,2;28,6;21,5;16,6;85,3;
2016-08-31;6,2;30,2;22,5;16,8;76,2;
2016-09-30;,3;32;24;18,2;79,5;
2016-10-31;0;33,1;25;19,4;76,5;
2016-11-30;0;33,6;25,8;19,8;74,4;
2016-12-31;4,4;33,8;26,1;20,2;75,6;
2017-01-31;0;33,4;25,8;20,1;79,1;
2017-02-28;3,8;33,5;26;20,5;76,9;
