Nome: PESQUEIRA
Codigo Estacao: 82892
Latitude: -8.370701
Longitude: -36.707812
Altitude: 643.38
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-11-18
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;23,2;30,5;23,5;19,8;76,1;
2010-03-31;23,9;32;24,4;20,2;73,1;
2010-04-30;276,8;31,2;24;19,9;75,1;
2010-05-31;4,5;30,6;23,5;19,9;76,9;
2010-06-30;199,6;27,8;21,6;18,5;79,8;
2010-07-31;22,4;27,8;21,4;18;79;
2010-08-31;4,1;27,7;21,3;18,1;77,9;
2010-09-30;33,5;29,4;21,8;18,6;72,9;
2010-10-31;64;29,8;22,4;18,7;null;
2010-11-30;0;29,9;22,2;18,7;72,3;
2010-12-31;46,8;30,3;22,5;19;72;
2011-01-31;null;null;null;null;null;
2011-02-28;40,4;30,4;22,7;19,2;72,5;
2011-03-31;18,3;30,7;23,1;19,7;73,6;
2011-04-30;54,5;30,7;23;19,7;72,7;
2011-05-31;145;29,3;22,4;19,5;76,9;
2011-06-30;42,4;29;21,9;18,8;75,1;
2011-07-31;84,5;27;20,5;17,8;76,7;
2011-08-31;12,1;27,6;20,7;17,9;76,8;
2011-09-30;15,4;28,8;21,3;18;71,8;
2011-10-31;8,1;30,6;22,8;19,2;70,5;
2011-11-30;32,6;30,5;23,2;19,9;74,3;
2011-12-31;,1;31,5;23,8;19,9;70,4;
2012-01-31;null;null;null;null;null;
2012-02-29;27,7;30,5;22,8;19,4;71,1;
2012-03-31;2,8;31;23,1;19,6;70,3;
2012-04-30;0;30,3;23;19,9;73,9;
2012-05-31;6,3;30,6;23,3;20,3;73,8;
2012-06-30;37,4;29,1;22,2;19,5;76,7;
2012-07-31;22,3;27,1;21;18,8;79,9;
2012-08-31;16,1;27,5;20,6;16,6;77,5;
2012-09-30;2,5;27,6;20,3;15,1;77,7;
2012-10-31;0;29,9;21,6;16;71,6;
2012-11-30;2,8;30,8;23;18,9;73,2;
2012-12-31;7,1;31,1;23,1;19,2;72;
2013-01-31;null;null;null;null;null;
2013-02-28;0;31,6;23,5;18,8;71,4;
2013-03-31;,4;31,1;23,3;19,2;73,2;
2013-04-30;90,2;30,8;23,2;19,1;74,5;
2013-05-31;17,3;30,4;22,9;18,8;74,8;
2013-06-30;42,6;29,2;22,2;18,6;77,4;
2013-07-31;121,9;28,8;21,9;18,4;76,8;
2013-08-31;27,3;28,2;21,4;18;77,4;
2013-09-30;1;28,4;21,3;17,7;75,4;
2013-10-31;3,6;31;22,9;18,5;72,2;
2013-11-30;19,2;30,5;22,6;18,3;72;
2013-12-31;34,2;31;22,7;18,2;70,3;
2014-01-31;null;null;null;null;null;
2014-02-28;50,2;29,4;22,2;18,1;77,4;
2014-03-31;16,6;29,5;22,8;19,6;77,4;
2014-04-30;125,1;28,5;22;18,9;79,3;
2014-05-31;44;29,3;22,2;17,9;77,3;
2014-06-30;23,3;28,6;21,3;17,3;75,8;
2014-07-31;39,1;27,8;21;16,9;78;
2014-08-31;42,7;27,5;20,5;16,6;76,6;
2014-09-30;5,2;28,6;21,2;17,5;73,6;
2014-10-31;23,9;28,8;21,7;18,3;74,9;
2014-11-30;46,3;29,9;22,4;18,4;73,5;
2014-12-31;35,2;31,2;23,1;18,7;71;
2015-01-31;null;null;null;null;null;
2015-02-28;78,8;29,2;22,1;18,6;75,7;
2015-03-31;9,2;29,6;22;18,3;73,4;
2015-04-30;34,6;29,9;22,3;18,7;74,1;
2015-05-31;6,1;30,3;22,9;19,3;74;
2015-06-30;36,8;30;22,8;19,3;76,3;
2015-07-31;68,2;28,4;21,8;18,6;78,4;
2015-08-31;null;null;null;null;null;
2015-09-30;null;null;null;null;null;
2015-10-31;null;null;null;null;null;
2015-11-30;null;null;null;null;null;

