Nome: GARANHUNS
Codigo Estacao: 82893
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-11-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;110;null;null;null;null;
2010-02-28;44,8;27,7;null;null;null;
2010-03-31;119,9;29,6;null;null;null;
2010-04-30;220,7;27;null;null;null;
2010-05-31;43,6;26,5;null;null;null;
2010-06-30;485,2;23,4;null;null;null;
2010-07-31;147,5;22,7;null;null;null;
2010-08-31;112,9;21,9;null;null;null;
2010-09-30;123,6;23,7;null;null;null;
2010-10-31;83,7;26,9;null;null;null;
2010-11-30;1,7;28,4;null;null;null;
2010-12-31;10,4;28,8;null;null;null;
2011-01-31;64,1;28,3;null;null;null;
2011-02-28;78,8;27,8;null;null;null;
2011-03-31;150,9;28,9;null;null;null;
2011-04-30;120,8;26,4;null;null;null;
2011-05-31;206,6;23,8;null;null;null;
2011-06-30;140,7;23,2;null;null;null;
2011-07-31;208,5;21,8;null;null;null;
2011-08-31;82,6;23,5;null;null;null;
2011-09-30;101,1;23;null;null;null;
2011-10-31;13,6;26,2;null;null;null;
2011-11-30;32,1;27;null;null;null;
2011-12-31;null;28,9;null;null;null;
2012-01-31;null;null;null;null;null;
2012-02-29;null;27,5;null;null;null;
2012-03-31;3,8;28,5;null;null;null;
2012-04-30;37;27,7;null;null;null;
2012-05-31;64,8;26,8;null;null;null;
2012-06-30;72,7;24,5;null;null;null;
2012-07-31;90,1;22,6;null;null;null;
2012-08-31;115,5;23,2;null;null;null;
2012-09-30;11;25,5;null;null;null;
2012-10-31;7,5;27,1;null;null;null;
2012-11-30;1,4;30;null;null;null;
2012-12-31;6;30,2;null;null;null;
2013-01-31;13,6;30,3;null;null;null;
2013-02-28;4,5;29,6;null;null;null;
2013-03-31;14,4;30,3;null;null;null;
2013-04-30;114,5;29,5;null;null;null;
2013-05-31;66,3;25,7;null;null;null;
2013-06-30;117,8;23,9;null;null;null;
2013-07-31;177,5;22,8;null;null;null;
2013-08-31;97,9;23,2;null;null;null;
2013-09-30;21,5;25,2;null;null;null;
2013-10-31;58,8;27,2;null;null;null;
2013-11-30;25,8;27,1;null;null;null;
2013-12-31;74,3;28,6;null;null;null;
2014-01-31;13,8;28,9;null;null;null;
2014-02-28;20,9;28,2;null;null;null;
2014-03-31;62,1;28,7;null;null;null;
2014-04-30;152,8;27,9;null;null;null;
2014-05-31;176,5;25,2;null;18,2;null;
2014-06-30;120,8;24,1;null;17,7;null;
2014-07-31;144,7;23,7;null;16,3;null;
2014-08-31;131,3;23,2;null;16,3;null;
2014-09-30;68,4;24,9;null;16,7;null;
2014-10-31;173,6;24,7;null;17,2;null;
2014-11-30;16,1;27,1;null;null;null;
2014-12-31;null;27;null;null;null;
2015-01-31;5,6;28,4;null;null;null;
2015-02-28;71,9;28,4;null;null;null;
2015-03-31;15,9;28,9;null;null;null;
2015-04-30;4,2;29,9;null;null;null;
2015-05-31;40,5;28,4;null;18,6;null;
2015-06-30;122,8;25,6;null;17,8;null;
2015-07-31;null;null;null;null;null;
2015-08-31;74,7;null;null;null;null;
2015-09-30;null;null;null;null;null;
2015-10-31;null;null;null;null;null;
2015-11-30;null;null;null;null;null;
2015-12-31;44,1;22,6;null;null;null;
2016-01-31;87;null;null;null;null;
2016-02-29;null;null;null;null;null;
2016-03-31;35,1;22,9;null;null;null;
2016-04-30;null;null;null;null;null;
2016-05-31;71;null;null;17,3;null;
2016-06-30;33,4;26,4;null;16,7;null;
2016-07-31;45,1;null;null;null;null;
2016-08-31;30,1;null;null;null;null;
2016-09-30;15,3;null;null;null;null;
2016-10-31;10,7;null;null;null;null;
2016-11-30;3;null;null;null;null;
2016-12-31;,8;null;null;null;null;
2017-01-31;4;null;null;null;null;
2017-02-28;,8;null;null;null;null;
2017-03-31;null;null;null;null;null;
2017-04-30;50,9;null;null;null;null;
2017-05-31;340,5;null;null;null;null;
2017-06-30;null;null;null;null;null;
2017-07-31;339,7;null;null;null;null;
2017-08-31;145,2;null;null;null;null;
2017-09-30;null;null;null;null;null;
2017-10-31;18,1;null;null;null;null;
2017-11-30;4;null;null;null;null;
2017-12-31;null;null;null;null;null;
2018-01-31;34;null;null;null;null;
2018-02-28;null;null;null;null;null;
2018-03-31;42,6;null;null;null;null;
2018-04-30;105,7;25,3;null;18,7;null;
2018-05-31;141,1;24,9;null;18,2;null;
2018-06-30;54,5;24,6;null;17;null;
2018-07-31;53,8;23,8;null;16,2;null;
2018-08-31;32,5;25,3;null;16,4;null;
2018-09-30;null;null;null;null;null;
2018-10-31;1,8;30;null;18;null;
2018-11-30;3,9;29,6;null;18,5;null;
2018-12-31;37,5;29,6;null;18,2;null;
2019-01-31;35,1;28,5;null;18,4;null;
2019-02-28;null;30,1;null;null;null;
2019-03-31;null;null;null;null;null;
2019-04-30;42,6;28,7;null;null;null;
2019-05-31;43,2;27,2;null;null;null;
2019-06-30;110,3;null;null;null;null;
2019-07-31;183,3;null;null;null;null;
2019-08-31;123,8;null;null;null;null;
2019-09-30;null;null;null;null;null;
2019-10-31;4,9;null;null;null;null;
2019-11-30;0;null;null;null;null;
2019-12-31;3,2;null;null;null;null;
2020-01-31;24,7;null;null;null;null;
2020-02-29;null;null;null;null;null;
2020-03-31;null;null;null;null;null;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;null;null;null;null;null;
2021-11-30;0;null;null;null;null;
2021-12-31;108,4;null;null;null;null;
2022-01-31;null;null;null;null;null;
2022-02-28;16,6;null;null;null;null;
2022-03-31;null;null;null;null;null;
2022-04-30;57,7;null;null;null;null;
2022-05-31;246,3;null;null;null;null;
2022-06-30;311;null;null;null;null;
2022-07-31;195,5;null;null;null;null;
2022-08-31;111,7;null;null;null;null;
2022-09-30;32,5;null;null;null;null;
2022-10-31;null;null;null;null;null;
2022-11-30;null;null;null;null;null;

