Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;193,4;30,1;26,6;23,3;79,4;
2010-02-28;45,2;31,3;27,8;24,3;76;
2010-03-31;92,7;32,3;27,9;23,4;75,3;
2010-04-30;273,3;31;27;23,4;82,4;
2010-05-31;114,3;30,3;26,3;22,7;83;
2010-06-30;543,9;29,1;25,3;22,6;85,3;
2010-07-31;259,4;28,2;24,5;21,5;84,1;
2010-08-31;191,2;27,5;23,7;20,6;83;
2010-09-30;74,3;28,2;25;21,6;75,6;
2010-10-31;37,4;30;26,3;22,8;72,7;
2010-11-30;23,5;30,7;27,1;23;67,8;
2010-12-31;84,8;31;27,1;22,9;70,3;
2011-01-31;139,3;30,4;26,7;23;74,6;
2011-02-28;336,6;30,6;26,9;22,9;74,2;
2011-03-31;129,5;31,5;27,3;22,7;74,3;
2011-04-30;647,4;29,7;26;22,4;82,6;
2011-05-31;755,7;28,9;25,5;22,3;86,7;
2011-06-30;303,9;28,4;24,8;21,4;84,5;
2011-07-31;544,4;27,4;24;20,9;86;
2011-08-31;201,8;28,1;24,2;20,2;79,7;
2011-09-30;35,7;28,4;24,9;20,9;74,6;
2011-10-31;34,6;29,7;26,1;22;71,8;
2011-11-30;75;30,1;26,5;22,3;71,1;
2011-12-31;41,8;30,9;27;22,8;69,8;
2012-01-31;198,6;30,2;26,3;22,3;74,4;
2012-02-29;189,8;29,9;26,5;22,6;73,6;
2012-03-31;138,8;30,6;26,8;22,4;73,1;
2012-04-30;55,8;30,5;26,3;21,7;74,1;
2012-05-31;190,2;29,8;25,6;21;75,6;
2012-06-30;296,5;28,7;24,6;20,7;82,4;
2012-07-31;261,7;28;24,3;20,7;80;
2012-08-31;163,5;27,5;23,7;20,3;80,2;
2012-09-30;19,7;28,6;25,1;21,1;71,6;
2012-10-31;54,4;29,2;25,8;22,1;71,4;
2012-11-30;9,9;31;27;22,7;66,1;
2012-12-31;25,1;31,1;27,3;23,7;67,6;
2013-01-31;95,7;31,2;27,2;22,9;70,4;
2013-02-28;47,7;31,7;27,8;23,5;68,7;
2013-03-31;98,8;31,6;27,7;23,8;71,4;
2013-04-30;229;31,6;27,2;22,7;74,4;
2013-05-31;316,9;29,8;25,8;22,3;80,8;
2013-06-30;491,4;28,8;24,9;21,7;86,3;
2013-07-31;416,4;28;24,3;21,3;84,6;
2013-08-31;225,3;28,1;24,6;21,6;80,5;
2013-09-30;146;28,5;25,1;22;78,9;
2013-10-31;129,2;29,5;26;22,8;75,5;
2013-11-30;76,5;30;26,5;23,2;77;
2013-12-31;177,3;30,7;27;23,2;74,5;
2014-01-31;108,9;30,4;26,5;22,6;73,9;
2014-02-28;148,2;30,5;26,5;22,6;77,6;
2014-03-31;252,4;30,9;26,9;23,2;79,4;
2014-04-30;268,5;31,3;27;23,2;77,1;
2014-05-31;315,1;29,6;25,5;22,3;83,3;
2014-06-30;322,8;28,6;24,9;21,6;82,1;
2014-07-31;278,9;28,2;24,4;21,2;82,3;
2014-08-31;162,2;28;24;20,7;80,7;
2014-09-30;248,9;28,5;24,8;21,4;80,3;
2014-10-31;146,5;29,1;25,7;22,6;78,3;
2014-11-30;56;30,5;26,3;22,5;73,3;
2014-12-31;71,3;30,8;26,7;22,8;73,4;
2015-01-31;65,4;30,9;26,9;22,7;71,4;
2015-02-28;56,2;31,6;27,4;23,3;71,4;
2015-03-31;341,2;30,6;26,8;22,8;76,6;
2015-04-30;74,6;31,6;27,2;22,4;73,6;
2015-05-31;178,9;30,8;26,4;22,2;77,3;
2015-06-30;460,5;29;25;21,6;83,5;
2015-07-31;446,3;28,1;24,2;21,3;86;
2015-08-31;116;28,5;24,5;20,9;79,8;
2015-09-30;35,1;29,8;25,7;21,6;73,7;
2015-10-31;16,6;30,1;26,4;22,6;70,4;
2015-11-30;30,6;31,4;27,1;22,8;68,7;
2015-12-31;91,8;31,2;27,2;23,6;69,7;
2016-01-31;124;31,3;27,2;23,8;73,2;
2016-02-29;70;31,4;27,4;23,9;74,4;
2016-03-31;265,1;31,4;27,4;23,8;75,8;
2016-04-30;293,6;30,7;26,8;23,7;79,2;
2016-05-31;478,3;29,6;25,7;22,5;82,1;
2016-06-30;148,5;29,1;25;21,3;80,9;
2016-07-31;111,3;28,4;24,4;20,8;81,3;
2016-08-31;58,3;28,9;24,7;20,6;77,3;
2016-09-30;58,2;29,8;25,7;21,7;73,7;
2016-10-31;14,1;31,2;26,8;22,5;70,3;
2016-11-30;17,3;32;27,4;23;70,2;
2016-12-31;68;31,9;27,4;22,7;70,8;
2017-01-31;28,7;31,9;27,5;23,4;69,1;
2017-02-28;21,1;32,6;28;23,6;67,8;
2017-03-31;156,2;31,5;27,5;23,4;74,3;
2017-04-30;289,9;30,8;26,7;22,8;80,4;
2017-05-31;399,4;29,9;25,8;22,1;83,6;
2017-06-30;489,8;29;25;21,9;86,5;
2017-07-31;490,5;27,7;23,8;20,9;86,8;
2017-08-31;112,1;28,4;24,1;20,2;82,4;
2017-09-30;84,1;28,7;24,9;21,3;78,7;
2017-10-31;63,1;29,9;25,8;22,2;76,2;
2017-11-30;14,8;31,7;27;22,3;71,1;
2017-12-31;30,3;32,2;27,5;22,9;72,1;
2018-01-31;153,6;31,4;27,3;22,8;72,7;
2018-02-28;146,2;31,4;27,1;23;77,2;
2018-03-31;120,6;31,6;27;22,7;76,7;
2018-04-30;484;29,7;25,8;22,6;85,6;
2018-05-31;231,6;29,9;25,7;21,8;82,6;
2018-06-30;143;29;24,5;20,6;83;
2018-07-31;135,3;28,1;24;20,2;82,3;
2018-08-31;98,4;28,5;24,4;20,3;80;
2018-09-30;58,5;28,9;25,2;21,1;78,1;
2018-10-31;23,8;30,6;26,6;22,3;72,4;
2018-11-30;37,8;31,4;27,2;23,1;71,9;
2018-12-31;74,5;31,7;27,3;22,7;72;
2019-01-31;141,3;31;26,9;22,7;77,2;
2019-02-28;117,1;31,3;27,3;23,2;80,7;
2019-03-31;158,9;31,9;27,3;22,8;81,6;
2019-04-30;290,8;31;26,6;22,1;85,3;
2019-05-31;213,5;30,5;26,1;21,6;87,2;
2019-06-30;463,4;29,2;25;20,3;84;
2019-07-31;432;28,4;24;19,6;88,6;
2019-08-31;183;28,2;24,1;19,3;84,9;
2019-09-30;109,5;29;25,1;20,3;82;
2019-10-31;59,2;29,9;25,8;20,9;78,7;
2019-11-30;4,5;31,5;27;22;69;
2019-12-31;22,2;31,8;27,3;22;67,9;
2020-01-31;56,6;32,1;27,8;22,6;70,8;
2020-02-29;84,5;32,1;27,8;22,6;73,7;
2020-03-31;155;32,3;27,7;22,5;76,6;
2020-04-30;256;31,2;26,8;21,9;82,8;
2020-05-31;247,1;30;25,9;21,4;86,1;
