Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2023-08-14
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;371,6;30,8;25,9;22,6;88,5;
2010-02-28;261,6;31,1;26,3;22,9;87,7;
2010-03-31;314,5;31,4;26,5;23,1;88,2;
2010-04-30;44,2;31,8;26,1;22;85,2;
2010-05-31;90,1;30,3;24,3;20;84,8;
2010-06-30;32,1;31,5;24,7;19,5;81,3;
2010-07-31;,6;31,1;23;17;76,4;
2010-08-31;37,5;34,2;24,5;17,5;67,3;
2010-09-30;22,9;34,6;26,8;21,1;71,6;
2010-10-31;178,3;33,2;26,3;21,7;79,6;
2010-11-30;275,3;31,7;25,9;22;83,7;
2010-12-31;237,4;31,3;25,9;22,5;85,7;
2011-01-31;209,9;30,5;25,6;22,7;87,1;
2011-02-28;176,4;29,9;25,4;22,3;88,1;
2011-03-31;263,3;30,5;25,4;22,4;88;
2011-04-30;213,5;31,1;25,6;22;88,5;
2011-05-31;50,2;31;24,8;20,4;84,3;
2011-06-30;20,8;31,3;24,6;19,9;82,4;
2011-07-31;1,8;32,6;24,5;18,5;76,2;
2011-08-31;30,9;33,6;24,5;18,4;70,8;
2011-09-30;135,8;33,6;26,1;21,2;77,8;
2011-10-31;99,9;32,3;26;22,2;84;
2011-11-30;289,7;32,3;26,5;22,5;83,4;
2011-12-31;127,2;31,2;25,9;22,9;87,3;
2012-01-31;404,4;29,5;25,3;22,4;89,6;
2012-02-29;452,4;29,9;25,1;21,9;88,6;
2012-03-31;316,8;30,9;25,5;22;87,4;
2012-04-30;162,5;31,5;25,8;22,4;87,1;
2012-05-31;127,2;31,2;24,9;20,6;85,9;
2012-06-30;182;30,4;24,2;19,9;86,2;
2012-07-31;63,1;31,5;23,4;17,7;80,2;
2012-08-31;96,7;33,5;24,7;18,5;75,3;
2012-09-30;51,3;34,4;26,3;21;79,1;
2012-10-31;188,3;33;26,6;22,3;84;
2012-11-30;372,3;31,9;26,6;23,2;87,6;
2012-12-31;272,4;31,2;26,1;22,9;87,9;
2013-01-31;315,1;31,5;26,2;23;89,1;
2013-02-28;217,6;30,6;26,1;23,1;89,3;
2013-03-31;411,2;31;25,9;22,9;90,5;
2013-04-30;69,6;32,2;26;21,8;84,6;
2013-05-31;34,2;31,1;25,4;21,5;87;
2013-06-30;138,1;32;25,8;21,8;86;
2013-07-31;49,7;31,3;23,7;18,5;82,8;
2013-08-31;48,4;32,5;23,8;17,5;74,7;
2013-09-30;80,6;34,1;25,9;20,4;76,9;
2013-10-31;156,4;32,5;26,1;22,4;85,5;
2013-11-30;241,2;31,7;26,1;22,3;87,3;
2013-12-31;284,2;31,7;26,3;22,7;88;
2014-01-31;512,2;30,8;25,7;22,7;90,3;
2014-02-28;228,6;30,9;25,7;22,6;89,2;
2014-03-31;383,1;30,7;25,9;22,9;90,2;
2014-04-30;244,1;31,4;25,9;22,6;89,5;
2014-05-31;205,6;30,6;25,2;21,7;89,8;
2014-06-30;35,3;30,5;24,5;20,7;88,2;
2014-07-31;12,2;30;23,1;18,4;84,5;
2014-08-31;79,2;33,3;24,9;19,6;77,7;
2014-09-30;221,3;34,3;26,7;22,4;81,6;
2014-10-31;118,1;33,1;26,7;23;85,5;
2014-11-30;195,6;32,2;26,5;23,2;85,2;
2014-12-31;165;31,4;26;22,8;87,5;
2015-01-31;240,4;30,3;25,3;22,5;89,9;
2015-02-28;287,9;30,6;25,6;22,7;90,4;
2015-03-31;282,1;30,8;25,5;22,8;90,8;
2015-04-30;212,2;31,6;26,2;22,9;88,7;
2015-05-31;170,2;30,4;25,3;22,4;90,3;
2015-06-30;57,5;31,6;24,9;20,7;85,4;
2015-07-31;5,9;31,9;24,8;20,2;82,7;
2015-08-31;46,8;34,9;26,9;22;77;
2015-09-30;105,4;35,5;27,6;22,9;77,3;
2015-10-31;97,8;34,5;27,2;23;78,4;
2015-11-30;327,1;33,4;27,4;23,8;81,4;
2015-12-31;179,1;32,3;26,7;23,5;85,1;
2016-01-31;96,3;32,6;27,1;24;91,2;
2016-02-29;220,6;32,2;27;23,9;90,4;
2016-03-31;227,5;31,5;26,5;23,6;88,1;
2016-04-30;318,3;32,2;26,4;22,8;86,5;
2016-05-31;94;31,2;25;21,4;86,8;
2016-06-30;2;30,7;23,8;19,1;81,6;
2016-07-31;11,7;34,9;25,2;18,7;74;
2016-08-31;30,6;35,7;26,2;19,8;68,7;
2016-09-30;80,2;33,7;25,8;20,8;76,4;
2016-10-31;211,3;33,8;26,6;22,8;81,4;
2016-11-30;169,9;32,7;26,4;22,7;84,6;
2016-12-31;219,3;31,5;26,1;23,2;87,8;
2017-01-31;405,2;30,3;25,5;22,7;94,5;
2017-02-28;236,5;31,3;25,7;23;94;
2017-03-31;419,8;31,6;25,9;23,1;89,7;
2017-04-30;205,3;31,4;25,6;22,5;88,9;
