Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;195,4;31,7;25,9;22,1;81;
2010-02-28;116,5;33;26,8;22,9;78,7;
2010-03-31;225,4;33,1;26,8;22,9;81,9;
2010-04-30;187,8;32,7;26,8;22,2;77,4;
2010-05-31;43,3;34,6;27,1;21,4;70,6;
2010-06-30;0;33,7;25,8;19,5;61,9;
2010-07-31;1,5;33,8;25,2;17,9;55,3;
2010-08-31;0;35,1;25,3;16,6;49,2;
2010-09-30;0;36,9;28;20,1;43;
2010-10-31;141,8;35,3;27,9;22,3;65,3;
2010-11-30;128,5;34;27,4;22,7;71,7;
2010-12-31;89,2;32,3;26,5;22,4;76;
2011-01-31;233,7;32;25,9;22;80,1;
2011-02-28;359;30,4;24,7;21,7;86,4;
2011-03-31;285,1;31,7;25,7;22;83,6;
2011-04-30;90;32,4;26,1;21,8;79,3;
2011-05-31;54,6;33;26;20,5;71,2;
2011-06-30;0;33,7;25;17,9;62,8;
2011-07-31;0;33,7;24,7;17,3;57,1;
2011-08-31;0;35,9;26;17,5;52,1;
2011-09-30;0;36,8;27;18,5;42,2;
2011-10-31;156,9;34,7;27,5;22,2;66,2;
2011-11-30;221,4;30,8;25,8;22;79,4;
2011-12-31;153,8;32,4;26,4;22,1;77,9;
2012-01-31;209,4;30,3;25,2;21,9;82,1;
2012-02-29;213,9;30,8;25,1;21,6;83;
2012-03-31;172,8;32,2;25,8;21,8;82,5;
2012-04-30;54,5;33,6;26,6;21,5;75,4;
2012-05-31;44,5;34;26,2;20,4;68,8;
2012-06-30;0;34,4;25,2;17,9;64,3;
2012-07-31;0;34,8;24,7;16,3;58,4;
2012-08-31;0;34,9;25,7;17,8;48,8;
2012-09-30;0;37,5;27,8;19,6;46;
2012-10-31;26,8;38;30;23,5;52,8;
2012-11-30;245,3;32,7;26,8;23,2;79,3;
2012-12-31;151,7;33,7;27,1;22,5;75,3;
2013-01-31;286,7;31,6;26,1;22,5;81,9;
2013-02-28;47,8;33,3;27;22,7;78,6;
2013-03-31;190;33;26,8;22,8;80,7;
2013-04-30;101,7;32,5;26,5;22,4;80,3;
2013-05-31;46,5;33,4;26,6;21,7;77;
2013-06-30;21;34,1;26;20;71,5;
2013-07-31;0;34,5;25,5;18,1;59,4;
2013-08-31;0;36;26,2;17,3;52;
2013-09-30;9,2;37,6;28,7;20,9;46,9;
2013-10-31;69,2;35,8;28,7;22,7;57,9;
2013-11-30;181,7;33,7;27,1;22,4;71,3;
2013-12-31;355,6;32;26,4;22,7;78,8;
2014-01-31;187,9;33,1;26,5;21,8;75,6;
2014-02-28;108,1;32,1;26,4;22,6;78,6;
2014-03-31;222,9;32,2;26,2;22,3;81,7;
2014-04-30;111,2;33;26,5;22,1;79,1;
2014-05-31;42,3;33,7;26,4;21,1;70,7;
2014-06-30;0;33,9;25,3;18,4;65,7;
2014-07-31;,3;34,7;25,9;18,2;56,6;
2014-08-31;0;35,7;26;17,8;51,7;
2014-09-30;1;37,4;28,6;21;46,4;
2014-10-31;19,9;36,6;29,1;23,1;52,7;
2014-11-30;168,6;34,2;27,9;22,9;68,8;
2014-12-31;162,5;33;26,9;22,4;72,2;
2015-01-31;186,3;33,4;26,8;22,1;74,4;
