Nome: BOM JESUS DO PIAUI
Codigo Estacao: 82975
Latitude: -9.07999999
Longitude: -44.32777777
Altitude: 288
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2023-07-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;164,7;33,5;29,4;18,4;53,5;
2010-02-28;84,2;34,3;30,1;19,1;49,4;
2010-03-31;164;33,8;30;19,7;53,1;
2010-04-30;122,9;34,3;30,1;18,8;49,7;
2010-05-31;0;34,5;30,2;19,2;42,8;
2010-06-30;0;35;30,5;19,2;40,9;
2010-07-31;0;34,6;30,1;19,5;43,1;
2010-08-31;0;35,6;30,8;19;43,4;
2010-09-30;null;null;null;null;null;
2010-10-31;135,1;35;30,6;19,6;49;
2010-11-30;50,3;34,4;30,3;20,1;50,5;
2010-12-31;193,4;33;29,4;20;56,5;
2011-01-31;168,4;33,3;29,6;20;53,9;
2011-02-28;322;32,6;29,1;19,6;59,8;
2011-03-31;296,6;32,9;29,2;19,2;59,3;
2011-04-30;74,5;33,9;30;20,2;52,5;
2011-05-31;null;null;null;null;null;
2011-06-30;0;34,4;29,9;18,4;48,8;
2011-07-31;5;33,9;29,4;17,5;46,7;
2011-08-31;0;35,3;30,3;18,1;43,4;
2011-09-30;0;36,9;31,8;19,8;42,7;
2011-10-31;186,5;33,9;29,9;19,8;53,9;
2011-11-30;147,4;33,5;29,5;19,6;61,5;
2011-12-31;119,8;34,8;30,5;20,1;53,4;
2012-01-31;150,9;34;30,3;20,5;54,6;
2012-02-29;109,2;34,9;30,8;20,3;43,8;
2012-03-31;null;null;null;null;null;
2012-04-30;38,1;33,9;30,3;21,1;40,9;
2012-05-31;27,6;33,7;30,1;20,7;39,6;
2012-06-30;0;34,2;30,4;20,7;38,4;
2012-07-31;0;34;30,1;20,4;37,7;
2012-08-31;0;33,9;30,1;20,4;37,5;
2012-09-30;0;35,5;31,1;20,9;38,6;
2012-10-31;0;36,2;31,9;22,1;40,6;
2012-11-30;208,9;33,6;30;21;51,3;
2012-12-31;142,5;34,8;30,8;21,2;50,2;
2013-01-31;null;null;null;null;null;
2013-02-28;3;34,3;30,6;21,4;47;
2013-03-31;148,5;34,2;30,5;21;47,3;
2013-04-30;67,4;33,8;30,3;21,5;47,5;
2013-05-31;71;33,8;30,2;21,2;45,3;
2013-06-30;0;33,5;29,9;20,9;42,7;
2013-07-31;0;33,5;29,7;20,6;41,9;
2013-08-31;0;34,3;30,2;20,3;38,5;
2013-09-30;0;35;30,9;20,9;39,7;
2013-10-31;24;35,7;31,5;21,4;44,1;
2013-11-30;83,8;35,3;31,2;21,3;51,9;
2013-12-31;295,8;33,3;29,8;20,8;62;
2014-01-31;null;null;null;null;null;
2014-02-28;132;34,3;30,3;20,4;54,8;
2014-03-31;239,8;32,9;29;19;55;
2014-04-30;238,2;32,8;28,7;17,5;50,7;
2014-05-31;10;33,5;29,1;17,5;50,1;
2014-06-30;0;34;29,5;17,6;45,7;
2014-07-31;0;34,2;29,7;17,8;46,5;
2014-08-31;0;35;30,2;17,8;44,1;
2014-09-30;46,2;35;30,2;18;42,4;
2014-10-31;66;35,5;30,6;18,2;41,8;
2014-11-30;185,1;33,7;29,3;17,7;46,6;
2014-12-31;157,8;32,9;28,8;17,6;47,5;
2015-01-31;null;null;null;null;null;
2015-02-28;233;33;29,1;19,2;50,3;
2015-03-31;158,6;32,9;29,1;18,7;48,6;
2015-04-30;127,8;33,6;29,5;18,6;49,2;
2015-05-31;72;33,2;29,3;18,7;48,3;
2015-06-30;0;34;29,9;19,2;46,4;
2015-07-31;0;34,4;30,4;21,1;45,1;
2015-08-31;0;34,3;30,4;21,4;36;
2015-09-30;0;36,2;31,8;22;30;
2015-10-31;37,8;37,1;32,4;22,4;33,5;
2015-11-30;null;null;null;null;null;
2015-12-31;11,4;35;31,4;23,3;41,8;
2016-01-31;null;null;null;null;null;
2016-02-29;144,4;33,8;30,1;21,6;50,9;
2016-03-31;92,4;34,9;30,9;21,7;43,6;
2016-04-30;63,9;35;31,2;22,5;40,5;
2016-05-31;0;34,8;31;22,2;39,2;
2016-06-30;3,4;33,6;30;21,3;41,3;
2016-07-31;0;33,6;30;21,3;40,9;
2016-08-31;0;34,4;30,6;21,6;37,2;
2016-09-30;null;null;null;null;null;
2016-10-31;131,5;34,2;30,4;22,2;40,4;
2016-11-30;20,9;34,9;30,9;22;37,5;
2016-12-31;61,4;33,8;30,2;21,8;42,8;
2017-01-31;null;null;null;null;null;
2017-02-28;300,8;30,4;28;21,4;61,1;
2017-03-31;161,8;31,6;28,6;21,3;55,6;
2017-04-30;58,7;32,7;29,2;21,4;50,8;
2017-05-31;26;32,8;29,3;21,5;43,2;
2017-06-30;0;34;29,3;20,8;41,2;
2017-07-31;0;33;28,6;18,9;41,1;
2017-08-31;null;null;null;null;null;
2017-09-30;0;37,2;30,6;21,5;30,3;
2017-10-31;0;39,1;32,2;22,5;30,4;
2017-11-30;211,2;35,5;30,3;22;51,8;
2017-12-31;322,4;34,6;30,1;21,9;55,1;
2018-01-31;276,4;34,4;30;21,5;50,9;
2018-02-28;null;null;null;null;null;
2018-03-31;240,8;33;29,4;21,9;58,8;
2018-04-30;null;null;null;null;null;
2018-05-31;2;34,2;29,7;22,3;47,2;
2018-06-30;0;33,5;29,6;21,8;42,9;
2018-07-31;0;34;29,9;22,1;39,3;
2018-08-31;9;35,2;30,6;22;40,4;
2018-09-30;null;null;null;null;null;
