Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;93,2;30,6;24,5;19,6;79,8;
2010-02-28;38,3;33,4;26,7;21,3;70,7;
2010-03-31;135,7;30,7;25;20,6;72;
2010-04-30;93,5;30,1;24,4;19,7;70,3;
2010-05-31;5,4;33,2;25,2;18,3;56,9;
2010-06-30;null;null;null;null;null;
2010-07-31;0;31,1;23,9;17,4;47,9;
2010-08-31;0;32,2;24;16,2;46;
2010-09-30;0;33,6;26,2;18,9;44,4;
2010-10-31;32,9;34,6;27,2;20,6;55,3;
2010-11-30;28,4;34,3;27,3;20,7;55;
2010-12-31;69,6;30,7;24,9;19,7;72,4;
2011-01-31;59;30,5;24,8;20;73,8;
2011-02-28;151,7;30,5;24,5;20;76,7;
2011-03-31;203,8;29;23,7;19,6;83,5;
2011-04-30;25,4;29,6;23,7;19,3;77,7;
2011-05-31;3,8;30,2;23,8;18,3;71;
2011-06-30;null;null;null;null;null;
2011-07-31;0;31,1;23,2;15,5;60,8;
2011-08-31;12,6;33,1;24,3;16,3;57,5;
2011-09-30;0;33,5;25,3;16,8;56,5;
2011-10-31;63,8;33,7;26,8;20;66,3;
2011-11-30;67,2;31,5;25,1;19,8;75,8;
2011-12-31;38,2;33,7;26,2;19,4;66,4;
2012-01-31;43,6;32,6;25,6;19,9;69,5;
2012-02-29;45,3;32,2;25,2;19,2;71;
2012-03-31;5,2;34,9;27,3;20,2;59,6;
2012-04-30;0;35,4;27,4;19,5;55,6;
2012-05-31;0;34,2;26,6;18,9;57,3;
2012-06-30;null;null;null;null;null;
2012-07-31;0;32,1;24,7;17,2;63,7;
2012-08-31;0;31,6;24,2;16,5;63,3;
2012-09-30;0;34,4;26,6;18,4;58,8;
2012-10-31;0;35,4;28,3;20,6;58,7;
2012-11-30;75,2;32,5;26,2;20,7;74,3;
2012-12-31;28,2;34;26,9;19,8;65;
2013-01-31;182,2;31,7;25,4;20,2;81,3;
2013-02-28;,8;34,2;27,2;20;63;
2013-03-31;114,8;33,4;26,5;20,6;75,3;
2013-04-30;83,9;31,2;25,2;19,7;71,9;
2013-05-31;15,6;32,3;25,4;18,9;64,3;
2013-06-30;null;null;null;null;null;
2013-07-31;1,8;32;24,6;16,9;58,7;
2013-08-31;null;32,7;25;16,9;56,4;
2013-09-30;0;34,6;26,9;19,1;53,5;
2013-10-31;50,6;34,7;27,5;20,1;53,7;
2013-11-30;111,4;33,4;26,3;19,5;65,8;
2013-12-31;253,8;29,9;24,5;19,2;79,5;
2014-01-31;1,4;32,6;25,6;18,4;65,8;
2014-02-28;110,6;31,6;25,4;19,7;71,4;
2014-03-31;81,6;30,7;24,5;19;78,6;
2014-04-30;185,4;30,4;24,2;18,4;77,8;
2014-05-31;15,8;30,9;23,8;16,8;68,2;
2014-06-30;0;32,2;24,1;15,7;60,5;
2014-07-31;null;null;null;null;null;
2014-08-31;1,2;32,7;24,6;16;54,9;
2014-09-30;0;34,5;26,5;18,1;55,3;
2014-10-31;12,2;34,5;27,4;19,7;58,9;
2014-11-30;83,2;32,9;26,2;19,2;68,8;
2014-12-31;87,3;30,7;25,2;20,9;77,6;
2015-01-31;35,6;33,9;26,9;21,5;65,9;
2015-02-28;72;32;25,4;19,3;69,3;
2015-03-31;51;31,7;25,1;18,9;69,4;
2015-04-30;101,7;32,9;25,7;19,5;69,5;
2015-05-31;30,8;32;25,2;18,9;64;
2015-06-30;null;null;null;null;null;
2015-07-31;0;32,4;25,1;18,3;54,5;
2015-08-31;0;33,1;25,4;18,1;49,5;
2015-09-30;0;35,7;27,4;18,4;44,4;
2015-10-31;21,6;36;28,5;19,8;46,8;
2015-11-30;61,8;35,9;28,4;20,3;48,1;
2015-12-31;4,4;36,2;28,6;20,1;43,9;
2016-01-31;295,7;29,6;24,5;19,4;74,6;
2016-02-29;34,6;31,6;25,2;18;64,6;
2016-03-31;19,2;34,7;27,1;19,3;54,6;
2016-04-30;6,9;34,9;27;18,9;50,5;
2016-05-31;0;34,2;26,3;17,8;49,1;
2016-06-30;null;null;null;null;null;
2016-07-31;null;null;null;null;null;
2016-08-31;null;null;null;null;null;
2016-09-30;null;null;null;null;null;
2016-10-31;null;null;null;null;null;
2016-11-30;null;null;null;null;null;
2016-12-31;null;null;null;null;null;
2017-01-31;null;null;null;null;null;
2017-02-28;null;null;null;null;null;
2017-03-31;null;null;null;null;null;
2017-04-30;null;null;null;null;null;
2017-05-31;null;null;null;null;null;
2017-06-30;null;null;null;null;null;
2017-07-31;null;null;null;null;null;
2017-08-31;null;null;null;null;null;
2017-09-30;0;32,9;null;17,6;null;
2017-10-31;6,4;35,3;null;20;null;
2017-11-30;105,6;32,7;null;19,3;null;
2017-12-31;77,5;32,3;null;19,1;null;
2018-01-31;104,2;32,3;null;18,5;null;
2018-02-28;141,4;29,2;null;18,6;null;
2018-03-31;130,8;29,5;null;18,3;null;
2018-04-30;21,8;29,9;null;17;null;
2018-05-31;0;31,8;null;15,9;null;
2018-06-30;0;31,7;null;14,2;null;
2018-07-31;0;31,7;null;13,4;null;
2018-08-31;0;33,7;null;15;null;
2018-09-30;null;null;null;null;null;
2018-10-31;83,2;35,1;null;18,6;null;
2018-11-30;35,6;33,4;null;18,8;null;
