Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.62583332
Longitude: -42.07722221
Altitude: 397.39
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;115,2;31,8;27,3;23,2;75,7;
2010-02-28;44,9;33,8;28,8;25,1;69,6;
2010-03-31;148,7;31,8;27,5;23,4;80,7;
2010-04-30;104,1;31,1;27,1;23,5;78,8;
2010-05-31;0;32,1;27,7;23,2;71,1;
2010-06-30;17,7;30,4;26,1;22,3;64,3;
2010-07-31;3,1;29,8;25,2;21,4;60,7;
2010-08-31;0;30,8;25,2;20,5;54,7;
2010-09-30;0;32;26,5;21,8;50,9;
2010-10-31;28,9;34,2;28,8;24,3;50,8;
2010-11-30;5,9;34,4;29;24,3;50,7;
2010-12-31;170,7;31,8;26,9;22,6;67,1;
2011-01-31;33,7;31,4;26,9;22,5;67,2;
2011-02-28;93,7;31,7;27,3;23,3;67,5;
2011-03-31;280,5;30,8;26;22,3;79,8;
2011-04-30;23,6;31,1;27;23,3;70;
2011-05-31;3,2;30,7;26,6;23;64,8;
2011-06-30;1,4;30,8;25,8;21,7;62,5;
2011-07-31;0;29,9;25,3;21,3;61,4;
2011-08-31;,8;31,6;26,3;21,8;55,5;
2011-09-30;0;31,9;26,4;21,5;52;
2011-10-31;72,4;32,8;27,8;23,6;57,4;
2011-11-30;72,9;31,3;27,1;23,1;62,1;
2011-12-31;20,9;32,6;27,9;23,8;57,8;
2012-01-31;8,2;32,9;28,2;24;57;
2012-02-29;79,3;31,6;27,3;23,4;62,1;
2012-03-31;15,6;33,5;28,8;24,1;55,4;
2012-04-30;0;33,7;28,9;24,3;52,5;
2012-05-31;0;32,2;27,6;23,5;56,8;
2012-06-30;0;31,1;26,6;22,9;57,2;
2012-07-31;0;30,6;25,6;21,3;57,3;
2012-08-31;0;30,7;25,1;20,3;54,5;
2012-09-30;0;33;27,2;22,2;47,8;
2012-10-31;0;34,3;28,5;23,3;45,6;
2012-11-30;106,4;32,9;27,9;23,8;64,1;
2012-12-31;null;34,1;28,1;23,2;59,2;
2013-01-31;47,4;33;27,8;24;65,6;
2013-02-28;0;35,1;29,1;24,6;55,4;
2013-03-31;78,3;34,7;29;24,4;58,7;
2013-04-30;87,1;32,5;27,6;23,6;63,8;
2013-05-31;0;32,2;27,1;23,4;61,1;
2013-06-30;0;31,7;26,6;22,5;59,3;
2013-07-31;1,6;31,5;25,7;21,3;58,6;
2013-08-31;0;31,9;25,9;21,1;58;
2013-09-30;0;33,6;27,1;22,2;55,2;
2013-10-31;9,8;34,6;28,3;23,5;51,3;
2013-11-30;68,7;33,3;27,8;23,4;57,3;
2013-12-31;219,9;30,2;25,9;22,3;74,7;
2014-01-31;0;32,5;27,6;23,4;60,9;
2014-02-28;68,2;32;27,5;23,6;64,6;
2014-03-31;75,4;32,1;27,4;23,6;67,5;
2014-04-30;173,7;30,6;26,5;22,7;70,8;
2014-05-31;,4;30,2;26,2;22,6;65,9;
2014-06-30;0;30,5;25,5;21,6;63;
2014-07-31;3,2;29,9;25,1;21,3;62,2;
2014-08-31;3,6;30,6;25,3;20,8;58,2;
2014-09-30;0;32,9;26,9;22;56;
2014-10-31;0;33,3;27,7;23,3;55,1;
2014-11-30;61,8;32,9;27,5;23,2;63,7;
2014-12-31;151;31,2;26,5;22,7;67,5;
2015-01-31;1,3;33,6;27,9;23,3;57,4;
2015-02-28;37,5;33;27,5;23,5;64,1;
2015-03-31;26,8;33,5;28,3;23,7;58,5;
2015-04-30;81,4;33,1;27,9;23,4;62,9;
2015-05-31;,5;32,3;27,1;22,6;59,4;
2015-06-30;,1;31,4;26;21,5;57,5;
2015-07-31;1,8;31,4;25,6;20,7;55,9;
2015-08-31;0;31,8;25,8;20,8;50,7;
2015-09-30;0;34,5;28,2;22,5;43,7;
2015-10-31;,8;35,3;29,3;24;44,8;
2015-11-30;12,3;36,2;30,3;25;45,3;
2015-12-31;0;36,3;30,4;25,5;44,5;
2016-01-31;398,5;30,5;26,4;22,9;76,7;
2016-02-29;45;31,5;27;22,9;66,1;
2016-03-31;7,3;32,9;28,2;24,3;63;
2016-04-30;0;33,2;28,2;24,2;57,8;
2016-05-31;10;32,8;27,3;22,8;57,2;
2016-06-30;0;31,9;26,3;21,7;54,8;
2016-07-31;0;31,5;25,2;20,2;55;
2016-08-31;0;32,6;26,3;21,2;48,7;
2016-09-30;13,5;33,4;27,4;22,3;48,1;
2016-10-31;12,3;34,3;28,6;23,8;47,9;
2016-11-30;105,9;33,9;28,2;23,4;55;
2016-12-31;9,8;33,7;28,3;23,8;56,4;
2017-01-31;8;35,2;29,7;24,5;50,5;
2017-02-28;85,7;32,7;27,7;23,6;64,8;
2017-03-31;83,6;33,5;27,9;23,2;62,7;
2017-04-30;74,2;32,5;27,6;23,4;62,9;
2017-05-31;3,7;32,7;27,4;23;56,7;
2017-06-30;4,7;31,9;26,2;21,4;57;
2017-07-31;0;29,9;24,6;19,4;57,7;
2017-08-31;0;32,4;26,5;21,2;51,8;
2017-09-30;0;31,7;26,2;21;54,1;
2017-10-31;0;34,5;28,8;23,1;48,5;
2017-11-30;21,7;34,6;29,1;23,9;56,3;
2017-12-31;22,1;34,6;29,2;24,3;57,2;
2018-01-31;27,9;33,9;28,6;23,9;60,2;
2018-02-28;197,1;30,9;26,5;22,7;76;
2018-03-31;258,7;30,4;26,3;22,5;78,4;
2018-04-30;25,1;30;25,7;21,9;73;
2018-05-31;0;31,3;26,1;21,6;67,3;
2018-06-30;0;30,8;25,3;20,8;65,7;
2018-07-31;0;30,9;25,2;20,4;60,3;
2018-08-31;0;32,2;26,4;21,3;60,3;
2018-09-30;0;33,6;27,9;22,9;53,9;
2018-10-31;26,7;34,6;29,1;24,3;53,5;
2018-11-30;4,5;33,8;28,7;24,4;54,4;
2018-12-31;125,7;31,5;26,5;22,3;65,7;
2019-01-31;0;34,7;29,1;24,3;51,4;
2019-02-28;95,4;33,6;28,2;23,7;63,3;
2019-03-31;106,8;32,1;27,3;23,1;67,4;
2019-04-30;40,9;32;27,5;23,5;67,7;
2019-05-31;,7;33,2;28,1;23,9;58,2;
2019-06-30;0;31,4;26,4;22,4;56,4;
2019-07-31;0;30,9;25,9;21,7;56,6;
2019-08-31;0;31,4;25,8;21;56,3;
2019-09-30;0;33,6;27,8;22,7;53;
2019-10-31;0;34,5;28,7;23,9;50;
2019-11-30;11;35;29,7;25;46,7;
2019-12-31;59,5;35;29,7;24,9;45,3;
2020-01-31;128,4;31,5;26,9;22,8;70,4;
2020-02-29;74;31,8;27,6;23,3;67;
2020-03-31;355,3;29,5;26;22,9;81,4;
2020-04-30;72,3;29,7;26,4;23,1;75,5;
2020-05-31;3,1;29,4;26,1;22,8;71,9;
2020-06-30;11;29,7;25,6;22,1;66;
2020-07-31;2,4;29,8;25,3;21,1;62,2;
2020-08-31;4,8;30,4;25,6;21,5;60,9;
2020-09-30;0;31,9;27;22,7;60,4;
2020-10-31;61,2;33,7;28,4;23,7;57,7;
2020-11-30;205,3;30,3;26,2;22,3;75,4;
2020-12-31;,2;32,1;27,3;22,6;68,1;
2021-01-31;31,6;32,5;27,4;23,2;68,7;
2021-02-28;null;31;26,3;22,5;78,6;
2021-03-31;56,9;32,2;27,1;22,7;69,8;
2021-04-30;30,4;31,9;27,2;23,2;73,2;
2021-05-31;0;31,5;26,6;22,3;68,4;
2021-06-30;7,9;30,9;26;21,7;72,6;
2021-07-31;null;30,5;25,3;21,1;70,1;

