Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;28,3;33,5;28,2;23,6;54,3;
2010-02-28;28,4;34,8;29,1;24,5;52,7;
2010-03-31;26,8;34,3;28,8;24,7;56,8;
2010-04-30;84,2;32,1;27,1;23,6;63,7;
2010-05-31;9,6;33;27,6;23,1;54,4;
2010-06-30;10,3;29,9;25,1;21,5;62,1;
2010-07-31;21,6;29,1;24,2;20,4;62,9;
2010-08-31;0;30,1;24,4;19,8;54,5;
2010-09-30;4;31,8;25,9;20,8;49,9;
2010-10-31;54;34,2;28,5;23,2;46,2;
2010-11-30;1,1;35,2;29,6;23,8;42;
2010-12-31;151,2;32,7;27,6;23,5;57,9;
2011-01-31;62,2;32,4;27,6;23,2;57;
2011-02-28;66,4;33,3;27,8;23,5;58,3;
2011-03-31;63,5;32,7;27,5;23,5;65;
2011-04-30;47;32,5;27;23;62,3;
2011-05-31;9,4;30,7;26;22,3;64,4;
2011-06-30;0;30,6;25,4;21;58,5;
2011-07-31;0;30;24,8;20,2;55,1;
2011-08-31;5,8;31,7;26;20,5;52,4;
2011-09-30;0;32;26,3;20,8;52;
2011-10-31;9,4;33,4;28;22,8;55,3;
2011-11-30;8,5;33,4;28,1;23,4;57,1;
2011-12-31;10,7;34,7;29,3;24;57,1;
2012-01-31;28,9;34,5;29,1;24;54,2;
2012-02-29;85,2;33;27,8;23;57,4;
2012-03-31;,2;34,9;29,3;23,8;46,5;
2012-04-30;0;34,4;28,8;23,5;46,1;
2012-05-31;,4;32,3;27,3;22,8;52,7;
2012-06-30;2,3;31,5;26,3;21,6;53,5;
2012-07-31;1,2;30,1;24,8;20,3;57,6;
2012-08-31;1,8;30,3;24,7;19,9;52,8;
2012-09-30;0;32,7;26,8;21,1;47,1;
2012-10-31;0;33,8;28,2;22,2;49,2;
2012-11-30;19,3;34,7;29,3;24,7;53;
2012-12-31;1,8;35;29,7;24,4;48,6;
2013-01-31;30;34,4;29,4;24,7;59,1;
2013-02-28;0;35,4;30,2;24,6;45,1;
2013-03-31;54,8;35,4;30,3;25;48;
2013-04-30;33,8;33,3;28,5;24,4;57,1;
2013-05-31;1,8;32,2;26,9;22,9;59,8;
2013-06-30;6,8;31;26,1;22;60,6;
2013-07-31;13,6;30,5;25,2;21;61,3;
2013-08-31;4,6;30,7;25,4;20,6;57,1;
2013-09-30;,4;33;27,2;21,6;50,3;
2013-10-31;0;34;28,3;22,9;49;
2013-11-30;33,6;33,6;28,2;23;54;
2013-12-31;155;32,7;27,7;23,4;68,7;
2014-01-31;28,6;33,2;28,3;23,4;59,5;
2014-02-28;37,5;33,4;28,3;23,7;56,3;
2014-03-31;56,7;33,8;28,8;24,2;60,8;
2014-04-30;179,8;31,9;27,5;23,8;64,8;
2014-05-31;1,6;30,7;26,1;22,2;63,4;
2014-06-30;1,3;30,5;25,5;21,3;60,2;
2014-07-31;26,3;29,9;24,8;20,6;60,9;
2014-08-31;2,4;30,3;24,9;20,3;60,9;
2014-09-30;7,2;33;27,2;21,6;56,2;
2014-10-31;0;33,2;27,9;22,6;53,7;
