Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;34,6;34,2;27,7;22,5;61,9;
2010-02-28;36,5;35,1;28,1;23;62,4;
2010-03-31;54,9;35;28,4;23,4;64,2;
2010-04-30;147,9;31,9;26,9;22,9;73,9;
2010-05-31;59,4;31,1;25,9;21,7;74,6;
2010-06-30;51,9;28,3;23,8;20;79,8;
2010-07-31;41,4;28,2;23;19,3;78,9;
2010-08-31;32,5;28,9;23;18,8;72,8;
2010-09-30;28,2;30,5;24,1;19,5;68,9;
2010-10-31;13,5;34,1;27;21,6;62,3;
2010-11-30;0;35,6;28,1;22,2;55;
2010-12-31;17,9;34,7;27,9;22,5;60,5;
2011-01-31;31,7;34,6;27,7;22,4;60,1;
2011-02-28;43;34,7;27,7;22,6;63,1;
2011-03-31;null;33,9;28,1;23,3;66,1;
2011-04-30;19,5;32,4;26,5;22,2;72;
2011-05-31;51,4;29,5;24,5;20,5;78,9;
2011-06-30;15,4;29,8;24,1;19,9;73,5;
2011-07-31;38,7;28,5;23;19,5;77;
2011-08-31;null;30;23,5;18,9;68,4;
2011-09-30;null;30,8;24,2;19,7;66;
2011-10-31;13;33,4;26,7;21,8;64,2;
2011-11-30;2;33,6;26,9;21,9;64,5;
2011-12-31;0;35,5;28,4;22,7;56,6;
2012-01-31;0;35;28;22,7;57,6;
2012-02-29;57,5;33,7;27,4;22,5;62,4;
2012-03-31;0;34,6;27,8;22,6;59,5;
2012-04-30;0;34;27,5;22,3;59,4;
2012-05-31;18,4;32,1;26,5;21,7;64,9;
2012-06-30;20,3;30,8;25,3;21,2;68,5;
2012-07-31;41;28;23,2;19,7;77;
2012-08-31;27,4;28,8;23,2;19,3;73,3;
2012-09-30;14,9;31,4;24,9;19,8;63,3;
2012-10-31;1,6;32,5;25,9;21;62,8;
2012-11-30;9,5;35,4;28,4;22,9;57,1;
2012-12-31;0;35,2;28,4;23,1;56,4;
2013-01-31;50,7;34,4;28,2;23,4;60,1;
2013-02-28;0;34,6;28,3;23,3;55,9;
2013-03-31;0;35,2;28,9;23,6;55,5;
2013-04-30;55,8;34,1;28;23,2;61,9;
2013-05-31;46,7;30,3;25,5;22,1;76,5;
2013-06-30;11,6;31,1;25,4;21,5;69,9;
2013-07-31;80,4;28,6;23,5;20,4;77,1;
2013-08-31;21,2;29,8;24;20,1;70,4;
2013-09-30;2;33;25,8;20,7;60,3;
2013-10-31;59,7;33;26,4;21,6;61,7;
2013-11-30;0;33,3;27,1;22;58,1;
2013-12-31;67,6;33,9;28;23;60,1;
2014-01-31;7,6;33,9;27,8;22,5;55,9;
2014-02-28;20,2;33,7;27,7;22,7;58,7;
2014-03-31;38,7;33,5;27,9;23,4;61,5;
2014-04-30;53,8;32,3;27,3;23,4;68,1;
2014-05-31;53,4;28,8;24,7;21,7;78,3;
2014-06-30;31,6;29,9;24,4;20,8;73,5;
2014-07-31;71,2;29;23,7;20,1;73,4;
2014-08-31;39,6;28,8;23,5;19,5;71,2;
2014-09-30;17,7;32,2;25,2;20,7;64,4;
2014-10-31;11,8;32,8;26,1;21,5;62,8;
2014-11-30;32,7;34,4;27,6;22,3;58,4;
2014-12-31;5,2;34,3;27,6;22,5;59,7;
2015-01-31;4,3;35,3;28,2;22,9;60;
2015-02-28;53,3;34,8;28,3;23,3;59,9;
2015-03-31;12,5;35,5;28,8;23,6;56;
2015-04-30;43,3;35,1;28,7;23,7;61,2;

