Nome: AGUA BRANCA
Codigo Estacao: 82989
Latitude: -9.26472222
Longitude: -37.93805555
Altitude: 603.42
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;20,5;29,7;24,7;20,4;87,6;
2010-02-28;null;null;null;null;null;
2010-03-31;46,9;30,4;25,4;21,3;90,8;
2010-04-30;165,3;27,7;24;21,1;94,6;
2010-05-31;79,9;26,5;23,1;20,4;94,8;
2010-06-30;293,5;23,2;20,8;19,1;97,6;
2010-07-31;null;null;null;null;null;
2010-08-31;null;null;null;null;null;
2010-09-30;null;null;null;null;null;
2010-10-31;21,5;29,9;23,7;19,2;94,2;
2010-11-30;0;31,9;24,8;19,2;89,6;
2010-12-31;69,1;31,4;25;20,1;90;
2011-01-31;73,1;30,9;24,7;20,5;91,1;
2011-02-28;null;null;null;null;null;
2011-03-31;178,4;30,3;25,2;21,3;93,6;
2011-04-30;76,2;28,4;23,7;20,8;96,4;
2011-05-31;196,2;25,1;21,7;19,7;97,7;
2011-06-30;124,8;25,3;21,2;18,8;97,2;
2011-07-31;211,1;23,7;20;17,8;98;
2011-08-31;80,4;26,1;20,9;17,8;96,1;
2011-09-30;150,7;25,8;20,7;17,5;96;
2011-10-31;48,1;29,4;23,4;19,1;91,2;
2011-11-30;101,2;29,3;23,5;19,1;92,3;
2011-12-31;,3;32;25,1;19,9;90,1;
2012-01-31;,7;31,5;24,8;20;88,2;
2012-02-29;null;null;null;null;null;
2012-03-31;9,8;31,1;24,5;20;87;
2012-04-30;6,7;30,8;24,4;19,8;86;
2012-05-31;49,6;28,9;23,3;19,3;90,6;
2012-06-30;57,3;27,3;22,3;18,9;90,3;
2012-07-31;167,8;24;20,2;17,5;96,3;
2012-08-31;112,5;24,9;20;17;95,3;
2012-09-30;29,3;27,9;21,8;17,4;88,8;
2012-10-31;17,9;29,3;22,8;18,3;88,7;
2012-11-30;9,2;32,7;25,6;19,8;70,4;
2012-12-31;,4;32,3;25,2;19,8;68,7;
2013-01-31;55,6;31,6;25,3;20,4;71,1;
2013-02-28;null;null;null;null;null;
2013-03-31;5,8;32,2;25,9;20,7;66,9;
2013-04-30;144,4;30,7;24,9;20,4;75,2;
2013-05-31;126,7;26,9;22,7;19,5;88;
2013-06-30;54,8;26,8;22,1;18,7;86,5;
2013-07-31;193,5;24,8;20,6;17,6;90,8;
2013-08-31;88,6;25,8;20,8;17,1;87,7;
2013-09-30;24;28,7;22,3;17,4;77,9;
2013-10-31;151,2;29,5;23,2;18,2;76,8;
2013-11-30;8,6;30,3;23,9;18,6;72,9;
2013-12-31;73,1;31,2;25,1;19,7;72,1;
2014-01-31;15,7;31,3;24,6;19;70,3;
2014-02-28;null;null;null;null;null;
2014-03-31;55,9;31,2;25;19,8;73,8;
2014-04-30;102,2;29,8;24,5;20;80,2;
2014-05-31;169;26;22,1;18,6;87,9;
2014-06-30;83,8;26,1;21,4;17,8;88,7;
2014-07-31;156,2;25,2;20,6;17;89,7;
2014-08-31;116,2;25,4;20,4;16,3;87,1;
2014-09-30;120,3;28;21,8;16,8;81,4;
2014-10-31;91,5;28,1;22,2;17,3;81;
2014-11-30;28,5;30,7;24,1;18,5;74,3;
2014-12-31;66,2;30,6;24,3;18,7;72,2;
2015-01-31;5,7;31,7;24,7;18,7;67,6;
2015-02-28;null;null;null;null;null;
2015-03-31;8,1;32,1;25,3;19,3;70,2;
2015-04-30;19,4;32,2;25,7;19,6;70,7;
2015-05-31;47,9;29,7;23,9;18,9;80,4;
2015-06-30;212,2;25,4;21,3;17,6;91,6;
2015-07-31;180,1;24,5;20,4;16,7;91,9;
2015-08-31;35,4;26,4;20,8;15,8;83,8;
2015-09-30;11,8;29,7;22,8;16,4;74,6;
2015-10-31;13,3;30,7;23,6;17,3;72,3;
2015-11-30;null;32,1;24,7;17,6;66,9;
2015-12-31;23,3;31,9;25,2;18,8;68,3;
2016-01-31;270,1;30,4;24,7;19,4;78,2;
2016-02-29;null;null;null;null;null;
2016-03-31;39,6;31,6;25,3;19,3;74,1;
2016-04-30;52,7;30,1;24,1;18,8;79,3;
2016-05-31;89,7;28,4;23;18;81,9;
2016-06-30;184,3;27;21,9;17;85,3;
2016-07-31;77,4;25,5;20,5;15,7;86,6;
2016-08-31;29,5;27,2;21,2;15,4;80,3;
2016-09-30;8,6;29,5;22,6;16,3;75,3;
2016-10-31;5,5;31,7;24,3;17,3;69;
2016-11-30;3,1;32,1;25;18,1;69,1;
2016-12-31;12,3;32,4;25,4;18,6;68;
2017-01-31;0;32,3;25,1;18,3;68,4;
2017-02-28;null;null;null;null;null;
2017-03-31;44,5;32,3;25,4;18,7;71,9;
2017-04-30;102,4;29,9;24,2;18,5;80,3;
2017-05-31;197;27;22,4;17,6;87,5;
2017-06-30;242;24,5;20,5;16,2;94,2;
2017-07-31;318,1;22,7;18,7;14,3;91,8;
2017-08-31;95,5;24,9;19,7;14,8;91,6;
2017-09-30;168,8;25,1;19,8;15,1;91;
2017-10-31;7,9;29;22,3;16,4;80,7;
2017-11-30;0;31,7;24,9;19,2;70,6;
2017-12-31;19;32,3;25,7;20,8;71,4;
2018-01-31;null;null;null;null;null;
2018-02-28;107,4;31,4;25,3;21;75,9;
2018-03-31;42,8;31,4;25,8;21,7;72,8;
2018-04-30;106,6;28,8;23,8;20,7;81,9;
2018-05-31;66,8;27,8;22,9;19,8;85,5;
2018-06-30;48,8;26,9;22;19,5;85,8;
2018-07-31;62,1;26,1;21,2;18,3;84;
2018-08-31;19,1;28,5;22,4;18,3;76,6;
