Nome: PAO DE ACUCAR
Codigo Estacao: 82990
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.86
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;91,1;35,5;29,2;23;65,7;
2010-03-31;28,6;36;29,4;24;71,1;
2010-04-30;67,1;34,5;28,8;24,3;73,4;
2010-05-31;37,3;33,4;27,7;22,8;75,9;
2010-06-30;136,1;30;25,5;21,9;83,7;
2010-07-31;113,7;28,7;24,5;21,3;85,3;
2010-08-31;39,6;28,9;24;19,9;78,7;
2010-09-30;null;32,1;null;null;null;
2010-10-31;40,4;34,2;28,2;22,2;64,9;
2010-11-30;0;36,1;29,4;22,4;56,8;
2010-12-31;12,2;36,5;30,2;23;54,6;
2011-01-31;null;null;null;null;null;
2011-02-28;35,3;36,1;29,5;23,6;62;
2011-03-31;113,3;36,7;29,9;23,7;64,2;
2011-04-30;106,4;34,1;28,3;23,4;75,2;
2011-05-31;88,6;31,7;26,5;22,8;82,8;
2011-06-30;46;30,2;25,1;21;82,7;
2011-07-31;91,4;28,5;23,7;19,9;86,4;
2011-08-31;30,6;31,7;25;20;75,4;
2011-09-30;null;null;null;null;null;
2011-10-31;18,9;35,1;28,3;22,4;63,8;
2011-11-30;32;34,6;28,1;22,6;67,6;
2011-12-31;0;38,3;29,8;23,2;56,8;
2012-01-31;null;null;null;null;null;
2012-02-29;48,1;35,2;28,3;23,2;72,4;
2012-03-31;3,6;36,7;28,9;23;67,3;
2012-04-30;null;36,5;29;23;66,3;
2012-05-31;38,5;33,6;27,5;21,9;71,3;
2012-06-30;41;31,2;26;20,9;79,4;
2012-07-31;71;29,3;23,9;20;86,9;
2012-08-31;null;null;null;null;null;
2012-09-30;21;33,7;26,4;20,1;68,9;
2012-10-31;6,4;34,5;27,7;21,4;63,4;
2012-11-30;null;37,7;30,1;23,2;52,4;
2012-12-31;0;37,8;30,4;23,5;53,6;
2013-01-31;null;null;null;null;null;
2013-02-28;,8;37,1;30,3;23,8;50,4;
2013-03-31;null;null;null;null;null;
2013-04-30;56,3;35,7;29,5;23,6;64,1;
2013-05-31;58,7;31,2;27;22,6;78,7;
2013-06-30;44,7;32,8;27,1;22,3;72,8;
2013-07-31;136,1;28,9;24,7;20,8;80,8;
2013-08-31;32,7;30,3;25,3;21,3;74,3;
2013-09-30;3,6;34,1;27,4;21,1;59,4;
