Nome: PALMEIRA DOS INDIOS
Codigo Estacao: 82992
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 277.98
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;79,2;32,4;26,3;21,6;69,7;
2010-02-28;35,9;32,4;26,5;21,7;71,8;
2010-03-31;94;33,9;27,3;22,5;69;
2010-04-30;288,8;30,9;26;22,3;80,3;
2010-05-31;28,5;30,3;25,3;21,5;79,8;
2010-06-30;351;27,2;23,6;21;85,8;
2010-07-31;160,2;26,8;22,5;19,5;86;
2010-08-31;64,5;26,5;22;18,7;83,5;
2010-09-30;81;27,9;22,7;19;79,6;
2010-10-31;63;31;25;20,7;73,5;
2010-11-30;2,2;32,8;25,8;20,9;66,4;
2010-12-31;30,8;33,2;26,5;21,7;66,4;
2011-01-31;77;32,4;25,9;21,4;70,5;
2011-02-28;33,7;32,9;26,3;21,5;70,3;
2011-03-31;27,9;34,5;27,3;22,2;67,7;
2011-04-30;171;30,7;25,5;22;80;
2011-05-31;314,8;27,5;23,8;21,3;87;
2011-06-30;105,5;27,4;23,1;20,1;85,4;
2011-07-31;218,3;25,7;21,8;19;87,3;
2011-08-31;94,5;27,4;22,3;18,3;80,9;
2011-09-30;83,1;27,2;22,4;18,8;80,6;
2011-10-31;30,4;30,6;24,4;19,9;73,3;
2011-11-30;67,9;30,7;24,8;20,5;72;
2011-12-31;0;33,5;26,2;20,8;62,4;
2012-01-31;7;32,8;25,9;20,9;64,7;
2012-02-29;91;32;25,6;20,9;69,3;
2012-03-31;3,9;32,4;25,8;20,9;69,7;
2012-04-30;22,8;31,8;25,4;20,3;71,2;
2012-05-31;62,9;31,1;24,9;20,4;73,3;
2012-06-30;58,8;28,5;23,4;19,8;80,4;
2012-07-31;98,6;26,8;22,2;18,9;84,6;
2012-08-31;100,7;26,9;22,1;18,8;83,7;
2012-09-30;13,7;28,8;23;18,7;81,7;
2012-10-31;33;30,3;24,2;20,1;73,2;
2012-11-30;,6;34,4;26,7;21,1;59,4;
2012-12-31;4,6;33,9;26,7;21,8;63,7;
2013-01-31;9,2;34,4;27,2;22,2;62,3;
2013-02-28;4,6;33,9;26,9;22,1;61,8;
2013-03-31;2,2;34,1;27,4;22,8;61,9;
2013-04-30;140,2;33;26,6;22,2;71,5;
2013-05-31;127,4;29,3;24,6;21,1;82,8;
2013-06-30;77,4;27,9;23,5;20;90,1;
2013-07-31;151,1;26,8;22,5;19,1;85,6;
2013-08-31;101,3;26,8;22,4;19,1;84,8;
2013-09-30;20,2;29;23,2;19,3;84,3;
2013-10-31;78,2;30,7;24,5;20,1;74;
2013-11-30;5,6;32;25,4;20,8;69,8;
2013-12-31;65,6;33,7;26,8;21,7;67,1;
2014-01-31;13,6;33,2;26,3;20,9;62,7;
2014-02-28;43,3;32,7;26;21,1;74,1;
2014-03-31;35,5;32,8;26,5;21,7;69,5;
2014-04-30;80,6;32,3;26,4;22,1;82,9;
2014-05-31;156,6;28,6;24,3;21;85,3;
2014-06-30;92,3;27,8;23,3;19,9;84,3;
2014-07-31;104,1;27,2;22,5;19,1;87,4;
2014-08-31;98,4;27,2;22,3;18,6;85,8;
2014-09-30;72,9;28,9;23,3;19,3;81;
2014-10-31;157;29,1;23,8;19,9;81;
2014-11-30;15,8;31,8;25,5;21;75,8;
2014-12-31;19,2;32,7;25,8;20,8;71,9;
2015-01-31;5;33,7;26,5;21,4;69,5;
2015-02-28;30,8;33,3;26,6;21,4;71,5;
2015-03-31;14,9;33,8;27;22,1;77;
2015-04-30;52,4;34,3;27,3;22,2;68,8;
2015-05-31;69,1;31,5;25,7;21,5;76,2;
2015-06-30;154,3;28;23,4;20,4;85,8;
2015-07-31;141,5;27;22,7;19,7;88,5;
2015-08-31;53,2;27,7;22,5;18,7;84,4;
2015-09-30;16,8;30,4;24;19,7;78,3;
2015-10-31;9,7;32;25,1;20,3;75,6;
2015-11-30;1;35;27;21;57,6;
2015-12-31;20,6;33,9;26,7;21,6;66,5;
2016-01-31;74,9;33,3;27;22,4;72;
2016-02-29;6,4;33,5;26,8;22;69,5;
2016-03-31;26,5;33,6;27,2;22,7;78;
2016-04-30;61;31,5;26,1;22,1;80;
2016-05-31;80,3;29,9;24,9;21,1;83,3;
2016-06-30;57,4;29,3;24;20,3;80,4;
2016-07-31;61,6;27,8;22,6;18,7;79,7;
2016-08-31;16,5;29,3;23,3;18,8;72;
2016-09-30;12,5;31,2;24,5;19,8;76,8;
2016-10-31;15,4;32,9;26;21,1;65,1;
2016-11-30;12,1;33,6;26,5;21,5;63,3;
2016-12-31;3,4;34,4;27,2;21,9;65,8;
2017-01-31;1,6;33,9;27;22,1;67,6;
2017-02-28;2,2;34,2;27,2;21,9;67,1;
2017-03-31;1;34,6;27,7;22,9;68,4;
2017-04-30;118,8;32,1;26,4;22,2;78,7;
