Nome: MACEIO
Codigo Estacao: 82994
Latitude: -9.55138888
Longitude: -35.77083332
Altitude: 84.12
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-04-07
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;212,3;30,7;26,3;22;77,9;
2010-02-28;175;31,6;26,6;22,8;79,9;
2010-03-31;151,1;32,1;27,1;22,9;77,6;
2010-04-30;172,5;31,3;26,8;23,1;81,6;
2010-05-31;152,1;30,4;26,2;22,1;83,1;
2010-06-30;713;28,6;24,8;21,2;87,5;
2010-07-31;257;28;24,1;20,5;85,3;
2010-08-31;188;27,4;23,8;20,3;84,4;
2010-09-30;146,8;27,9;24,5;20,8;81,1;
2010-10-31;96,8;30,1;25,8;22,4;79,9;
2010-11-30;5,7;31,3;26,6;22,4;77;
2010-12-31;22,2;31,5;27,1;23,1;76,6;
2011-01-31;142,1;30,6;26,5;23,5;79,3;
2011-02-28;122,7;30,7;26,4;23,1;80,8;
2011-03-31;17,5;32,1;27,4;23,4;77,8;
2011-04-30;595,4;30,2;26;22,6;84,1;
2011-05-31;397,3;28,8;25,3;22,2;86,7;
2011-06-30;235;28,1;24,9;21,3;84,9;
2011-07-31;366,2;27,1;24;20,3;86,6;
2011-08-31;209,1;27,4;24,5;21,3;84,5;
2011-09-30;111,1;27,6;24,4;21,4;83;
2011-10-31;49,8;29,2;25,4;21,6;81,4;
2011-11-30;112,3;30;26,1;22,4;78,1;
2011-12-31;14,2;30,8;26,5;22,3;76,3;
2012-01-31;189,9;30;26,2;22,5;81,2;
2012-02-29;67,8;29,8;26,4;22,8;80,1;
2012-03-31;139,9;30,4;26,4;22,8;79,6;
2012-04-30;56,6;30,1;26,2;22,2;80,5;
2012-05-31;85,3;30;26,1;22,6;81,6;
2012-06-30;272,8;28,2;24,9;22,3;84,7;
2012-07-31;271,3;27,8;24,4;22;85,5;
2012-08-31;154,4;27,6;24,1;21,2;85,1;
2012-09-30;27;28,3;25,1;21;81,7;
2012-10-31;69,8;29;25,6;21,8;81,5;
2012-11-30;0;31,3;27;22,7;77,1;
2012-12-31;13,8;31,1;26,9;22,9;78,3;
2013-01-31;63,6;31,3;26,8;22,7;79,1;
2013-02-28;12,4;31,9;27,5;23,2;76,9;
2013-03-31;25,6;32,1;27,5;23,4;77;
2013-04-30;174,4;31,1;26,8;23,3;80,5;
2013-05-31;266,3;29,3;25,6;22,5;83,5;
2013-06-30;252,3;28,8;25,2;22,2;85,1;
2013-07-31;388,8;27,5;24,3;21,7;88,1;
