Nome: PORTO DE PEDRAS
Codigo Estacao: 82996
Latitude: -9.162012
Longitude: -35.299881
Altitude: 42.21
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;177;29,4;26,8;24;83;
2010-02-28;67,4;30,2;27,6;25;81,8;
2010-03-31;209,7;30,7;27,7;24,1;81,5;
2010-04-30;208,4;30,1;27,5;24,5;83,7;
2010-05-31;96,4;29,5;26,9;23,7;83,7;
2010-06-30;460,3;28,2;25,7;23;85,7;
2010-07-31;142,7;27,7;25;22,3;82,8;
2010-08-31;115;27,2;24,5;21,8;79,9;
2010-09-30;91,7;27,6;25,1;22,8;79,2;
2010-10-31;17,4;29,2;26,3;23,4;81,7;
2010-11-30;7,4;29,7;26,9;24;76,5;
2010-12-31;22,7;30;27,1;24,6;79,2;
2011-01-31;100,6;30;27;24,1;82,2;
2011-02-28;150,2;29,9;27,2;24,3;80,1;
2011-03-31;67,4;30,4;27,5;23,9;80,4;
2011-04-30;513,5;29,5;26,7;23,7;84,8;
2011-05-31;418;28,1;25,7;23,3;87,5;
2011-06-30;138,2;27,7;25,2;22,7;85,8;
2011-07-31;357,3;26,9;24,3;21,8;87,7;
2011-08-31;178,9;27,5;24,9;22;81,7;
2011-09-30;32,1;28,1;25,1;22,5;80,1;
2011-10-31;54,9;28,8;26;23,6;81,8;
2011-11-30;97,6;29,1;26,4;23,8;82,9;
2011-12-31;null;null;null;null;null;
2012-01-31;86,3;29,7;26,6;23,9;82,1;
2012-02-29;105,2;29,7;26,8;24,4;80,8;
2012-03-31;148,4;29,6;26,8;24,2;81,9;
2012-04-30;39,9;29,9;26,9;23,7;82,2;
2012-05-31;119,6;29,5;26,4;23,1;81,4;
2012-06-30;228;27,9;25,1;22,3;85,9;
2012-07-31;214,3;27,2;24,5;21,6;83,9;
2012-08-31;95,1;27,1;24,3;21,5;80,8;
2012-09-30;15,1;28,2;25,1;22,4;78,9;
2012-10-31;33;29;25,8;23,1;79,2;
2012-11-30;4,2;29,7;26,5;23,5;81,5;
2012-12-31;null;null;null;null;null;
2013-01-31;null;null;null;null;null;
2013-02-28;null;null;null;null;null;
2013-03-31;null;31,4;28,1;25,1;80;
2013-04-30;148,5;30,5;27,4;24,1;84,8;
2013-05-31;167,6;29,3;26,5;23,7;85,9;
2013-06-30;264,8;28,3;25,6;22,6;88,5;
2013-07-31;344,1;27,6;25,1;22,1;85,6;
2013-08-31;150,9;27,4;25;22,2;86,3;
2013-09-30;65,5;28,2;25,5;23,2;81,9;
2013-10-31;137,5;29,2;26,1;23,6;83,9;
2013-11-30;61,1;29;26,3;24,2;79,7;
2013-12-31;null;null;null;null;null;
2014-01-31;28,9;30,3;27;24;79,8;
2014-02-28;94,6;29,8;26,7;23,5;83,3;
2014-03-31;115,7;30,1;27;23,6;83,3;
2014-04-30;307,7;29,9;27;23,6;87;
2014-05-31;372,5;28,6;25,8;22,9;89,2;
2014-06-30;114,7;28,2;25,6;22,6;83,5;
2014-07-31;169,4;27,4;24,8;22;89,9;
2014-08-31;157,9;27,4;24,6;21,5;84,5;
2014-09-30;97,8;27,8;25,2;22,4;87,6;
2014-10-31;139,5;28,5;25,7;23,2;87,2;
2014-11-30;61,1;29,2;26,1;23;84,5;
2014-12-31;null;null;null;null;null;
2015-01-31;null;null;null;null;null;
2015-02-28;71,7;30,5;27,1;23,9;81,3;
2015-03-31;150,6;30,3;27,2;24;80,8;
2015-04-30;26,9;30,8;27,5;23,5;79,8;
2015-05-31;161,2;29,8;26,8;23,3;82,3;
2015-06-30;287,1;28,4;25,8;23;86,2;
2015-07-31;341,4;27,4;25,1;22,3;86,9;
2015-08-31;47,6;27,8;25;22,1;81;
2015-09-30;42,2;28,6;25,6;22,7;80,2;
2015-10-31;38,8;29,3;26,1;23,3;77,3;
2015-11-30;12,2;29,9;26,6;23,3;79,5;
2015-12-31;62;30,1;26,9;23,9;80,9;
2016-01-31;215,7;29,9;27,1;24,1;85,5;
2016-02-29;48,8;30,3;27,4;24,1;79,7;
2016-03-31;264,6;30,5;27,5;24,3;82,9;
2016-04-30;101,6;30;27,2;24,2;82,4;
2016-05-31;221,9;28,8;26,3;23,3;87,5;
2016-06-30;171;28,4;25,6;22,5;87,9;
2016-07-31;54,5;27,9;25,2;22;82,8;
2016-08-31;29,9;28,5;25,3;22,3;81,2;
2016-09-30;15,1;29,1;25,8;22,8;81,8;
2016-10-31;28,2;30;26,6;23,7;81;
2016-11-30;null;null;null;null;null;
2016-12-31;15,1;30,6;27,2;24;79,3;
2017-01-31;35,2;30,7;27,4;24,6;77,5;
2017-02-28;9;31;27,7;24,6;77,4;
2017-03-31;22,6;31,1;27,8;24,6;79,6;
2017-04-30;140,7;30,6;27,4;24,3;83,2;
2017-05-31;585,5;28,9;26,1;23,5;86;
2017-06-30;366,3;27,9;25,4;23,2;89,1;
2017-07-31;272,6;26,7;24,4;22;84,9;
2017-08-31;151,3;27,2;24,5;21,5;84,2;
2017-09-30;92,7;27,5;24,9;22,4;80,8;
2017-10-31;20;28,9;26;23,9;81,1;
2017-11-30;22,5;29,8;26,6;23,5;79,8;
2017-12-31;null;null;null;null;null;
2018-01-31;111,1;29,9;26,9;24;83,6;
2018-02-28;125,2;30,3;27,3;24,3;82,7;
2018-03-31;227,5;29,8;26,9;23,7;85,4;
2018-04-30;321,4;28,7;26;23,4;89,8;
2018-05-31;154,8;28,7;26,1;23,2;85,7;
2018-06-30;108;28,2;25,5;22,5;82,9;
2018-07-31;178,8;27,7;24,8;22;79,6;
2018-08-31;76,9;28;25,1;22,4;80,2;
2018-09-30;35,6;28,6;25,6;23;79,7;
2018-10-31;9,7;29,6;26,5;24;79,9;
2018-11-30;null;null;null;null;null;
2018-12-31;28,5;30,6;27,2;23,9;78,8;
2019-01-31;91,4;30,5;27,2;24,1;80,4;
2019-02-28;76,3;30,7;27,6;24,5;83,4;
2019-03-31;117,5;31,4;27,8;24,6;83,8;
2019-04-30;135,5;30,5;27,4;24,1;84,4;
2019-05-31;118,1;29,9;26,9;23,3;82,7;
2019-06-30;303,2;28,6;25,9;22,6;82,3;
2019-07-31;178,3;27,9;25;22,3;85,2;
2019-08-31;155,6;27,6;24,8;22;81,4;
2019-09-30;null;null;null;null;null;
2019-10-31;23,5;29,7;26,5;23,6;77,7;
2019-11-30;5,8;30,6;27,2;24,3;76,7;
2019-12-31;22,6;31,2;27,5;24,3;77,4;
2020-01-31;8,1;31,4;27,9;24,6;78,9;
2020-02-29;172,3;31,5;28;24,7;81,6;
2020-03-31;145,2;31,3;27,8;24,4;83,9;
2020-04-30;95,4;30,6;27,4;24,1;85,9;
2020-05-31;218,4;29,7;26,9;24,1;87,6;
2020-06-30;357,6;28,5;25,9;23,1;85,1;
2020-07-31;69,5;27,9;25,1;22,1;81,1;
2020-08-31;72,7;28;24,8;21,5;79,8;
2020-09-30;58,9;28,7;25,5;22,4;78,8;
2020-10-31;8,1;30,2;26,7;23,7;78,8;
2020-11-30;21,2;30,8;27,3;24,3;78,5;
2020-12-31;9;30,9;27,5;24,8;77,3;
2021-01-31;160,2;30,4;26,9;23,8;80,6;
2021-02-28;29,5;30,6;27,2;23,7;80,4;
2021-03-31;115,4;30,8;27,2;23,8;83;
2021-04-30;322,6;30,1;26,9;23,7;82,7;
2021-05-31;327,1;29,1;26;23,2;87,7;
2021-06-30;354,3;28;24,7;21,9;89;
2021-07-31;176,7;28,1;25;22;83,8;
2021-08-31;270,8;27,8;24,7;22,2;83,9;
2021-09-30;48,8;29,1;25,9;23,2;83,2;
2021-10-31;44,7;30;26,7;23,7;82,3;
2021-11-30;10,2;31;27,6;24,6;81,8;
2021-12-31;101,6;30,9;27,6;24,5;82,4;
2022-01-31;71,8;30,8;27,3;23,7;82,6;
2022-02-28;null;31,6;27,8;23,9;80,8;
2022-03-31;369,6;30,6;27,1;23,8;87,3;
2022-04-30;158,4;30,6;27,1;23,5;87;
2022-05-31;null;null;null;null;null;
2022-06-30;524,9;28,4;25,1;22,1;89;
2022-07-31;300,9;28;24,7;21,9;87,1;
2022-08-31;210,3;28,2;24,8;22;82,7;
2022-09-30;67,3;28,5;25,3;22,3;81,6;
2022-10-31;19;30,1;26,4;23,4;81,6;
2022-11-30;86,4;29,9;26,4;23,1;85,1;
2022-12-31;123,8;30,4;26,8;23,3;83;
2023-01-31;43,5;30,8;27,3;23,8;80,8;
2023-02-28;null;31,2;27,4;23,9;81,6;
2023-03-31;151,6;31,3;27,6;24,3;82,3;
2023-04-30;null;30,5;27,2;23,9;86,7;
2023-05-31;336;29,6;26,5;23,8;87,5;
2023-06-30;283,6;28,3;25,4;23;90,5;
2023-07-31;null;null;null;null;null;
2023-08-31;132,6;28,4;25,3;22,5;83,9;
2023-09-30;93,9;28,6;25,5;23;84,3;
2023-10-31;64,4;29,9;26,3;23,1;80,7;
2023-11-30;0;31;27,4;24,3;79,5;
2023-12-31;56;31,1;27,4;24,6;82,7;
2024-01-31;8,6;31,9;28;24,2;82,1;
2024-02-29;103,6;31,8;28,1;24,8;86,1;
2024-03-31;116,3;31,9;28,5;25;85,8;
2024-04-30;284,3;31,1;27,6;24,7;90,1;
2024-05-31;396,7;29,8;26,6;24;89,4;
2024-06-30;242,5;29;25,7;22,9;88,4;
2024-07-31;133,6;28,4;25,3;22,9;83,1;
2024-08-31;48,5;28,7;25,2;22;80,3;
2024-09-30;28,8;29,4;25,5;22,8;79,2;
2024-10-31;10,2;30,2;25,9;22,8;82;
2024-11-30;3,6;30,6;26,3;24;83,4;
2024-12-31;17;31,5;27,1;24,7;83,5;

