Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 347.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;174,9;31,8;null;21;null;
2010-02-28;151,5;32,3;null;21,7;null;
2010-03-31;478;29,8;null;20,6;null;
2010-04-30;574,9;27;null;18,6;null;
2010-05-31;112,3;25,1;null;16,8;null;
2010-06-30;114,8;23,4;null;14,2;null;
2010-07-31;389,8;24,7;null;15,9;null;
2010-08-31;null;null;null;null;null;
2010-09-30;95,4;24,8;null;16,8;null;
2010-10-31;223,4;24,5;null;16,7;null;
2010-11-30;174,7;25,7;null;18,2;null;
2010-12-31;206,8;28,6;null;21;null;
2011-01-31;140;30,7;null;21,1;null;
2011-02-28;38,4;32;null;21,4;null;
2011-03-31;178,8;26,4;null;20;null;
2011-04-30;331,8;27,5;null;19,2;null;
2011-05-31;225,9;23,5;null;15,8;null;
2011-06-30;92,9;22,6;null;14,2;null;
2011-07-31;144,1;23,5;null;14,6;null;
2011-08-31;107,6;24,7;null;15,9;null;
2011-09-30;null;null;null;null;null;
2011-10-31;164,4;25,7;null;17,7;null;
2011-11-30;160,6;24,7;null;17;null;
2011-12-31;234,1;27,7;null;19,5;null;
2012-01-31;197,4;28,1;null;19,8;null;
2012-02-29;22,2;31,2;null;20,9;null;
2012-03-31;244,9;29,1;null;20;null;
2012-04-30;124;26,6;null;19,3;null;
2012-05-31;277,9;24,2;null;16,3;null;
2012-06-30;281,6;24,4;null;17,3;null;
2012-07-31;112,2;24,1;null;16,2;null;
2012-08-31;26,2;24,1;null;15,7;null;
2012-09-30;202,7;25,2;null;16,6;null;
2012-10-31;113,1;28,3;null;18,6;null;
2012-11-30;182,4;25,3;null;18,6;null;
2012-12-31;43,7;31,9;null;21,9;null;
2013-01-31;582,1;27,9;null;20,2;null;
2013-02-28;96,2;30,7;null;21,9;null;
2013-03-31;448,6;27,7;null;20,6;null;
2013-04-30;140,6;25,8;null;18,2;null;
2013-05-31;315,2;24,3;null;16,7;null;
2013-06-30;91;24,2;null;16,9;null;
2013-07-31;353,5;22,6;null;14,9;null;
2013-08-31;105,9;24,1;null;15,6;null;
2013-09-30;205,9;25;null;16,7;null;
2013-10-31;155,4;25,1;null;17,8;null;
2013-11-30;251,3;26,5;null;18,7;null;
2013-12-31;332,8;27,9;null;20,2;null;
2014-01-31;85,5;32,4;null;21,6;null;
2014-02-28;91,5;32;null;21,9;null;
2014-03-31;96,7;29,3;null;20,8;null;
2014-04-30;289,4;26,7;null;18,5;null;
2014-05-31;134,2;25,2;null;16,8;null;
2014-06-30;154,2;24,8;null;16,8;null;
2014-07-31;229,4;22,9;null;15,6;null;
2014-08-31;160,2;24,3;null;15,3;null;
2014-09-30;62,2;26,5;null;17;null;
2014-10-31;55,5;27,7;null;17,4;null;
2014-11-30;106,3;27,2;null;19;null;
2014-12-31;115,9;30,7;null;20,7;null;
2015-01-31;119,4;33;null;21,9;null;
2015-02-28;155,9;30,6;null;21,4;null;
2015-03-31;217,1;28,3;null;20,4;null;
2015-04-30;124,4;26,3;null;18,8;null;
2015-05-31;92,8;24,5;null;17;null;
2015-06-30;260,3;23,9;null;16,5;null;
2015-07-31;72,5;24,9;null;16,9;null;
2015-08-31;26;26,1;null;16,5;null;
2015-09-30;190,7;26,7;null;18,5;null;
2015-10-31;107,2;27,4;null;19,1;null;
2015-11-30;199,7;27,3;null;20,3;null;
2015-12-31;125,9;30,8;null;21,7;null;
2016-01-31;392,7;27,6;null;20,8;null;
2016-02-29;null;null;null;null;null;
2016-03-31;421,1;29,3;null;21,7;null;
2016-04-30;49,8;30,1;null;20,7;null;
2016-05-31;132,8;23,9;null;17,1;null;
2016-06-30;222,1;21,3;null;14,8;null;
2016-07-31;28,2;23,9;null;15,7;null;
2016-08-31;128,8;24,8;null;16,2;null;
2016-09-30;167;24,2;null;17,4;null;
2016-10-31;null;null;null;null;null;
2016-11-30;331,3;26,8;null;19,1;null;
2016-12-31;160;30;null;20,4;null;
2017-01-31;110,6;31,8;null;22,4;null;
2017-02-28;22,8;31,4;null;21,6;null;
2017-03-31;256,7;28,8;null;20,6;null;
2017-04-30;340,6;26;null;18,9;null;
2017-05-31;46,8;24,6;null;16,9;null;
2017-06-30;371,8;25;null;16,6;null;
2017-07-31;96,3;23,2;null;14,6;null;
2017-08-31;140,6;23,1;null;14,8;null;
2017-09-30;23,2;27;null;16,9;null;
2017-10-31;null;null;null;null;null;
2017-11-30;180,8;26,9;null;18,9;null;
2017-12-31;117;27,6;null;20;null;
2018-01-31;328,6;30,1;null;21,5;null;
2018-02-28;265,4;28,5;null;20,7;null;
2018-03-31;180,8;29,7;null;21,4;null;
2018-04-30;138,8;27,7;null;18,8;null;
2018-05-31;76,4;25,7;null;16,8;null;
2018-06-30;187,2;24,6;null;16,6;null;
2018-07-31;66,4;25,6;null;16,2;null;
2018-08-31;309,4;22,9;null;15,5;null;
2018-09-30;78,8;25,7;null;17,4;null;
2018-10-31;262,7;25,6;null;18,6;null;
2018-11-30;379,4;26,8;null;19,5;null;
2018-12-31;124,6;30,1;null;20,4;null;
2019-01-31;67,4;33,6;null;22,9;null;
2019-02-28;419,6;30,8;null;21,6;null;
2019-03-31;477,6;29,4;null;21;null;
2019-04-30;350,3;29,1;null;20,1;null;
2019-05-31;186,6;26,9;null;18,6;null;
2019-06-30;88,5;26,1;null;17,3;null;
2019-07-31;117,8;24,6;null;14,9;null;
2019-08-31;302,6;23,9;null;15;null;
2019-09-30;353,4;25;null;17,5;null;
2019-10-31;99,4;27,6;null;18,9;null;
2019-11-30;300,4;26,6;null;19,2;null;
2019-12-31;134,4;28,7;null;20,3;null;
2020-01-31;219,4;29,9;null;20,9;null;
2020-02-29;484,4;28,7;null;20,7;null;
2020-03-31;343,6;27,8;null;19;null;
2020-04-30;67;26,6;null;17,7;null;
2020-05-31;203;24,6;null;14,8;null;
2020-06-30;84,1;26,3;null;16,4;null;
2020-07-31;167,4;25,2;null;16;null;
2020-08-31;315;25,3;null;15,2;null;
2020-09-30;389,5;27,8;null;18,7;null;
2020-10-31;280,4;26,9;null;18,8;null;
2020-11-30;297,3;26,3;null;18,4;null;
2020-12-31;346,9;29;null;20,8;null;
2021-01-31;130,6;31,9;null;21,4;null;
