Nome: MUNIZ FREIRE
Codigo Estacao: 83013
Latitude: -20.46583333
Longitude: -41.41194444
Altitude: 530
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-04-27
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;89,6;33,6;null;19,4;null;
2010-02-28;91,2;33,3;null;19,3;null;
2010-03-31;226,4;31,2;null;18,9;null;
2010-04-30;124,7;28,3;null;16,3;null;
2010-05-31;64,1;27;null;14,5;null;
2010-06-30;3,3;25;null;11,3;null;
2010-07-31;34,6;25,7;null;13,7;null;
2010-08-31;10;26,7;null;12,6;null;
2010-09-30;10,7;28,1;null;15,4;null;
2010-10-31;118,7;27,4;null;17,8;null;
2010-11-30;263;27,6;null;19;null;
2010-12-31;342,2;31,4;null;20;null;
2011-01-31;97,2;32,1;null;19,6;null;
2011-02-28;108,3;33,2;null;19,3;null;
2011-03-31;364,9;28,5;null;19,3;null;
2011-04-30;145,4;28,7;null;18,2;null;
2011-05-31;16,7;26,2;null;14;null;
2011-06-30;26,3;25,1;null;13;null;
2011-07-31;15,9;25,8;null;12,1;null;
2011-08-31;1;28,2;null;14,2;null;
2011-09-30;11,3;27,3;null;13,3;null;
2011-10-31;96,9;26,8;null;17,1;null;
2011-11-30;259,1;26,7;null;16,5;null;
2011-12-31;322,7;27,7;null;18,3;null;
2012-01-31;129,5;29,5;null;18,5;null;
2012-02-29;26,4;32,2;null;18,5;null;
2012-03-31;99,3;30,8;null;18,6;null;
2012-04-30;102,3;29,3;null;17,6;null;
2012-05-31;97;24,8;null;15;null;
2012-06-30;34,9;26,1;null;15;null;
2012-07-31;5;26,2;null;13,2;null;
2012-08-31;64,6;24,8;null;13,5;null;
2012-09-30;43,7;28,4;null;14,6;null;
2012-10-31;92,1;29,7;null;17;null;
2012-11-30;290,2;26,6;null;17,5;null;
2012-12-31;22,7;32,7;null;20,7;null;
2013-01-31;300,4;29,5;null;19,7;null;
2013-02-28;115,4;31,2;null;19,7;null;
2013-03-31;325;28,3;null;19,8;null;
2013-04-30;92,8;26,5;null;17;null;
2013-05-31;69,1;25,7;null;15;null;
2013-06-30;43,5;25,3;null;15,2;null;
