Nome: MARIA DA FE
Codigo Estacao: 83015
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.36
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;258,8;27,7;20,9;16,3;81,6;
2010-02-28;73,5;28,3;20,7;15,4;79,3;
2010-03-31;259,1;26,9;19,6;14,3;81,7;
2010-04-30;93,3;24,9;16,9;11,2;80,4;
2010-05-31;23,6;22,8;14,1;7,9;80,4;
2010-06-30;19,4;22,1;11,6;4,8;79,7;
2010-07-31;48,5;23,2;13,6;7,1;77,9;
2010-08-31;0;24,7;13,2;5,3;68,2;
2010-09-30;97,3;26;16,9;10,1;70,4;
2010-10-31;136,5;25,4;17,3;11,3;77,3;
2010-11-30;216,1;25,5;18,4;13,2;79,6;
2010-12-31;302,1;27,9;20,6;15,5;80;
2011-01-31;454,9;26,6;20,4;16,2;83,8;
2011-02-28;249,7;28,4;20,5;15;79,4;
2011-03-31;270,8;25,4;19,4;15,2;83,2;
2011-04-30;79,5;25;17,5;12;83,6;
2011-05-31;13,7;22,2;13,7;7,2;82,7;
2011-06-30;46,1;21;11,1;4,1;82,1;
2011-07-31;0;23;13,1;6,4;78,6;
2011-08-31;24,2;24,7;15,2;8,2;72,8;
2011-09-30;10,7;26,3;16,2;8,4;64;
2011-10-31;140,8;25,3;17,7;12,1;74,7;
2011-11-30;288,7;25,1;17,5;11,6;77,4;
2011-12-31;242,9;26,3;19,2;14,1;81,7;
2012-01-31;287,1;25,5;18,8;14,3;83,2;
2012-02-29;74,1;27,7;20;14;79;
2012-03-31;141,7;26,5;18,9;12,8;80;
2012-04-30;108,8;25,3;17,9;12,7;82,2;
2012-05-31;78,5;21,4;13,5;7,6;83;
2012-06-30;94,6;21,4;14,2;9,3;86,6;
2012-07-31;41,8;22,2;12,1;5,4;80,9;
2012-08-31;1,3;23,1;13,2;5,9;74,5;
2012-09-30;43,6;26;16,1;8,6;70,2;
2012-10-31;61,1;28,3;19,5;12,8;70;
2012-11-30;108,8;26,1;18,9;13;77,5;
2012-12-31;251;28,2;21,1;16;80,3;
2013-01-31;397,8;25,9;19,6;14,9;83,4;
2013-02-28;286,7;27,5;20,4;15,2;82,6;
2013-03-31;274,2;25,7;19,3;14,8;84;
2013-04-30;93,2;24;16,4;10,6;82,2;
2013-05-31;61,7;22,6;14,3;8,3;82,6;
2013-06-30;38,1;22,1;14,3;9;86,5;
2013-07-31;75,9;21,7;12,7;6,5;82,2;
2013-08-31;27,4;23,8;13,3;6;75,1;
2013-09-30;73,5;24,9;16,2;9,3;73,5;
2013-10-31;145,1;24,9;17,2;11,7;78,2;
2013-11-30;204,4;25,6;18,8;13,6;79,3;
2013-12-31;210,4;26,7;20,1;14,6;78,9;
2014-01-31;119,5;29,7;20,9;13,9;74,8;
2014-02-28;49,4;29,6;20,8;13,9;70,2;
2014-03-31;92,9;27,6;19,9;13,8;76,4;
2014-04-30;82,5;25,6;17,6;11,3;79,7;
2014-05-31;17,6;23,2;14,1;7,7;81,5;
2014-06-30;22;22,7;13,3;7,2;84,4;
2014-07-31;52,3;21,3;12,6;6,3;81,6;
2014-08-31;9,2;24,9;14;6,3;69,9;
2014-09-30;62,6;26,7;16,7;9,5;69,8;
2014-10-31;74,5;28;18,4;10,9;66,4;
2014-11-30;250,3;26,7;19,4;14,1;77,7;
2014-12-31;190,8;27,9;20,3;14,4;78;
2015-01-31;170;30;21,4;14,5;75,7;
2015-02-28;145,8;27,2;20,1;14,9;82;
2015-03-31;187,2;25,5;19;14,2;84,2;
2015-04-30;27,2;25;17,7;12,1;79,8;
2015-05-31;64,6;21,8;14,6;9,2;84,8;
2015-06-30;30,6;22;13,5;7,5;83;
2015-07-31;26,3;22,1;14,2;8,6;82,2;
2015-08-31;26,9;25,3;14,4;6,9;73,7;
2015-09-30;177;26;17,8;11,6;76,9;
2015-10-31;50,3;29,4;20,1;13,2;70,8;
2015-11-30;204,4;27,4;20,8;15,8;80,4;
2015-12-31;195,4;27,4;20,9;16,5;81,3;
2016-01-31;462,3;27;20,5;15,8;81,7;
2016-02-29;262,3;28,1;21;15,4;82,1;
2016-03-31;243,6;26,9;20,1;14,6;82,9;
2016-04-30;13,1;27,5;18,6;11,9;77,6;
2016-05-31;54,1;23,2;14,9;8,7;82,8;
2016-06-30;155,3;21,4;11,9;6;83,4;
2016-07-31;,3;24,3;13,1;5,4;75,1;
2016-08-31;50;24,7;14,8;7,4;71,3;

