Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;436,9;32,8;26,7;22,3;79;
2010-02-28;206,1;33,9;27,5;23,5;75,8;
2010-03-31;462,5;33,2;27,1;23,3;81,1;
2010-04-30;82,8;34,9;28,1;23,3;70,1;
2010-05-31;25,6;35,5;28,3;23;66,6;
2010-06-30;,2;35,8;27,6;21,2;53,1;
2010-07-31;0;35,9;28;22,5;46,3;
2010-08-31;0;37,2;28,8;22,1;36,5;
2010-09-30;18;38,5;30,9;25,4;36,3;
2010-10-31;222,1;35,6;28,3;23,4;68,1;
2010-11-30;189,4;32,9;27;22,7;75,8;
2010-12-31;162;31,9;26,6;23;78,3;
2011-01-31;354,2;31,1;25,5;21,9;83,2;
2011-02-28;327,3;30,6;25,2;21,8;84,8;
2011-03-31;352,4;31,4;25,9;22,5;83,8;
2011-04-30;218,8;32,5;26,5;22,5;78,8;
2011-05-31;9,8;34;27,1;22,1;67;
2011-06-30;0;35;27;20,5;55,8;
2011-07-31;2,2;35,2;27;20,7;49,4;
2011-08-31;0;37,7;29,3;22,4;41;
2011-09-30;0;38,6;30,4;24,2;34,4;
2011-10-31;228,1;34,4;27,5;22,7;69,3;
2011-11-30;210,5;31,5;25,9;22,4;79,9;
2011-12-31;302,4;32,5;26,4;22,4;78,2;
2012-01-31;378,8;30,4;24,9;21,4;84,8;
2012-02-29;247,8;31,5;25,4;21,5;79,2;
2012-03-31;121;32;26,1;22,4;82,7;
2012-04-30;92,8;33,6;27,1;22,6;76,3;
2012-05-31;63,3;34;26,9;21,7;69;
2012-06-30;8,8;34,9;27,2;21,1;61,4;
2012-07-31;0;35,9;27,1;19,9;47,5;
2012-08-31;0;36,4;28,2;22,1;38,6;
2012-09-30;0;38,1;30,2;23,9;39,1;
2012-10-31;31,3;37;29,5;24;56;
2012-11-30;326,2;32,6;27;23,1;76;
