Nome: ITARANA
Codigo Estacao: 83034
Latitude: -19.87423
Longitude: -40.872959
Altitude: 232.75
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;22,8;35,5;null;22,4;null;
2010-02-28;12,5;35,2;null;22,4;null;
2010-03-31;87,5;34,4;null;22,8;null;
2010-04-30;119,9;31,8;null;20;null;
2010-05-31;118;29,2;null;18,3;null;
2010-06-30;0;27,8;null;14,8;null;
2010-07-31;19,6;27,9;null;17;null;
2010-08-31;2,5;28,9;null;15,5;null;
2010-09-30;4,6;30,4;null;18,3;null;
2010-10-31;65,6;29,6;null;20,3;null;
2010-11-30;275,5;29,6;null;21,1;null;
2010-12-31;374;32,3;null;22,2;null;
2011-01-31;75,4;33;null;21,8;null;
2011-02-28;5,1;34,4;null;22,1;null;
2011-03-31;329,8;31,3;null;21,8;null;
2011-04-30;129,6;30,4;null;20,5;null;
2011-05-31;6,8;29,1;null;16,8;null;
2011-06-30;31,1;27,8;null;16,5;null;
2011-07-31;,5;27,8;null;16;null;
2011-08-31;1,6;30,2;null;17,4;null;
2011-09-30;8;29,4;null;17,1;null;
2011-10-31;148,4;28,4;null;19,9;null;
2011-11-30;209,1;28,1;null;19,3;null;
2011-12-31;228,9;29,4;null;21,4;null;
2012-01-31;239,7;31;null;21,8;null;
2012-02-29;14,9;32,8;null;20,7;null;
2012-03-31;27,3;33,2;null;21,1;null;
2012-04-30;25,8;32,2;null;20,4;null;
2012-05-31;15,5;29,2;null;18,1;null;
2012-06-30;2,7;30;null;18,8;null;
2012-07-31;4,8;29,4;null;16,7;null;
2012-08-31;45,9;28,5;null;16,6;null;
2012-09-30;28,7;30,3;null;18,6;null;
2012-10-31;19,6;32;null;19,9;null;
2012-11-30;321,7;29,8;null;21,1;null;
2012-12-31;64,2;34,3;null;22,9;null;
2013-01-31;234,7;32,7;null;22,5;null;
2013-02-28;49;33,4;null;22;null;
2013-03-31;121,3;32,6;null;22,2;null;
2013-04-30;16;29,6;null;19,7;null;
2013-05-31;55,6;29,1;null;17,9;null;
2013-06-30;20,1;28,8;null;17,8;null;
2013-07-31;0;29;null;17,8;null;
2013-08-31;17;29,6;null;16,8;null;
2013-09-30;26;30,1;null;18,8;null;
2013-10-31;105;29,1;null;19,7;null;
2013-11-30;141,7;30,4;null;20,7;null;

