Nome: RIO BONITO
Codigo Estacao: 83048
Latitude: -22.7125
Longitude: -42.64666666
Altitude: 62
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2019-05-05
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;170;35,4;null;23,2;69,6;
2010-02-28;111,5;35,8;null;23,3;68,5;
2010-03-31;266,7;32,4;null;22,2;77,8;
2010-04-30;251,4;29,7;null;20,3;null;
2010-05-31;33,8;28,1;null;18,2;83,2;
2010-06-30;49,3;26,3;null;14,5;84,7;
2010-07-31;null;null;null;null;null;
2010-08-31;17,3;27,5;null;15,4;73,9;
2010-09-30;33,9;28,9;null;18,1;74,2;
2010-10-31;110,9;28,6;null;18,7;71,8;
2010-11-30;142,4;29,4;null;20,5;73,6;
2010-12-31;331,8;32,5;null;23,1;77;
2011-01-31;118,4;34;null;23,1;74,5;
2011-02-28;31,2;36,4;null;23;64,4;
2011-03-31;null;null;null;null;null;
2011-04-30;150,6;31;null;20,7;77,8;
2011-05-31;56,6;26,8;null;16,9;82,5;
2011-06-30;42,2;26,3;null;15,4;null;
2011-07-31;44,5;26,9;null;15,2;84,3;
2011-08-31;27,9;28,9;null;17;75,5;
2011-09-30;26,8;27,6;null;16,7;68,9;
2011-10-31;118,7;29,5;null;19,3;74,4;
2011-11-30;135,8;28,5;null;18,8;72,6;
2011-12-31;173;30,6;null;21,4;76,8;
2012-01-31;217;31,3;null;21,4;null;
2012-02-29;36,5;35;null;21,8;68,3;
2012-03-31;164,4;33,6;null;21,5;72,3;
2012-04-30;null;null;null;null;null;
2012-05-31;127,4;27,5;null;17,1;83,3;
2012-06-30;89,5;27,9;null;18,3;null;
2012-07-31;55,6;27,7;null;15,7;84;
2012-08-31;30,4;28,1;null;16,7;null;
2012-09-30;112,7;29,5;null;17,6;null;
2012-10-31;66,9;32,2;null;20,3;65,3;
2012-11-30;148,3;29,1;null;21;75,4;
2012-12-31;191,4;35,6;null;23,2;68,7;
2013-01-31;269,7;31,2;null;22,4;78,9;
2013-02-28;90;34,2;null;22,9;74,1;
2013-03-31;312,3;31,3;null;22,6;81,5;
2013-04-30;92,2;29,3;null;19,8;77,7;
2013-05-31;74,7;27,9;null;17,5;78,8;
2013-06-30;null;null;null;null;null;
2013-07-31;92,8;26;null;15,5;84,6;
2013-08-31;28,2;28,1;null;15,8;74,8;
2013-09-30;115,2;29,3;null;18,4;null;
2013-10-31;73,4;29,1;null;19,5;70,9;
2013-11-30;260,7;30,3;null;20,5;null;
2013-12-31;182,7;31,1;null;22,3;75,1;
2014-01-31;24,7;36,5;null;22,8;68,5;
2014-02-28;82,9;36,8;null;22,8;61,4;
2014-03-31;108,7;32,9;null;22,2;null;
2014-04-30;141,6;30;null;20,3;80;
2014-05-31;null;null;null;null;null;
2014-06-30;70;28,2;null;17,4;null;
2014-07-31;103,8;25,8;null;16,8;84,4;
2014-08-31;32,4;27,5;null;15,5;77,6;
2014-09-30;20,5;30,6;null;18,2;70,8;
2014-10-31;51,6;31,9;null;19,1;64,9;
2014-11-30;82,5;31,8;null;21,2;69,2;
2014-12-31;77,7;35;null;22,5;64,5;
2015-01-31;94,4;38;null;23,3;64,2;
2015-02-28;89,6;34,8;null;23,1;70,3;
2015-03-31;null;null;null;null;null;
2015-04-30;47,7;29,6;null;20,2;77,7;
2015-05-31;64,6;27,6;null;18,3;81,6;
2015-06-30;92,3;27,4;null;17,3;81,4;
2015-07-31;21,4;27,6;null;18;84;
2015-08-31;6;29,9;null;17,8;70,1;
2015-09-30;93,7;29,8;null;19,9;77,9;
2015-10-31;44,5;31,1;null;20,7;74,9;
2015-11-30;253,1;31;null;22,9;79,9;
2015-12-31;114,5;33,8;null;23,2;72,9;
2016-01-31;null;null;null;null;null;
2016-02-29;null;null;null;null;null;
2016-03-31;248,7;33;null;23;78,6;
2016-04-30;7,9;33,7;null;21,4;70,9;
2016-05-31;40,8;28,5;null;18,4;79,1;
2016-06-30;79,9;25;null;15,9;84,4;
2016-07-31;19,6;27,7;null;15,7;83;
2016-08-31;33,8;29,5;null;16,8;71,1;
2016-09-30;60,3;28,9;null;18,9;74,8;
2016-10-31;90,6;29,2;null;20,1;76,3;
2016-11-30;null;null;null;null;null;
2016-12-31;159,8;33;null;21,9;72,9;
2017-01-31;183,4;35,7;null;23,5;69,9;
2017-02-28;54,5;34,7;null;22,8;68,8;
2017-03-31;214,3;32,6;null;21,8;75,6;
2017-04-30;96,4;29,5;null;20,5;80,2;
2017-05-31;54,4;27,8;null;17,9;81,9;
2017-06-30;52,3;27,4;null;16,8;86,2;
2017-07-31;34,1;26,4;null;15,1;81,8;
2017-08-31;null;null;null;null;null;
2017-09-30;5,5;31,4;null;18;64,7;
2017-10-31;86,5;32,1;null;20,6;68,7;
2017-11-30;112,4;30,2;null;20,2;72,2;
2017-12-31;48,5;32,2;null;22,4;73,4;
2018-01-31;308,2;33,4;null;22,7;74,8;
2018-02-28;367,5;31,5;null;22,2;80,1;
2018-03-31;144,2;32,3;null;22,7;77,3;
2018-04-30;166,6;30,5;null;20,5;77,9;
2018-05-31;104,5;28,2;null;18,1;81,9;
2018-06-30;null;null;null;null;null;
2018-07-31;16,1;28,6;null;16,3;84,3;
2018-08-31;75,9;26,1;null;17,3;83,2;
2018-09-30;63,4;29,2;null;19,1;73,4;
2018-10-31;130,4;28,9;null;20,6;76,8;
2018-11-30;253,7;30;null;21,2;76,2;
2018-12-31;86,3;33;null;21,7;70,2;
2019-01-31;54;37,2;null;23,2;64,3;
2019-02-28;null;null;null;null;null;
2019-03-31;201;32,3;null;22,6;81,7;
2019-04-30;184,5;31,9;null;21,5;80;
2019-05-31;null;null;null;null;null;

