Nome: AVELAR (P.DO ALFERES)
Codigo Estacao: 83049
Latitude: -22.34749999
Longitude: -43.41777777
Altitude: 507
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;208,6;31,6;24,5;19,9;78;
2010-02-28;88,5;32;24,3;19,1;74,7;
2010-03-31;223;30,2;23,3;19;81,4;
2010-04-30;74,6;27,5;20,7;16,2;81,8;
2010-05-31;11,6;25,7;18,1;12,7;82,6;
2010-06-30;1,9;24;14,8;8,8;81,9;
2010-07-31;47,7;25,4;17;11,8;81;
2010-08-31;0;26,1;16,5;9,8;74,1;
2010-09-30;29,1;27,4;19,2;13,6;74,8;
2010-10-31;92,4;27,2;20,3;15,4;76,3;
2010-11-30;280,2;27,8;21,9;18;81,7;
2010-12-31;333,1;30,5;24,2;20,2;81,2;
2011-01-31;136,6;30,6;24,2;20;80,5;
2011-02-28;72,4;33;24,6;19;73,8;
2011-03-31;136,3;28,2;22,7;19,1;83,6;
2011-04-30;44,4;28,4;21,4;16,9;82,4;
2011-05-31;24,2;24,8;17,4;12,3;82;
2011-06-30;11,6;23,9;15,6;10;80,7;
2011-07-31;0;25,2;15,8;9,3;79,7;
2011-08-31;1,6;27,8;18,6;12;72,1;
2011-09-30;2,8;27,5;18,5;11,9;66,4;
2011-10-31;146,3;27,3;20,9;16,1;73,6;
2011-11-30;183;26,3;20,3;15,8;76,6;
2011-12-31;349,7;28,4;22,6;18,8;79;
2012-01-31;257,7;28,5;null;18,7;null;
2012-02-29;139,5;31,2;23,2;17,7;75,3;
2012-03-31;113,9;30;22,6;17,8;78,6;
2012-04-30;82,2;28,2;21,4;17,2;82,3;
2012-05-31;67,5;24,8;17,6;12,5;84,2;
2012-06-30;77,1;25,3;18,3;13,9;85,4;
2012-07-31;19,5;25,1;16,4;10,4;82,3;
2012-08-31;12,9;25,6;16,5;10;78,9;
2012-09-30;56,8;27,9;19,2;13;71;
2012-10-31;43,9;30,6;22;15,9;68,9;
2012-11-30;121,3;27,9;21,5;17,3;79,3;
2012-12-31;176,3;32,7;24,8;19,9;76,1;
2013-01-31;235,2;29;23,1;19,5;81,8;
2013-02-28;130,8;31,2;24;19,3;78;
2013-03-31;256;29,1;22,9;19,3;82,4;
2013-04-30;64,6;26,5;20,1;16;81,7;
2013-05-31;38,6;25,4;17,7;12,2;82,4;
2013-06-30;null;null;null;null;null;
2013-07-31;null;null;null;null;null;
2013-08-31;null;24,8;16,7;10,6;76,6;
2013-09-30;107,4;26,3;18,7;13,4;76,9;
2013-10-31;90,7;26,2;20;15,6;77,8;
2013-11-30;170,6;27,7;21,4;17,1;80,8;
2013-12-31;132,9;29,4;23,4;19,6;80,4;
2014-01-31;88,2;32,8;24,3;18,1;73;
2014-02-28;58,2;32,6;23,7;17,7;71,3;
2014-03-31;96,7;29,8;22,4;17,6;80,3;
2014-04-30;139,1;27,7;20,8;16,4;82,4;
2014-05-31;53,5;26,1;17,8;11,8;82,1;
2014-06-30;22,7;25,6;17,5;11,9;83,3;
2014-07-31;32,5;23,9;16,3;11,5;83,5;
2014-08-31;5,6;25,6;16,6;10,4;76,7;
2014-09-30;12,3;28,5;19,9;13,2;69;
2014-10-31;27,2;29,9;21,3;14,9;66,8;
