Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;294,6;33,1;27;23,4;79,8;
2010-02-28;199,2;33,5;27,4;24;79,3;
2010-03-31;428,6;33,3;27,1;23,7;83,2;
2010-04-30;135,2;34,6;28,2;23,9;73,5;
2010-05-31;54,2;35,5;28,8;24;68;
2010-06-30;,7;36;27,5;21,3;57,8;
2010-07-31;0;36,4;27,7;21;51,5;
2010-08-31;0;37,3;28;20,1;42,4;
2010-09-30;0;38,8;30,2;23,3;40,1;
2010-10-31;73,6;35,9;29,2;24,8;64,6;
2010-11-30;88;33;27,4;23,9;77,4;
2010-12-31;199,4;32,1;27;23,8;80;
2011-01-31;354;31,3;25,7;22,5;85;
2011-02-28;320,9;31,2;25,5;22,4;85,3;
2011-03-31;341;31,6;26,2;23,2;83,8;
2011-04-30;202,6;33,1;26,9;23,2;79,6;
2011-05-31;18,8;33,8;27,3;22,6;70,7;
2011-06-30;0;35,2;27,1;21,2;62,1;
2011-07-31;0;35,7;27;20,3;54,5;
2011-08-31;0;38,1;null;null;44,8;
2011-09-30;0;38,5;null;null;38,1;
2011-10-31;124,7;34,4;null;null;71,4;
2011-11-30;192,6;31,5;null;null;79,9;
2011-12-31;234;32,5;null;null;79,9;
2012-01-31;328,2;30,7;null;null;85,7;
2012-02-29;373,9;31,5;null;null;82,1;
2012-03-31;152,8;32,2;null;null;82,1;
2012-04-30;155,4;34;null;null;76,6;
2012-05-31;79,4;null;null;null;72,1;
2012-06-30;16,2;null;null;null;66,6;
2012-07-31;0;null;null;null;55,9;
2012-08-31;0;null;null;null;42,9;
2012-09-30;1;null;null;null;45,1;
2012-10-31;76;null;null;null;58,8;
2012-11-30;241,1;null;null;null;78,8;
2012-12-31;80,4;null;null;null;74,8;
2013-01-31;344,8;null;null;null;81,8;
2013-02-28;264,2;null;null;null;79,6;
2013-03-31;387,3;null;null;null;83,8;
2013-04-30;96,9;null;null;null;79,1;
2013-05-31;52,5;null;null;null;71,6;
2013-06-30;2,6;34,8;27,3;21,1;64,4;
2013-07-31;0;35,8;27,7;21,4;56,5;
2013-08-31;11;37,4;28,6;20,8;47,2;
2013-09-30;8,4;38;30,3;24;49;
2013-10-31;103,4;35,8;28,9;24;62,9;
2013-11-30;181;33,3;27;22,7;76,8;
2013-12-31;514;30,9;25,9;22,6;84,5;
2014-01-31;225,7;31,9;26,1;22,1;81,2;
2014-02-28;306,8;30,8;25,7;22,7;84,6;
2014-03-31;226,4;31,8;26,3;22,8;83,5;
2014-04-30;96;32,4;27,1;23,9;78,1;
2014-05-31;40,1;null;null;23,6;72,1;
2014-06-30;0;null;null;21,7;62,4;
2014-07-31;0;null;null;21,5;54,2;
2014-08-31;3,9;null;null;21,7;46,6;
2014-09-30;71,1;null;null;24,2;55,1;
2014-10-31;48,7;null;null;24;60,8;
2014-11-30;185,5;null;null;24,2;75,1;
2014-12-31;326;null;null;23,5;78,7;
2015-01-31;126,1;null;null;23;75,6;
2015-02-28;205,3;null;null;22,6;79,6;
2015-03-31;271;null;null;23;80,8;
2015-04-30;398,2;null;null;23,4;81,3;
2015-05-31;36,3;null;null;23,2;73,5;
2015-06-30;0;null;null;21,5;60,9;
2015-07-31;,7;null;null;21,3;55,4;
2015-08-31;0;null;null;21;44,9;
2015-09-30;10,9;null;null;23,7;48,3;
2015-10-31;60;null;null;24,6;58,8;
2015-11-30;68;null;null;24;70,2;
2015-12-31;115,4;35,2;28,6;24;67,9;
2016-01-31;456;31,5;26,5;23,4;83,7;
2016-02-29;24,8;36,1;29,4;24,6;64,6;
2016-03-31;189,3;33,6;28;24,4;78,9;
2016-04-30;36,8;35,4;29,1;24,6;69,6;
2016-05-31;14,7;36;28,9;23,3;62,7;
2016-06-30;6;35,9;28,1;22,3;58;
2016-07-31;0;36,5;27,5;20,2;47;
2016-08-31;,4;37,9;29,7;22,4;43;
2016-09-30;93,5;36,9;29,7;24;54,1;
2016-10-31;138,5;35,7;28,6;23,1;64,2;
2016-11-30;178,7;34,9;28,4;23,2;70,9;
2016-12-31;283,5;33,3;27,3;22,6;74,7;
2017-01-31;174,8;33,4;26,8;22,3;79,8;
2017-02-28;164,5;31,6;26;22,2;81,6;
2017-03-31;153,5;32,9;26,9;22,5;79,2;
2017-04-30;87,5;33,6;27,5;22,9;77,2;
2017-05-31;18,2;34,9;28,3;22,3;67,3;
2017-06-30;0;35,5;null;null;57,4;
2017-07-31;0;35;null;null;46,3;
2017-08-31;0;38;null;null;40,3;
2017-09-30;0;38,7;null;null;35,1;
2017-10-31;41;38,2;null;null;49,1;
2017-11-30;191,4;33,8;null;null;73,6;
2017-12-31;258,8;32,6;null;null;79;
2018-01-31;134,4;32,6;null;null;77,8;
2018-02-28;332,6;31,3;null;null;83,2;
2018-03-31;218,3;32,5;null;null;81,8;
2018-04-30;332,1;32,2;null;null;79;
2018-05-31;3,2;34,9;null;null;65,8;
2018-06-30;0;35,7;null;null;58,9;
2018-07-31;0;36,2;null;null;50,5;
2018-08-31;12;37,2;29,3;22,7;47,7;
2018-09-30;3,7;37,3;30;23,8;49,6;
2018-10-31;174,4;35;28,6;24,2;69,3;
2018-11-30;239,9;33,5;27,6;24;76,7;
2018-12-31;333,2;32,7;27,1;23,3;76,1;
2019-01-31;160,3;33,6;27,2;22,9;77,1;
2019-02-28;173,6;32,6;26,7;23,3;81,4;
2019-03-31;290,5;32,1;26,9;23,4;81,4;
2019-04-30;157,1;33,3;27,6;24;79,4;
2019-05-31;34,9;35;28,6;24;71,5;
2019-06-30;0;35,7;27,5;21,2;58,5;
2019-07-31;0;36;27,3;20,3;52,2;
2019-08-31;0;37,4;28,8;21,3;43,1;
2019-09-30;31,5;38,7;null;null;43,1;
2019-10-31;113,6;34,9;28,4;23,8;68,4;
2019-11-30;54,9;34,8;28,4;24;71,3;
2019-12-31;85,1;34,8;28,3;24;71,5;
2020-01-31;335,2;32,6;27;23,3;79,9;
2020-02-29;179,3;32,8;27,3;23,7;79,8;
2020-03-31;174;32,3;27,1;23,7;81,9;
2020-04-30;257,2;33,3;27,5;23,7;77,9;
2020-05-31;201,4;34,1;27,8;23,5;72,3;
2020-06-30;,4;34,8;27,4;21,5;61,1;
2020-07-31;0;35,8;27;20;51,5;
2020-08-31;0;37,3;28,9;21,6;44,4;
2020-09-30;25,6;38,5;30,5;23,5;42,9;
2020-10-31;112,9;36,7;29,9;24,5;59;
2020-11-30;91,9;34,6;28,6;24,5;67,1;
2020-12-31;320,9;33,3;27,7;23,4;74,8;
2021-01-31;201,1;33,1;27,2;23,1;76,7;
2021-02-28;338,1;30,5;25,8;22,9;85,2;
2021-03-31;356;32,9;26,8;22,8;79,1;
2021-04-30;95,6;32,7;27,2;23,6;77,9;
2021-05-31;2,1;34,7;27,4;21,9;67,2;
2021-06-30;0;35,8;27,4;21;58,7;
2021-07-31;0;36,1;27,1;19,8;52,6;
2021-08-31;1,8;37,5;28,6;21;43,6;
2021-09-30;41,9;37,5;30,1;24;53,7;
2021-10-31;82,5;35,6;28,9;24,2;67;
2021-11-30;381,7;32,2;26,6;22,9;82,4;
2021-12-31;578,3;30,7;26,1;23,2;85,2;
2022-01-31;272;32;26,3;22,6;80,3;
2022-02-28;273,2;32,4;26,8;23,1;78,6;
2022-03-31;318;31,3;26;23;83,8;
2022-04-30;173,3;33,9;27,8;23,5;75,7;
2022-05-31;23,1;34,9;27,3;21,4;64;
2022-06-30;8,8;35,6;27,2;20,3;59,6;
2022-07-31;0;35,9;26,9;19,5;51,8;
2022-08-31;0;37,3;28,5;20,8;45,7;
2022-09-30;60,5;37,6;29,9;23,1;50,5;
2022-10-31;61,9;36,3;29,7;24,2;60;
2022-11-30;232,4;31,8;26,8;23,2;76,5;
2022-12-31;447,9;31,1;26,2;23;83,9;
2023-01-31;232;32;26,2;22,4;80,7;
2023-02-28;182,8;33,2;27;23,1;78,8;
2023-03-31;300;32,2;26,3;22,8;84,2;
2023-04-30;93,2;33,7;27,8;23,6;76,2;
2023-05-31;8,1;35,3;28,5;23,3;67,7;
2023-06-30;0;36,1;28;21,6;59,4;
2023-07-31;0;36,8;27,7;20,2;50,8;
2023-08-31;30,1;37,4;29;22,3;53,3;
2023-09-30;13;38,5;30,6;24,1;51,3;
2023-10-31;75,3;37,4;30,6;25,5;61,4;
2023-11-30;124,1;35,8;29,2;24,5;69,3;
2023-12-31;105,5;35,5;29;24,6;70,3;
2024-01-31;452,9;32;26,8;23,6;82,8;
2024-02-29;245,6;32,9;27,4;23,9;78,7;
2024-03-31;182,2;34,2;28,4;24,7;77,9;
2024-04-30;201,4;33,7;28,1;24,5;80,3;
2024-05-31;5;36,1;28,7;23,2;65,4;
2024-06-30;0;36,3;27,5;20,8;58,8;
2024-07-31;0;36,6;27,2;19,6;52,4;
2024-08-31;0;38;29;21,3;43,1;
2024-09-30;1,7;40,2;31;22,9;37,8;
2024-10-31;112;36,5;29,8;25,1;64,2;
2024-11-30;196,1;33,3;27,3;23,8;77,2;
2024-12-31;289,3;33,8;27,5;23,8;77,2;

