Nome: GUARULHOS
Codigo Estacao: 83075
Latitude: -23.470981
Longitude: -46.533559
Altitude: 746.51
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-12-08
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;423,6;29,9;24;20;79,6;
2010-02-28;205;31,4;25,1;20,3;72,5;
2010-03-31;151,4;29,1;23,4;19,2;75,1;
2010-04-30;111,7;26;21;17;76;
2010-05-31;43,3;23,9;18,7;14,8;75,9;
2010-06-30;13,2;22,5;16,6;12,4;76,5;
2010-07-31;107,8;24,2;18,4;14,3;75,8;
2010-08-31;0;24,1;17,6;12,6;70,8;
2010-09-30;127,4;25,9;19,9;15,3;74;
2010-10-31;63,3;24,9;19;15;77,3;
2010-11-30;130,4;27,7;21,5;17;75,4;
2010-12-31;373,5;29;23,4;19,5;80,3;
2011-01-31;491,1;30,6;24,4;20,3;81;
2011-02-28;285,4;31,2;25;20,6;77,9;
2011-03-31;226,9;26,4;22,1;18,8;84,5;
2011-04-30;137,7;27,4;21,9;17,8;80,6;
2011-05-31;25,2;23;17,8;14,1;82,2;
2011-06-30;63,4;21,8;15,9;11,4;83,1;
2011-07-31;4,5;23,4;17,2;12,9;81,3;
2011-08-31;40,8;24,9;18,5;13,8;75,2;
2011-09-30;6,6;25,8;18,5;13,5;67,7;
2011-10-31;149,2;26,6;20,6;16,3;73,5;
2011-11-30;104,4;26,3;20,4;15,9;73,3;
2011-12-31;157,1;28,4;22,7;18,2;71,8;
2012-01-31;285;27,5;21,9;17,8;78,2;
2012-02-29;241,2;31,3;24,9;20,1;72,1;
2012-03-31;151,8;29,1;22,9;18,4;73,5;
2012-04-30;109,8;26,9;21,6;17,9;78;
2012-05-31;66;23;18,3;14,5;77,3;
2012-06-30;208,9;22,4;17,9;14,3;82;
2012-07-31;69,1;23,6;17,5;12,9;72,3;
2012-08-31;,7;25,4;18,9;14,1;66,2;
2012-09-30;19,9;27,3;20,4;15,5;65,1;
2012-10-31;111,2;29,7;22,4;17,5;69,4;
2012-11-30;83,6;26,9;21,2;17,3;74,8;
2012-12-31;423,4;30,8;24,9;20,7;74,8;
2013-01-31;118,4;27,1;22,4;18,9;77,9;
2013-02-28;258,1;30;23,8;19,5;74;
2013-03-31;188,2;27,4;22,4;18,8;77;
2013-04-30;78,2;25,5;20,3;16,4;75,5;
2013-05-31;45,6;23,6;18,7;15;76;
2013-06-30;129,5;22,8;18,3;14,8;80,6;
2013-07-31;94,9;21,8;16,1;12;78,4;
2013-08-31;8,2;24,9;17,8;12,4;67,2;
2013-09-30;60,2;25,6;19,5;14,8;69,2;
2013-10-31;110,2;25,6;20,2;16;72,5;
2013-11-30;95,8;27,6;22;17,7;72,3;
2013-12-31;124,8;29,5;23,5;19,4;71,6;
2014-01-31;137,9;32,9;25,7;20,5;65,3;
2014-02-28;157;32,4;26,1;21,4;62,8;
2014-03-31;195,2;29,4;23,4;19,4;75;
2014-04-30;131,6;26,1;21,2;17,5;74,5;
2014-05-31;39,1;23,4;18,8;14,9;75;
2014-06-30;4,4;23;18,2;14,4;75;
2014-07-31;35,5;21,9;17;13,2;74,1;
2014-08-31;29,9;25,1;18,3;13,2;68,3;
2014-09-30;66,8;27,5;20,7;15,9;68,6;
2014-10-31;24,3;29,1;21,8;16,6;63,9;
2014-11-30;158,8;27,8;21,9;17,9;73,7;
2014-12-31;null;null;null;null;null;

