Nome: STa. R. DE CASSIA (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;51,7;35,1;27,8;22,1;null;
2010-03-31;265,7;33,4;26,3;21,7;60,6;
2010-04-30;123;32,9;25,7;20,2;72,9;
2010-05-31;1;34,9;26,6;19,7;58,9;
2010-06-30;0;33,5;24,7;16,5;49,5;
2010-07-31;,1;32,9;24,6;15,9;46,3;
2010-08-31;0;33,3;24,1;14,6;42,5;
2010-09-30;0;36;27,1;18,9;40,1;
2010-10-31;84,2;36,8;28,3;21,6;50,6;
2010-11-30;192,3;34,2;26,8;21,4;67,4;
2010-12-31;99,6;32,9;26;21,2;74,4;
2011-01-31;153,4;32,5;25,9;21,2;73,7;
2011-02-28;118,2;31,6;25,2;21;77,5;
2011-03-31;247,1;31,9;25,3;20,7;80,2;
2011-04-30;7,6;32;25,5;20,3;71,9;
2011-05-31;3,5;32,3;25,1;18,9;62,5;
2011-06-30;0;33,4;24,3;15,7;53;
2011-07-31;0;33;23,6;14,3;48,8;
2011-08-31;0;35,3;25,7;16,2;41,4;
2011-09-30;0;35,5;25,9;16,6;39,8;
2011-10-31;204,2;35,6;27,6;21,5;55,7;
2011-11-30;223,3;31,4;25,4;20,5;72,5;
2011-12-31;197;32,5;26;20,3;70,6;
2012-01-31;70,8;32,4;25,5;20,4;72,4;
2012-02-29;86,6;33,2;25,7;20,2;69,3;
2012-03-31;4,2;35,2;27,1;21;61;
2012-04-30;71,6;35,9;27,1;20,3;56,2;
2012-05-31;5,2;null;null;19,3;52,8;
2012-06-30;0;null;null;16,6;49,8;
2012-07-31;0;null;null;15;47,7;
2012-08-31;0;null;null;14,7;45,3;
2012-09-30;0;null;null;18,1;38,7;
2012-10-31;21,4;36,7;29,1;21,1;39,3;
2012-11-30;236,7;32,2;25,8;21,3;74,2;
2012-12-31;105,2;34,4;27,3;20,6;54,5;
2013-01-31;194,5;32;25,9;21,4;71,4;
2013-02-28;11,6;34,2;27,2;20,9;60,7;
2013-03-31;128,7;34,4;27;21,1;62,7;
2013-04-30;118,4;32,4;26;20,6;69,3;
2013-05-31;41,6;33,2;25,7;19,3;63;
2013-06-30;0;33,7;25,3;17,8;54,8;
2013-07-31;,2;33,4;24,9;16,3;47,6;
2013-08-31;0;34;25,3;16,4;42,3;
2013-09-30;,3;36,3;28,2;20,1;38,4;
2013-10-31;20,1;36,4;28,5;21,3;45,3;
2013-11-30;258,8;34,1;27,3;21,1;57,2;
2013-12-31;385,4;30,6;24,8;20,4;79,2;
2014-01-31;12,3;33,1;26,4;20,1;62,8;
2014-02-28;48,3;32;25,7;20,1;68,9;
2014-03-31;130,6;31,7;25,5;20,1;75,3;
2014-04-30;75,9;32,3;25,6;19,8;70,8;
2014-05-31;8,6;32,6;25,3;18,5;60,9;
2014-06-30;3,9;32,8;24,5;15,7;48,8;
2014-07-31;0;32,8;24,7;15,7;47,1;
2014-08-31;0;34,2;25,2;15,3;39,1;
2014-09-30;0;36,4;27,9;18,5;36,5;
2014-10-31;36,6;36,2;28,4;20;40,9;
2014-11-30;216,8;34,6;27,5;20,5;59,1;
2014-12-31;175,9;31,8;25,4;19,2;68,2;
2015-01-31;117;33,8;26,6;19,1;58,9;
2015-02-28;156,2;31,2;24,9;19;72;
2015-03-31;69,2;32,6;25,8;19,7;65,8;
2015-04-30;161,1;33,3;26,3;20,1;71,3;
2015-05-31;12,9;31,8;25,1;18;64;
2015-06-30;0;32,8;24,5;15,2;55,4;
2015-07-31;0;33,4;24,9;15,2;50,9;
2015-08-31;0;34,3;25,1;14,3;47,3;
2015-09-30;0;37,7;28,1;16,8;39,6;
2015-10-31;34,1;37,9;29,2;19,7;43,4;
2015-11-30;132,9;36,6;28,5;20,3;49,6;
2015-12-31;43,3;36,7;28,2;19,4;49,9;
2016-01-31;817,7;31,6;25;19,6;81,6;
2016-02-29;32,8;33,6;26,2;18,4;60,4;
2016-03-31;31,5;34,5;27,3;19,7;58;
2016-04-30;,3;34,6;26,7;17,8;52,5;
2016-05-31;0;34,6;25,7;15,8;52,6;
2016-06-30;0;33,9;24,9;14,9;54;
2016-07-31;0;33,1;23,6;12,4;50,4;
2016-08-31;0;35,1;26,2;14,8;45,3;
2016-09-30;17,4;35,7;27,1;17,3;48,6;
2016-10-31;28,9;36,4;28,1;19,1;46,8;
2016-11-30;132,2;34,5;27,3;19;56,9;
2016-12-31;179,5;33,5;26,1;18,1;61,9;
2017-01-31;199,4;34;26,4;18,5;64,9;
2017-02-28;261,5;31,2;24,7;18,4;77,9;
2017-03-31;139,3;32,1;25,3;18,4;72,9;
2017-04-30;41,1;32,8;25,7;18,2;64,3;
2017-05-31;1,1;34,3;25,6;16,2;55,5;
2017-06-30;,4;33,6;24,4;13,5;53;
2017-07-31;0;31,4;22,7;11,7;51,7;
2017-08-31;0;34,6;25,1;13,7;48,6;
2017-09-30;0;34,5;26,1;16,3;47,4;
2017-10-31;0;37,9;29;18,3;42,8;
2017-11-30;69,7;34,2;26,7;18,7;56,7;
2017-12-31;176,9;33,2;26;18,3;62,7;
2018-01-31;45,9;34,1;26,1;17,9;59,1;
2018-02-28;189,1;30,9;24,6;17,6;73,6;
2018-03-31;125,7;31,3;24,9;17,7;73,8;
2018-04-30;68,2;31,3;25,2;16,8;65,2;
