Nome: SENHOR DO BONFIM
Codigo Estacao: 83088
Latitude: -10.443072
Longitude: -40.148244
Altitude: 532.09
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2011-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;101,6;31,5;25,5;20,6;null;
2010-02-28;52,3;32,6;26,7;21,7;null;
2010-03-31;112,2;31,4;26;21,6;null;
2010-04-30;85,8;28,5;24;20,8;null;
2010-05-31;28,4;29,7;24,4;20,6;null;
2010-06-30;136;26,2;21,9;18,9;null;
2010-07-31;162,4;24,4;20,4;18;null;
2010-08-31;44,4;25,1;20,3;17,1;null;
2010-09-30;54,6;27,9;22,1;18;null;
2010-10-31;58,9;31,7;25,5;20,1;null;
2010-11-30;0;32,4;26,1;20,1;null;
2010-12-31;null;null;null;null;null;
2011-01-31;35,4;31;25,2;21;null;
2011-02-28;64,5;32,1;25,9;21;null;
2011-03-31;103,2;30,9;25,7;21,6;null;
2011-04-30;143,2;29,3;24,3;20,8;null;
2011-05-31;113,2;26,2;22,3;19,7;null;
2011-06-30;39,5;26,2;21,5;18,2;null;
2011-07-31;22,7;27;21,5;17,7;null;

