Nome: MARICA
Codigo Estacao: 83089
Latitude: -22.920653
Longitude: -42.83
Altitude: 4.18
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;120,2;33,1;28,2;23,6;73;
2010-02-28;67,7;33,9;28,5;23,6;67,9;
2010-03-31;298,5;30,3;26,2;22,6;80,8;
2010-04-30;null;29,7;25,4;22;81,7;
2010-05-31;86,1;26,9;22,3;18,4;81,2;
2010-06-30;47,4;25;19,5;15,1;80,7;
2010-07-31;175,6;26,7;21,3;16,8;79,7;
2010-08-31;36,3;25,2;20,1;16,1;78,1;
2010-09-30;33,3;27,4;22,1;17,7;76,8;
2010-10-31;113,9;26,4;22,2;18,4;79,3;
2010-11-30;79,2;27,9;23,9;20,3;81;
2010-12-31;130,9;30,3;26,3;23,1;82,2;
2011-01-31;76,3;32,8;27,6;23,2;75,3;
2011-02-28;1,4;33,8;28;23,3;68,7;
2011-03-31;150,9;28,4;25;22,3;86,4;
2011-04-30;209,3;29,5;24,8;21;81,5;
2011-05-31;105;25,9;21,2;17,6;82,3;
2011-06-30;31,6;25;19,8;15,4;83,6;
2011-07-31;null;null;null;null;null;
2011-08-31;68,5;26,7;21,4;17;79,2;
2011-09-30;67,1;25,4;20,6;16,2;76,8;
2011-10-31;133,8;27,6;22,7;18,8;79,4;
2011-11-30;132,7;26,6;22,6;18,8;78,7;
2011-12-31;148,1;29,2;24,8;21;81,2;
2012-01-31;173,6;29,8;null;21,5;null;
2012-02-29;5,6;32,8;27,3;22,4;69,4;
2012-03-31;null;null;null;null;null;
2012-04-30;31,5;29,3;24,8;20,6;78,4;
2012-05-31;null;null;null;null;null;
2012-06-30;null;null;null;null;null;
2012-07-31;null;null;null;null;null;
2012-08-31;null;null;null;null;null;
2012-09-30;null;null;null;null;null;
2012-10-31;null;null;null;null;null;
2012-11-30;null;null;null;null;null;
2012-12-31;null;null;null;null;null;
2013-01-31;205,5;30,2;25,9;22,4;80;
2013-02-28;93,4;31,8;27,4;23,3;75,8;
2013-03-31;207;29,7;25,7;22,6;81,5;
2013-04-30;52,2;28,2;23,6;19,8;80,4;
2013-05-31;96,2;26,8;22;17,9;78,8;
2013-06-30;86,9;26,5;21,9;18;81,3;
2013-07-31;134,3;25,2;20,2;15,9;78,9;
2013-08-31;null;null;null;null;null;
2013-09-30;97;27,3;22,6;18,4;73,3;
2013-10-31;68,4;26,8;23;19,6;76,6;
2013-11-30;160,1;28,4;24;20,3;77,9;
2013-12-31;192,5;29,4;25,5;22,1;82,3;
2014-01-31;45,4;33,5;28,1;22,9;70,5;
2014-02-28;16,2;34,1;28,5;23;64,1;
2014-03-31;null;null;null;null;null;
2014-04-30;150,9;28,5;24,1;20,3;79,4;
2014-05-31;85,6;27,1;22,5;18,2;78,6;
2014-06-30;57,2;27,1;22,1;17,6;77,8;
2014-07-31;155,7;25,6;20,9;16,4;77,6;
2014-08-31;45,1;26,6;21;16,2;75,6;
2014-09-30;null;28,2;22,8;17,3;69,6;
2014-10-31;27,2;28,7;23,5;18,6;72,7;
2014-11-30;86,4;29,5;24,8;20,7;74,3;
2014-12-31;108,7;32,2;27;22,4;71;
2015-01-31;null;34;28,6;23,6;70,1;
2015-02-28;null;null;null;null;null;
2015-03-31;104,5;30,4;26,3;22,3;78,6;
2015-04-30;57;28,7;24,2;19,9;78,3;
2015-05-31;70,7;27,2;22,8;18;75,8;
2015-06-30;81,1;27,4;22,3;17,5;75,9;
2015-07-31;27,9;27,5;22,4;17,8;77,5;
2015-08-31;null;28,4;22,5;17,2;71,1;
2015-09-30;111,1;28,6;24,1;20,1;76,7;
2015-10-31;25,7;29,7;24,7;20,2;76,5;
2015-11-30;186,3;29,9;25,8;22,2;81,4;
2015-12-31;98,5;32,5;27,8;22,9;70,6;
2016-01-31;261,8;30,2;26,3;22,7;80,8;
2016-02-29;null;null;null;null;null;
2016-03-31;338,5;31,4;27,2;23;78,9;
2016-04-30;3,8;32;26,5;21,3;75,4;
2016-05-31;null;null;null;null;null;
2016-06-30;85;24,7;20,4;15,9;76,7;
2016-07-31;null;27,4;21,6;16,4;74,1;
2016-08-31;52,1;27,8;22,2;16,6;70,6;
2016-09-30;80,5;27,3;23;18,6;76,7;
2016-10-31;52,4;28,4;23,8;19,9;76,6;
2016-11-30;177,1;28,7;24,6;20,7;78,6;
2016-12-31;98,1;31,3;26,7;22;74,9;
2017-01-31;105,3;33,9;null;null;null;
2017-02-28;null;null;null;null;null;
2017-03-31;104,1;30,9;26,4;22,1;74,4;
2017-04-30;113,2;28,5;24,6;20,3;77,8;
2017-05-31;21,9;null;null;18;80,7;
2017-06-30;146,6;null;null;16,8;78,7;
2017-07-31;null;null;null;15,1;77,9;
2017-08-31;56,8;26,1;21,4;16,2;75;
2017-09-30;8,3;28,9;23,2;17,2;71,8;
2017-10-31;84;29,3;24,8;20,1;74,9;
2017-11-30;58,1;29;24,6;19,7;75;
2017-12-31;41,1;30,6;26,4;22;76,2;
2018-01-31;183,3;31,9;27,3;22,7;74,9;
2018-02-28;null;null;null;null;null;
2018-03-31;null;31,9;27,4;22,9;72,4;
2018-04-30;24,5;29,4;25,2;19,8;75,3;
2018-05-31;55,8;27,9;23,3;18,2;74,2;

