Nome: MONTE SANTO
Codigo Estacao: 83090
Latitude: -10.44249999
Longitude: -39.33083332
Altitude: 465.84
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-04-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;106,1;32,9;25,8;18,8;68,3;
2010-02-28;24,7;33,6;26,6;19,6;65,2;
2010-03-31;91,6;33,6;26,5;19,5;69,6;
2010-04-30;140,9;30;24,3;18,5;81,1;
2010-05-31;14,5;30,8;24,3;18,2;76,2;
2010-06-30;85,7;26,7;21,6;16,4;86,9;
2010-07-31;109,5;26,1;20,8;15,8;88,2;
2010-08-31;43,8;26,6;20,6;14,9;85,9;
2010-09-30;39,2;28,6;21,9;15,6;79,3;
2010-10-31;94,5;33;25,3;17,9;68,1;
2010-11-30;0;33,6;25,9;17,4;60,4;
2010-12-31;111,1;32,8;25,7;18;62,3;
2011-01-31;22;33,2;25,9;18,8;73,6;
2011-02-28;41,6;32,8;25,6;18,3;63,3;
2011-03-31;134,2;33,3;26,1;18,9;67,2;
2011-04-30;41,8;31,2;24,6;18,2;74,2;
2011-05-31;56,7;28,5;22,8;16,9;81,7;
2011-06-30;27,5;28,3;21,9;15,9;83,6;
2011-07-31;29,7;28,3;21,7;15,7;81,6;
2011-08-31;17,5;30,4;22,5;15,1;76,5;
2011-09-30;9;30,6;22,8;15,7;73,2;
2011-10-31;35,8;31,8;24,5;17,2;69,8;
2011-11-30;71,3;30,6;23,8;16,8;76;
2011-12-31;33,7;33,3;25,8;17,3;64,5;
2012-01-31;1,3;34,1;26,1;17,8;66,5;
2012-02-29;10,3;32,9;25,4;17,8;63,5;
2012-03-31;1;34,3;26,2;17,9;60,1;
2012-04-30;,2;33,9;26;17,4;61,7;
2012-05-31;13,9;31,1;24,1;16,6;72,4;
2012-06-30;19,3;29,9;23,3;16,1;74,1;
2012-07-31;35;27,8;21,6;15,2;78,9;
2012-08-31;49,5;27,8;21,4;15,6;80;
2012-09-30;14;30,6;23,8;19,1;67,5;
2012-10-31;2,4;32,5;25,3;20,6;66,6;
2012-11-30;68,6;33,4;27,1;22,4;63,2;
2012-12-31;1;34,8;27,8;22,6;58;
2013-01-31;32,4;34,3;27,7;23,5;60,8;
2013-02-28;0;35,1;27,8;22,8;56,8;
2013-03-31;,1;35,1;28,1;22,9;57,8;
2013-04-30;53,5;32,8;26,5;22;66;
2013-05-31;58,5;29,4;24,2;20,9;79,3;
2013-06-30;33,7;28,9;23,2;20;81,6;
2013-07-31;63,9;27,7;22,2;19,2;83,2;
2013-08-31;35,4;28,3;22,3;18,6;81,1;
2013-09-30;16,3;30,8;23,8;19,2;73,6;
2013-10-31;63,8;32;24,9;20,1;71,3;
2013-11-30;20,1;32,6;25,8;20,9;65,6;
2013-12-31;201,2;33;26,5;21,8;68,3;
2014-01-31;4,4;34;26,7;21;63;
2014-02-28;8,4;33,8;26,7;21,5;62,3;
2014-03-31;11,9;34;27;21,9;63,8;
2014-04-30;67,2;33,1;26,6;22;65,7;
2014-05-31;60;29,8;24;20,6;76,4;
2014-06-30;39,8;28,4;22,8;19,5;80,5;
2014-07-31;65,3;27,4;21,9;18,8;84,5;
2014-08-31;27,6;28,3;22;18,2;77,1;
2014-09-30;14,7;31,7;24,3;19,4;67,2;
2014-10-31;27,1;null;null;19,9;66;
2014-11-30;89,2;null;null;21;66,3;
2014-12-31;75,8;null;null;21,1;66;
2015-01-31;21,7;null;null;21,4;59,6;
2015-02-28;176,8;null;null;21,3;65;
2015-03-31;1,1;null;null;21,9;59,2;
2015-04-30;57,8;null;null;22,2;62,8;
2015-05-31;120,3;null;null;21,3;78;
2015-06-30;73,3;null;null;19,8;83,8;
2015-07-31;66,7;null;null;18,9;82,8;
2015-08-31;41,5;null;null;18,4;79,2;
2015-09-30;7,1;null;null;19,5;64,6;
2015-10-31;5,9;null;null;20,7;61,1;
2015-11-30;0;null;null;21,3;51;
2015-12-31;1,4;null;null;21,3;60,5;
2016-01-31;214,9;null;null;20,3;69,4;
2016-02-29;36,9;null;null;21,3;71,9;
2016-03-31;1;null;null;20,2;63,1;
2016-04-30;8,9;null;null;20,5;65,7;
2016-05-31;75,4;null;null;20,2;74,6;
2016-06-30;40,6;null;null;19,1;80,7;
2016-07-31;22,4;null;null;18,3;78,4;
2016-08-31;23,5;null;null;18,2;72,8;
2016-09-30;6,2;null;null;19,2;69;
2016-10-31;1,4;null;null;20,5;63,8;
2016-11-30;5,6;null;null;20,6;63,7;
2016-12-31;8,9;null;null;21,5;64;
2017-01-31;0;null;null;20,9;61,7;
2017-02-28;1,5;null;null;22;62;
2017-03-31;42,1;null;null;21,2;65,8;
2017-04-30;40,4;null;null;20,3;72,8;
2017-05-31;35,4;null;null;20,2;77,6;
2017-06-30;45,5;null;null;19,2;82,7;
2017-07-31;66,7;null;null;17,3;85,2;
2017-08-31;17,7;null;null;17,9;79,2;
2017-09-30;102;null;null;17,8;84,8;
2017-10-31;6,9;null;null;19,3;71,2;
2017-11-30;7,4;null;null;20,6;64,9;
2017-12-31;26,3;null;null;20;65,9;
2018-01-31;11,3;null;null;21,6;64,1;
2018-02-28;10,5;null;null;20,4;70,5;
2018-03-31;37,3;null;null;20,2;71,2;
2018-04-30;33,1;null;null;19,1;76,5;
2018-05-31;47,6;null;null;18,9;81,1;
2018-06-30;37,7;null;null;16,6;84,4;
2018-07-31;14,8;null;null;18,3;78,8;
2018-08-31;22,2;null;null;18,6;74,1;
2018-09-30;8,1;null;null;19,2;69,8;
2018-10-31;21,2;null;null;19,4;67,1;
2018-11-30;13,4;null;null;19,9;67;
2018-12-31;92,8;null;null;19,7;74,2;
2019-01-31;28,5;null;null;20,6;66,9;
2019-02-28;45,8;null;null;21,2;67,4;
2019-03-31;65,9;null;null;21;72,4;
2019-04-30;27,2;null;null;20,8;72,8;
2019-05-31;6,7;null;null;20,1;73,4;
2019-06-30;91,1;null;null;18,4;85,6;
2019-07-31;72,1;null;null;17,9;86,1;
2019-08-31;34,7;null;null;18;81,5;
2019-09-30;12,9;null;null;18,9;72,8;
2019-10-31;10,1;null;null;20;66,9;
2019-11-30;124,4;null;null;20,4;63,5;
2019-12-31;17,8;null;null;20,3;65,2;
2020-01-31;86,8;null;null;20,4;71;
