Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;26,9;32,1;28,3;25,1;71;
2010-02-28;76,7;31,1;28;24,9;74,9;
2010-03-31;31,9;31,5;28,3;24,9;74,6;
2010-04-30;359;30,5;27,4;24,3;78,8;
2010-05-31;125,8;30,3;27,1;23,9;78,5;
2010-06-30;265,1;29;25,8;23,1;81,1;
2010-07-31;135,5;28,4;25,3;22,8;81;
2010-08-31;92,5;28,1;24,9;22,3;75,5;
2010-09-30;76,6;28,5;25,3;22,6;75,2;
2010-10-31;20,7;30,6;27;24;75;
2010-11-30;14;31,4;27,5;24,4;74,5;
2010-12-31;8,7;32,1;28;24,7;71,5;
2011-01-31;100,5;31,8;27,9;24,3;71,6;
2011-02-28;89,9;31,6;28;24,4;73,3;
2011-03-31;52,3;32,6;28,6;24,8;72,7;
2011-04-30;210,6;31,1;27,6;24,4;76,1;
2011-05-31;333,3;29,6;26,6;23,6;78,1;
2011-06-30;97,3;29,1;25,7;22,6;78;
2011-07-31;130,4;28,2;25;22;77,9;
2011-08-31;82,7;28,4;25,3;21,4;75,8;
2011-09-30;55,4;28,4;25,5;22,7;72,9;
2011-10-31;104,8;28,9;26,3;23,9;77;
2011-11-30;43,1;29,1;26,5;23,8;77,8;
2011-12-31;4,4;30,2;27,2;24,1;73,5;
2012-01-31;35,9;30,4;27,3;24,6;72,5;
2012-02-29;85,2;30,4;27,5;24,6;72,9;
2012-03-31;17,8;30,6;27,6;24,4;71,7;
2012-04-30;24,5;30,6;27,6;24,5;72,2;
2012-05-31;144,6;29,9;26,8;23,4;75,9;
2012-06-30;118;29;26;22,8;77,8;
2012-07-31;100,6;28,3;25,3;22,3;78,1;
2012-08-31;77,1;28,1;25,3;22,2;78,6;
2012-09-30;60,8;28,8;25,8;22,4;75,4;
2012-10-31;69,5;28,7;25,9;22,7;77,3;
2012-11-30;5,6;30;26,9;24,2;73,1;
2012-12-31;2;30,7;27,5;24,5;70,7;
2013-01-31;6;30,9;27,7;24,6;70,6;
2013-02-28;7,8;31,3;27,9;24,7;69,3;
2013-03-31;10,8;31,3;28,1;24,9;70,2;
2013-04-30;195,8;31;27,5;24,2;73,8;
2013-05-31;115,4;29,9;26,6;22,9;80;
2013-06-30;146,9;29,6;26,1;22,7;80,3;
2013-07-31;120,3;28,7;25,5;22,2;79,4;
2013-08-31;117,6;28,6;25;21,6;78,7;
2013-09-30;24,8;29,4;26,2;22,6;73,9;
2013-10-31;45,9;29,6;26,4;23,2;79,5;
2013-11-30;159,6;29,8;26,5;23,3;77,4;
2013-12-31;65,2;30,4;27;23,8;76,5;
2014-01-31;15,8;31,3;27,6;24,4;74,4;
2014-02-28;59,6;30,9;27,4;24;74,8;
2014-03-31;78,4;30,4;27,1;23,6;73,7;
2014-04-30;153;30,4;27,4;23,8;72,9;
2014-05-31;127;29,7;26,7;23,5;76,3;
2014-06-30;89,7;29;26,1;22,8;79;
2014-07-31;156,3;29;25,7;22,3;78,7;
2014-08-31;62,9;29,1;25,8;22,4;78,3;
2014-09-30;38,2;29,3;26;22,6;78,9;
2014-10-31;35,7;30,3;26,7;23,3;77;
2014-11-30;44,3;30,3;26,9;23,3;73,4;
2014-12-31;9;31,1;27,4;23,9;73,6;
2015-01-31;25,5;31,2;27,8;24,5;71,1;
2015-02-28;38,4;30,9;27,6;24,4;72,6;
2015-03-31;44,4;31,1;27,8;24;71,9;
2015-04-30;91,6;31,5;27,9;24,2;72,5;
2015-05-31;282,1;30,2;26,8;23,4;76,6;
2015-06-30;150,4;29,3;25,9;22,8;76,8;
2015-07-31;171,1;28,5;25,2;22,5;75,8;
2015-08-31;74,4;28,5;25,2;22,2;75;
2015-09-30;10,8;29,3;26,2;23;72,9;
2015-10-31;31,8;29,3;26,5;23,4;72,2;
2015-11-30;6,8;29,8;27;23,7;70,7;
2015-12-31;25,8;29,9;27,1;23,7;70,7;
2016-01-31;83,1;29,9;27,1;23,6;73,8;
2016-02-29;50,7;30,9;27,9;24,2;69,7;
2016-03-31;29,7;31,1;28,1;24,4;69,7;
2016-04-30;39,2;30,9;27,9;24,5;69,3;
2016-05-31;151,3;29,9;26,9;23,6;73,1;
2016-06-30;203,2;29,1;26;22,5;72,9;
2016-07-31;41,8;28,6;25,6;22,4;73,6;
2016-08-31;47,8;28,1;25,4;22,3;75,6;
2016-09-30;37,4;28,4;25,9;22,8;74,6;
2016-10-31;13;29;26,5;23,3;72,4;
2016-11-30;8,6;29,3;26,8;23,7;70,1;
2016-12-31;33,2;29,5;26,9;23,9;69,4;
2017-01-31;6,6;30,2;27,4;24,3;68,5;
2017-02-28;15;30,3;27,5;24,4;67,5;
2017-03-31;40,3;30,5;27,7;24,2;67,9;
2017-04-30;120;30,1;27,3;23,9;69,9;
2017-05-31;306;29,4;26,6;23,2;73,4;
2017-06-30;144,6;28,4;25,7;22,8;75,9;
2017-07-31;174,1;27,5;24,6;21,4;79,5;
2017-08-31;78,2;27,6;24,5;21,1;75;
2017-09-30;212,2;27,7;24,6;21,3;80,1;
2017-10-31;74,9;28,8;25,8;22,7;71,3;
2017-11-30;28,2;29,7;26,5;23,3;71,2;
2017-12-31;21,1;30,1;26,8;23,3;68,3;
2018-01-31;14,9;30,7;27,5;24,2;64,5;
2018-02-28;78,6;30,3;27,2;23,6;66,6;
2018-03-31;186,2;30,3;27,2;23,7;67,8;
