Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21388888
Longitude: -36.84222221
Altitude: 18.46
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;43,7;33,2;27,6;22,7;70,2;
2010-02-28;33,3;33,4;28;23,4;71,6;
2010-03-31;13;35,1;29;24,5;68,1;
2010-04-30;200,6;32,6;27,6;23,4;76,9;
2010-05-31;103,3;31,2;26,3;22,4;80,9;
2010-06-30;231,8;29;24,8;21,5;83,4;
2010-07-31;164,2;28,3;23,9;20,4;82,4;
2010-08-31;99,1;28;23,4;19,8;83,3;
2010-09-30;87,1;29;24;19,9;82,5;
2010-10-31;12,5;32,3;26,4;21,6;78,3;
2010-11-30;1,4;33,4;27,1;22,2;71;
2010-12-31;1,9;34;27,9;23,2;70,9;
2011-01-31;49,7;33;27,5;22,7;73,1;
2011-02-28;20,3;33,2;27,6;22,8;74,2;
2011-03-31;7,7;35,2;28,7;23,6;71,6;
2011-04-30;273,1;31,8;26,9;23;81,9;
2011-05-31;261,3;29,2;25,4;22,4;87,3;
2011-06-30;72,5;29,1;24,3;20,8;85,7;
2011-07-31;155;27,7;23,4;20;85,8;
2011-08-31;67,6;29,1;23,7;19,5;81;
2011-09-30;70,9;28,7;23,8;19,8;79,6;
2011-10-31;32,9;31,5;26;21,8;72,8;
2011-11-30;79,4;31,9;26,5;21,9;69,7;
2011-12-31;9;33,7;27,5;22,6;62,4;
2012-01-31;7,7;33,2;27,2;22,7;63,8;
2012-02-29;61,4;32,5;27,1;22,9;65,2;
2012-03-31;45,1;32,5;27;23;66,2;
2012-04-30;8,5;32,9;27;22,9;66,2;
2012-05-31;73,1;31,7;26,2;22,5;70,3;
2012-06-30;110;29,7;25;22,5;80,3;
2012-07-31;120;27,8;23,5;20,8;81,8;
2012-08-31;98,4;28,2;23,4;20;76,3;
2012-09-30;52,6;29,6;24,4;21,2;76,2;
2012-10-31;41,4;30,1;25,2;22;75,3;
2012-11-30;7,4;34;27,4;22,5;66,9;
2012-12-31;7,4;33,7;27,7;23,2;66,7;
2013-01-31;44,8;34,2;28,1;23,5;67,4;
2013-02-28;6,1;34;28,2;23,6;66,1;
2013-03-31;27;34,4;28,3;23,7;66;
2013-04-30;127,2;33,3;27,7;23,6;69,9;
2013-05-31;117,5;30,4;25,8;22,5;78,6;
2013-06-30;108,5;29,9;25;21,5;77,6;
2013-07-31;203;28,5;24;20,8;79,7;
2013-08-31;79,3;28,6;23,9;20,6;79,4;
2013-09-30;28,9;30,5;24,9;20,5;73;
2013-10-31;150,1;31,1;25,8;21,6;72,5;
2013-11-30;17,8;31,7;26,4;22,1;70,5;
2013-12-31;51,3;34;27,9;23,5;67,9;
2014-01-31;7,3;33,5;27,4;22,4;65,4;
2014-02-28;37,6;33;27,4;22,8;68,6;
2014-03-31;37,7;33,4;27,8;23,3;68,3;
2014-04-30;95,8;32,7;27,4;23,5;76,5;
2014-05-31;195,4;30;25,5;22;80,2;
2014-06-30;93,4;29,6;24,7;21,2;80,3;
2014-07-31;153,6;28,4;23,8;20,2;80,7;
2014-08-31;71;28,7;23,7;19,5;79,5;
2014-09-30;63,2;30,1;24,9;20,6;79;
2014-10-31;124,4;30,2;25,4;21,3;78,3;
2014-11-30;17,6;32,8;26,8;22,4;74,8;
2014-12-31;32,7;33;27,2;22,5;73,9;
2015-01-31;6,8;33,9;27,6;22,3;66,7;
2015-02-28;45,6;33,8;27,9;23,1;70,5;
2015-03-31;40,5;34,1;28,1;23,2;70;
2015-04-30;37;34,5;28,3;23,4;71,7;
2015-05-31;126,1;32,5;27;22,9;77,6;
2015-06-30;152;29,5;25;22;84,3;
2015-07-31;177;28,5;24,7;22;82,7;
2015-08-31;28,7;28,1;25,3;23;74,1;
2015-09-30;23,8;30,2;26,6;23,6;69,6;
2015-10-31;19,7;31,8;27,7;24,2;65,2;
2015-11-30;0;34,8;28,5;23,7;62,5;
2015-12-31;4,6;34,2;27,8;22,6;67,8;
2016-01-31;100,2;33,9;28,2;24;71,8;
2016-02-29;25,3;33,5;28;23,5;71;
2016-03-31;77,4;34;28,4;24,1;69,2;
2016-04-30;58,2;32,4;27,3;23,4;73,3;
2016-05-31;81,1;31,4;26,4;22,5;76,1;
2016-06-30;80,5;30,8;25,4;21,6;77,8;
2016-07-31;64,5;29,3;24,3;20,2;77,5;
2016-08-31;37,1;30,1;24,5;20;75,5;
2016-09-30;36;30,9;25,4;20,8;72,4;
2016-10-31;13,3;33,3;27,3;22,6;66;
2016-11-30;1,2;33,8;27,8;23,2;64,8;
2016-12-31;21,3;34,5;28,4;23,7;64,7;
2017-01-31;2,7;34,2;28,3;23,6;62,5;
2017-02-28;6,6;34,3;28,4;23,6;64;
2017-03-31;9,6;34,4;28,6;24;66,5;
2017-04-30;136,8;32,5;27,8;24;73,1;
2017-05-31;411,7;30,5;26,2;23,5;79;
2017-06-30;258,5;28,7;24,8;22;84,3;
2017-07-31;174;27,5;23,4;20,6;82,3;
2017-08-31;92,2;28,4;23,8;20,4;81,8;
2017-09-30;135,6;28,5;24;20,8;81;
2017-10-31;22,1;30,5;25,5;21,3;75,7;
2017-11-30;,9;33,4;27,3;22,1;68,2;
2017-12-31;5,1;34,6;28,3;23,6;67,9;
2018-01-31;16,3;34,3;28,2;23,5;67,2;
2018-02-28;66,5;34,1;28,1;24;72,1;
2018-03-31;42;34,2;28,4;24,1;70,3;
2018-04-30;45,6;32;26,9;22,5;73,3;
2018-05-31;100;30,8;25,7;21,9;80,2;
2018-06-30;94,6;29,5;24,4;20,5;82,2;
2018-07-31;66;28,8;23,8;20,3;81,5;
2018-08-31;12,8;30,4;24,5;19,8;74,3;
2018-09-30;13,6;30,9;25,3;20,7;73,6;
2018-10-31;1,2;33,3;27,3;22,6;68,1;
2018-11-30;10,9;33;27,5;23;69,7;
2018-12-31;30,4;34,1;28;23,4;68,3;
2019-01-31;30,4;33,3;27,8;23,1;69,3;
2019-02-28;21;34,7;28,9;24,4;71,6;
2019-03-31;135,5;34,3;28,5;24;76;
2019-04-30;50,2;33,4;28,1;24;77,1;
2019-05-31;48,7;32,7;27,3;23;75,7;
2019-06-30;126,3;29,5;25;21,5;84,5;
2019-07-31;163,4;28,9;24,3;21;85,1;
2019-08-31;53,5;29,2;23,9;20;82,9;
2019-09-30;32,5;31,1;25,5;20,7;75,9;
2019-10-31;1,6;33,1;26,8;21,7;69,9;
2019-11-30;0;34,3;27,9;22,9;66,6;
2019-12-31;12,4;34,9;28,4;23,4;64,7;
2020-01-31;41,3;34,9;28,7;24,2;68;
2020-02-29;23,9;34,7;29;24,6;70,5;
2020-03-31;103,9;34,5;28,8;24,8;74;
2020-04-30;105,8;32,7;27,8;24;79,7;
2020-05-31;201,6;30,1;27,2;23,9;79,7;
2020-06-30;143,3;28,5;26;23,5;81;
2020-07-31;98,8;27,6;25,2;22,8;78;
2020-08-31;52;28,1;25,4;23;76;
2020-09-30;45,5;28,8;26,1;23,4;74,2;
2020-10-31;14;32,3;27,8;24,3;66,1;
2020-11-30;20,6;32,6;28,2;24,2;65,7;
2020-12-31;7,5;33;28,4;24,4;62,8;
2021-01-31;18,5;32,4;29,1;24,6;61,5;
2021-02-28;8,4;33,7;29,9;25;58,5;
2021-03-31;20,3;32,6;29,2;24,3;62,4;
2021-04-30;133,9;31,4;28,3;23,6;69,4;
2021-05-31;186,7;28,6;25,9;22;77,5;
2021-06-30;136,1;27,5;25;21,7;78,5;
2021-07-31;118,1;26,9;24,5;20,2;79,3;
2021-08-31;111,6;27;24,4;20;80,7;
2021-09-30;17,4;30;26,5;22,1;75,7;
2021-10-31;40,2;32,3;28,3;23,8;70,9;
2021-11-30;9;33,9;29,7;24,5;69,4;
2021-12-31;141,8;33,4;29,5;24,3;71,9;
2022-01-31;46,3;33;29,4;24;72,4;
2022-02-28;4,2;34,5;30,6;24,5;66,8;
2022-03-31;168,9;31,6;28,4;22,9;79,8;
