Nome: IGUABA GRANDE
Codigo Estacao: 83114
Latitude: -22.84694444
Longitude: -42.18555555
Altitude: 5.6
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-04-10
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;239,3;33,5;27,9;24;73,4;
2010-02-28;19,4;34,7;29;24,7;67,9;
2010-03-31;176,8;31,4;26,8;23,3;80,8;
2010-04-30;212,9;29,3;24,6;21,3;81,5;
2010-05-31;62;27;22,7;19,4;80,7;
2010-06-30;88,9;25,3;20,3;16,6;79,1;
2010-07-31;96,2;26,5;22,1;19;78,8;
2010-08-31;20,9;26,2;21,1;16,9;72,5;
2010-09-30;17,6;27,1;22,6;19,5;74;
2010-10-31;71,7;27,5;23;19,6;73,3;
2010-11-30;67,9;28,3;24,2;21,2;80,9;
2010-12-31;160,9;31,1;26,7;23,3;80;
2011-01-31;41,2;32,6;27,4;23,7;75,5;
2011-02-28;0;34,3;28,2;24,3;66,9;
2011-03-31;207,9;28,8;25,4;23;85,5;
2011-04-30;188;29,5;25,5;22,5;78,7;
2011-05-31;82,2;26,3;21,8;18,4;80,6;
2011-06-30;26,1;25,1;20,9;17,4;76,6;
2011-07-31;8,3;25,9;21;17,2;74,7;
2011-08-31;26,9;27,3;22,2;18,5;74,3;
2011-09-30;18,6;26,2;21,5;18,1;70,5;
2011-10-31;79,8;27,5;23;20;77,3;
2011-11-30;120,1;27,5;23;19,8;75,2;
2011-12-31;109,7;29,2;24,7;21,4;80,5;
2012-01-31;193,3;29,6;25,1;22,1;80,2;
2012-02-29;3,5;32,5;27;22,9;70,4;
2012-03-31;75,4;31,8;26,4;22,5;75,8;
2012-04-30;16,3;30;25,5;21,9;78,5;
2012-05-31;103;26,9;22,1;18,6;81;
2012-06-30;115,6;26,9;22,8;19,5;80,3;
2012-07-31;27,8;26,7;21,9;18,2;76,7;
2012-08-31;44,5;26,5;21,9;19;77,3;
2012-09-30;108;27,6;22,3;18,5;73,4;
2012-10-31;27,8;29,5;24,3;21;75,3;
2012-11-30;102,3;27,9;23,8;21,3;82,2;
2012-12-31;45,4;33,6;27,9;24,1;73,6;
2013-01-31;135,9;31,2;26,3;22,8;77,3;
2013-02-28;117,7;32,6;27,4;23,9;73,8;
2013-03-31;183,8;30,5;26,1;22,9;80,3;
2013-04-30;34,9;28,7;24;20,3;78,6;
