Nome: BARRA
Codigo Estacao: 83179
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;41,4;34;27,1;21,6;59,7;
2010-02-28;36,9;35;28,3;22,8;54,9;
2010-03-31;208;33,6;26,9;21,9;64,5;
2010-04-30;126,5;32,9;26,4;21,5;64,5;
2010-05-31;3;34,2;27;20,2;53,9;
2010-06-30;0;33,4;26;20,6;53,6;
2010-07-31;1,6;32,4;24,9;18,1;49,4;
2010-08-31;0;32,9;25,1;17,1;45;
2010-09-30;0;34,5;27,3;20,1;41,3;
2010-10-31;66,1;36,1;29,1;22,9;46;
2010-11-30;43,4;34,9;28,2;22,4;54,3;
2010-12-31;181,5;33,1;26,7;21,2;63,2;
2011-01-31;133,3;32,5;26,6;21,4;64,3;
2011-02-28;158,2;33,4;27;22;64,6;
2011-03-31;281,5;31,2;25,9;21,8;72,1;
2011-04-30;53,1;32;26,1;21,2;65,3;
2011-05-31;0;32,3;25,7;19,5;57;
2011-06-30;0;33,2;25,1;17,3;53,4;
2011-07-31;0;31,9;24;15,9;51;
2011-08-31;,5;34;25,9;18,1;45,6;
2011-09-30;0;34,3;26,3;18,8;41;
2011-10-31;32,1;34,8;28,2;22,3;51,5;
2011-11-30;34,3;32,9;26,8;21,7;59;
2011-12-31;88,5;34,2;27,5;21,5;58,2;
2012-01-31;36,6;34,1;28;22,6;53,4;
2012-02-29;30,7;33,9;27,3;22,1;58,3;
2012-03-31;69,9;35,7;29;22,6;51,8;
2012-04-30;,3;35,7;28,6;21,9;46,4;
2012-05-31;4;34,3;27,3;21;51,3;
2012-06-30;0;33,8;26,5;19,1;51,2;
2012-07-31;0;32,8;25,2;17,3;null;
2012-08-31;0;32,4;25,1;17,3;null;
2012-09-30;0;35,3;27,7;20,1;null;
2012-10-31;0;36,4;29,4;22,5;null;
2012-11-30;119,5;32,8;27,2;22,7;null;
2012-12-31;27,8;35,6;28,7;22;null;
2013-01-31;133,8;33,6;27,6;22,8;null;
2013-02-28;1,2;36,2;29,6;23;null;
2013-03-31;null;null;null;null;null;
2013-04-30;86,8;33,7;27,9;22,6;null;
2013-05-31;1,4;34,4;27,8;21,4;null;
2013-06-30;0;33,8;26,8;19,9;null;
2013-07-31;0;33,2;25,8;18,3;null;
2013-08-31;0;34;26,5;18,8;null;
2013-09-30;0;35,3;28,5;21,6;null;
2013-10-31;23;35,8;29,3;23,2;null;
2013-11-30;138,7;34,6;28,5;22,9;null;
2013-12-31;330,4;31,1;25,9;21,7;null;
2014-01-31;30,6;33,7;27,6;21,6;null;
2014-02-28;53,2;33,1;27,1;21,7;null;
2014-03-31;null;null;null;null;null;
2014-04-30;97,3;32,7;26,7;21,2;null;
2014-05-31;23;32,8;26,2;19,8;null;
2014-06-30;0;32,8;25,3;17,8;null;
2014-07-31;0;32,6;25,3;18,1;null;
2014-08-31;0;33,8;26,1;18,2;null;
2014-09-30;0;35,5;28,2;20,6;null;
2014-10-31;2,4;35,6;28,8;22,1;null;
2014-11-30;86,7;34,5;28;22,7;null;
2014-12-31;122,2;33,3;26,8;21,9;null;
2015-01-31;11,1;35,7;28,7;22,4;null;
2015-02-28;65,8;33,6;27,1;22,1;null;
2015-03-31;null;null;null;null;null;
2015-04-30;78,6;34,4;27,9;22,8;null;
2015-05-31;19,6;33,6;26,7;20,7;null;
2015-06-30;0;33,1;26;19,2;null;
2015-07-31;0;33,2;26;18,8;null;
2015-08-31;0;33,7;26,3;18,7;null;
2015-09-30;0;36,8;29;21,1;null;
2015-10-31;21,1;37,4;30,2;23;null;
2015-11-30;93;37,3;30,6;24;null;
2015-12-31;3,3;37,4;30,4;23,8;null;
2016-01-31;412,8;31,6;26,2;22,6;null;
2016-02-29;19,6;34,3;27,8;21,7;null;
2016-03-31;null;null;null;null;null;
2016-04-30;4,6;35,5;28,6;21,6;null;
2016-05-31;6,4;34,8;27,7;20,7;null;
2016-06-30;0;33,9;26,7;19,5;null;
