Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;102,2;31,9;null;null;59,1;
2010-02-28;59,6;32,9;null;null;57,1;
2010-03-31;196;30,8;null;null;68,6;
2010-04-30;94,3;30,1;null;null;71,1;
2010-05-31;,3;31,4;null;null;59,8;
2010-06-30;0;29,3;null;null;58,2;
2010-07-31;1,1;27,9;null;null;61,4;
2010-08-31;,7;28,9;21,6;15,4;57,9;
2010-09-30;,7;30,8;23,3;16,9;52,2;
2010-10-31;67,2;34;26,2;18,8;47,1;
2010-11-30;41,8;32,5;25,6;19,6;54,4;
2010-12-31;177,6;31,1;24,5;19,2;62,6;
2011-01-31;69,2;30,6;24,3;18,7;61,9;
2011-02-28;73,4;31,3;24,9;19,3;60,6;
2011-03-31;95;30,9;24,6;19,5;67,2;
2011-04-30;10,1;31,3;24,2;18,6;62,2;
2011-05-31;6;29,3;23;17,5;65,2;
2011-06-30;0;29,8;22,5;16,6;61,9;
2011-07-31;,7;28,5;21,2;15,4;57,6;
2011-08-31;1,1;30,7;22,8;15,8;50,2;
2011-09-30;0;30,5;22,6;15,7;49,8;
2011-10-31;62,7;31,5;24,8;18,5;53,4;
2011-11-30;26,9;30,2;24,1;18,8;63,5;
2011-12-31;118,9;32,1;25,1;19,2;59,2;
2012-01-31;38,8;31,7;24,7;18,1;50,7;
2012-02-29;91,9;31,5;24,5;18,5;56,9;
2012-03-31;0;34,1;26,4;19,3;44,3;
2012-04-30;0;33,8;26;19,1;47;
2012-05-31;10,6;30,9;24,1;18,4;56,3;
2012-06-30;1,2;30,2;23,3;17,6;56,1;
2012-07-31;,8;29;21,7;15,8;58,3;
2012-08-31;0;28,3;21,3;15;52,8;
2012-09-30;0;31,9;23,8;16;43,8;
2012-10-31;0;33,2;25,3;17,4;41,7;
2012-11-30;156;30,6;24,4;19;64,5;
2012-12-31;12,8;33,6;25,9;18,7;50,4;
2013-01-31;117,4;31,6;24,6;18,8;59,8;
2013-02-28;0;33,2;25,8;18,4;48,4;
2013-03-31;,3;34,3;26,7;19,2;49,1;
2013-04-30;17,4;32;25,3;19;57,5;
2013-05-31;,2;31,2;24,3;18,5;59,1;
2013-06-30;3;29,6;23;17,1;64,4;
2013-07-31;,6;29,1;22,1;16,2;64,1;
2013-08-31;0;29,8;22,1;15,7;62,6;
2013-09-30;0;31,7;24;16,8;61,2;
2013-10-31;26,2;32,6;25,1;18,3;54,6;
2013-11-30;160,3;31,5;24,6;18,5;58,2;
2013-12-31;241,3;29,2;23,5;18,7;74;
2014-01-31;,7;31,7;24,2;17,6;60,7;
2014-02-28;18,7;31,3;24,7;18,5;63,4;
2014-03-31;18,8;32;24,8;18,5;64,2;
2014-04-30;120,3;31,1;24,3;18,4;67,1;
2014-05-31;11;29,3;22,8;16,6;69,8;
2014-06-30;,4;29,1;22;15,2;68,5;
2014-07-31;1,4;28,4;21,4;14,9;68,7;
2014-08-31;0;29,7;21,8;14,3;66,3;
2014-09-30;0;31,9;23,7;15,8;60,3;
2014-10-31;17,7;32,2;24,4;16,6;59;
2014-11-30;119,9;30,8;23,9;17,4;65;
2014-12-31;65,7;30,2;23,5;17,3;69,5;
2015-01-31;28,4;32,4;24,8;17,5;58;
2015-02-28;116,4;30,8;23,7;17,5;69,9;
2015-03-31;8,7;32,7;25,1;17,7;59,3;
2015-04-30;58,7;32,4;24,9;18;64,3;
2015-05-31;4,3;29,8;22,9;16,4;70,7;
2015-06-30;,6;28,7;21,7;15,6;69,4;
2015-07-31;,6;28,8;21,3;14,6;67,1;
2015-08-31;0;29,8;21,7;14;63,5;
2015-09-30;0;33,7;24,6;15,1;52;
2015-10-31;1;33,9;25,7;16,9;49,5;
2015-11-30;40,2;35,2;27,3;18,4;48,3;
2015-12-31;21,2;34,8;27,1;18,1;49,7;
2016-01-31;330,7;29,4;23,7;18,1;null;
2016-02-29;1,4;31,8;24,6;17,4;null;
2016-03-31;9,2;33,2;25,7;18;null;
2016-04-30;1,2;32,2;25,1;17,8;null;
2016-05-31;11,1;31;24;17,7;null;
2016-06-30;,8;30,1;23,2;17;null;
2016-07-31;null;null;null;null;null;
2016-08-31;7,6;30,7;23;17,2;null;
2016-09-30;10,1;31,2;23,6;17,7;null;
2016-10-31;46,1;32,8;25,2;18,2;null;
2016-11-30;49,7;32,1;25;18,9;null;
2016-12-31;9,8;33,5;25,8;19;null;
2017-01-31;21,3;34,2;26,5;18,6;null;
2017-02-28;63,3;32,8;25,5;18,4;null;
2017-03-31;66;33,3;26,2;18,8;null;
