Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.54749999
Longitude: -41.15111111
Altitude: 1001.66
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;45,9;28,2;22,3;18,3;69;
2010-02-28;29,4;28,6;23;18,8;67,9;
2010-03-31;235,6;28,2;22,7;19,3;79,3;
2010-04-30;137,4;26,1;21,3;18,6;82,4;
2010-05-31;14,3;26;21,1;18,2;78,9;
2010-06-30;17,3;23,7;18,9;15,9;80;
2010-07-31;58;22,2;17,8;15,2;85,9;
2010-08-31;10,1;22,9;17,7;14,3;78;
2010-09-30;22;25,1;19,2;15,4;71,5;
2010-10-31;66,3;28,5;22,2;17,9;65;
2010-11-30;11,3;28,2;22,4;18,1;65,9;
2010-12-31;179,9;27,6;22,2;18,5;72,2;
2011-01-31;16,7;26,7;21,5;18;74,5;
2011-02-28;50,2;27,8;22,3;18,5;70,3;
2011-03-31;105,9;28,4;22,9;19,2;74,7;
2011-04-30;21,6;26,7;21,5;18,2;78,1;
2011-05-31;25,9;23,8;19,6;17;83,9;
2011-06-30;13;24,2;18,9;15,7;79;
2011-07-31;20,3;23,4;17,8;14,5;78,3;
2011-08-31;16;25,4;19;15;70,6;
2011-09-30;5,8;25,1;18,9;14,8;66,3;
2011-10-31;56,5;26,4;20,9;17;71;
2011-11-30;21,8;25,6;20,4;16,9;75,6;
2011-12-31;84,8;27,9;21,9;17,8;68,6;
2012-01-31;36;28;22;17,4;66,1;
2012-02-29;57,9;28;21,9;17,5;67,9;
2012-03-31;12,5;29,9;22,8;17,6;58;
