Nome: JACOBINA
Codigo Estacao: 83186
Latitude: -11.17277777
Longitude: -40.53416666
Altitude: 486.37
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2023-03-02
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;62,4;32,5;26,2;20,9;63;
2010-02-28;53,1;33,2;27;21,4;56,3;
2010-03-31;147;31,6;26,1;21,1;72,8;
2010-04-30;83,2;29,3;24,3;20,4;78,9;
2010-05-31;16,7;29,7;24,5;20,2;70,6;
2010-06-30;26,6;27,1;22,4;18,4;74,7;
2010-07-31;94,1;25;21;17,5;80,1;
2010-08-31;22,6;26,3;21,2;16,7;71;
2010-09-30;20,2;29;22,9;17,7;66,4;
2010-10-31;23,9;32,2;25,9;20;57,6;
2010-11-30;0;32,3;26,5;20,4;54,7;
2010-12-31;253;31,3;25,4;20,7;70,8;
2011-01-31;72,7;30,1;24,9;20,4;70,4;
2011-02-28;66,1;31,5;25,7;20,8;65,2;
2011-03-31;141,7;31,7;25,7;21,1;71,8;
2011-04-30;101,6;29,2;24,3;20;76,2;
2011-05-31;50,9;26,3;22,5;18,7;79,3;
2011-06-30;16;26,7;21,5;17,1;77,6;
2011-07-31;29,1;26,9;21,5;17;71,3;
2011-08-31;22,6;28,6;22,6;17,1;63,3;
2011-09-30;7,5;28,9;22,7;17,1;59,9;
2011-10-31;32;30,6;24,7;19,4;62,8;
2011-11-30;58,8;29,2;24;19,1;66,4;
2011-12-31;68,1;31,7;25,6;20;62,9;
2012-01-31;5,5;32,9;26,5;20,4;53,1;
2012-02-29;87,5;32;25,8;20,2;58,4;
2012-03-31;9,7;33,1;26,7;20,3;51,3;
2012-04-30;4,3;31,7;25,8;19,9;55,8;
2012-05-31;19;29,1;24;19,3;68,3;
2012-06-30;19,9;28,1;23,2;18,5;68,3;
2012-07-31;20,4;26,7;22;17,4;71,8;
2012-08-31;41,2;26,6;21,4;16,7;69,6;
2012-09-30;3;29,6;23,9;18,1;58,8;
2012-10-31;0;31,6;25,1;18,8;53,4;
2012-11-30;102,1;30,8;25,4;20,2;65,7;
2012-12-31;12,7;33,1;26,7;20,2;49,4;
2013-01-31;214,6;32,5;26,7;20,9;57,8;
2013-02-28;4;32,3;26,5;20,7;53,4;
2013-03-31;24,1;33,6;27,6;21,4;49,2;
2013-04-30;43,8;30,8;25,7;20,7;63,5;
2013-05-31;31;28,9;23,9;19,5;74,1;
2013-06-30;36,1;27,4;22,8;18,9;76,2;
2013-07-31;79,2;26,5;22;18;74,5;
2013-08-31;47,8;26,9;22;17,6;73;
2013-09-30;18,1;30,1;24,1;18,4;61;
2013-10-31;38,4;31;25,1;19,3;58,9;
2013-11-30;103,1;31,6;25,3;19,4;60,4;
2013-12-31;93;30,5;24,8;20,2;70,6;
2014-01-31;8,1;32,1;25,8;20;57,3;
2014-02-28;40,7;31,6;25,6;20,1;64,5;
2014-03-31;29,6;31,6;25,7;20,4;64,5;
2014-04-30;131,8;31,1;25,2;20,2;69,8;
2014-05-31;100,8;27,7;22,8;18,4;83,8;
2014-06-30;25,2;27,2;22,1;17,7;81,1;
2014-07-31;57,1;26,6;21,6;17,3;82,3;
2014-08-31;32,8;27,7;22;16,9;73,9;
2014-09-30;14,7;null;null;16,9;70;
2014-10-31;24,9;null;null;18,4;61,5;
2014-11-30;112,4;null;null;19,3;74,2;
2014-12-31;56,2;null;null;19,3;86;
2015-01-31;26,8;null;null;19,8;63,6;
2015-02-28;138,4;null;null;20,1;63,9;
2015-03-31;55,9;null;null;20,4;67,8;
2015-04-30;234,7;null;null;20,1;76,8;
2015-05-31;44,5;null;null;18,8;87;
2015-06-30;62,5;null;null;17,8;90,4;
2015-07-31;47,4;null;null;17,1;null;
2015-08-31;65,6;null;null;16,6;null;
2015-09-30;3,6;null;null;18,4;null;
2015-10-31;16;null;null;19;61,2;
2015-11-30;10;null;null;20,6;54,8;
2015-12-31;12,8;null;null;20,4;null;
2016-01-31;328,1;null;null;20,5;null;
2016-02-29;40,6;null;null;20,1;69,5;
2016-03-31;9;null;null;20,9;66,5;
2016-04-30;19,6;null;null;20;65,8;
2016-05-31;41,9;null;null;19,2;73,1;
2016-06-30;11,3;null;null;17,8;73,5;
2016-07-31;17,7;null;null;16,7;71,4;
2016-08-31;50;null;null;17,5;68,3;
2016-09-30;25,3;null;null;18;66,7;
2016-10-31;32,8;null;null;19,2;62,9;
2016-11-30;69,4;null;null;19,4;66,1;
