Nome: SERRINHA
Codigo Estacao: 83190
Latitude: -11.66805554
Longitude: -39.00194444
Altitude: 362.39
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-06-05
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;88,3;34,2;26,7;22;71,5;
2010-02-28;29,1;34,1;26,9;22,5;68,5;
2010-03-31;139;33,6;26,9;22,6;61,9;
2010-04-30;96,9;30,4;25,1;22,1;72,8;
2010-05-31;32,7;30,8;24,7;21;70;
2010-06-30;79,2;27,3;22,4;19,5;74,7;
2010-07-31;171,1;26,3;21,5;18,7;88,5;
2010-08-31;39,3;26,8;21,2;17,5;80,7;
2010-09-30;33;28,2;22,3;18,4;76,9;
2010-10-31;143;32,1;25;20,5;69,3;
2010-11-30;3,6;33,2;25,7;21,1;63,2;
2010-12-31;215,2;33,6;26,2;21,4;69,1;
2011-01-31;48,6;32,7;25,6;21,1;73,9;
2011-02-28;64,5;33,7;26,2;21,4;67,6;
2011-03-31;91,3;33,7;26,8;22,2;59,5;
2011-04-30;59,9;31,7;25,3;21,1;71,3;
2011-05-31;46,8;29;23,4;19,9;84,9;
2011-06-30;47,7;27,7;22,2;18,7;84,8;
2011-07-31;26,2;28,3;22;17,7;79,6;
2011-08-31;23,8;29,4;22,6;18,2;73,8;
2011-09-30;14,2;29,9;22,8;17,7;66,7;
2011-10-31;84;31,2;24,4;20;71,3;
2011-11-30;61,2;29,7;24;20,1;78;
2011-12-31;53;33;25,7;20,8;66,7;
2012-01-31;9,4;33,9;25,9;20,7;64,7;
2012-02-29;18;33,5;25,9;20,8;64,5;
2012-03-31;4,6;34,5;26,3;20,6;61;
2012-04-30;10,9;33,5;25,8;20,4;65,4;
2012-05-31;30,8;31;24,4;20;74,3;
2012-06-30;46,2;29;23,1;19;75;
2012-07-31;44,5;27,8;22;17,9;76,8;
2012-08-31;49,7;28,1;21,7;17;73,7;
2012-09-30;27,2;30,2;23,3;18,5;66,9;
2012-10-31;11,5;32;24,4;18,9;63,5;
2012-11-30;57,1;33,2;25,8;21,1;66,4;
2012-12-31;0;34,6;26,5;21;56,9;
2013-01-31;114;34,1;26,5;21,5;64,7;
2013-02-28;2,6;34,6;26,8;21,5;61,4;
2013-03-31;7,3;35,6;27,7;22,8;59,9;
2013-04-30;88,1;31,9;26;22;72,4;
2013-05-31;74,3;28,9;24;21,2;82,7;
2013-06-30;91,9;28,4;23,2;20,2;83,5;
2013-07-31;111,6;27,1;22,2;19,1;84,2;
2013-08-31;56,3;27,3;21,8;18,5;84,3;
2013-09-30;22;29,5;23,2;19,2;74,4;
2013-10-31;69,4;30,4;24,1;20;72,7;
2013-11-30;37,7;31,3;25;20,7;70;
2013-12-31;30,6;32,5;26;21,9;69,6;
2014-01-31;2,4;33,6;26,3;21,1;61,1;
2014-02-28;57,4;32;25,6;21,4;73,2;
2014-03-31;13,4;32,4;26,1;21,7;70,9;
2014-04-30;55,2;32,5;26;21,8;74;
2014-05-31;62,4;29,1;24;20,5;83,1;
2014-06-30;60,1;27,6;22,7;19,1;84,9;
2014-07-31;91,1;null;null;18,6;86,4;
2014-08-31;69,9;null;null;17,8;81,4;
2014-09-30;38,8;null;null;18,7;73,8;
2014-10-31;18,7;null;null;19,4;69,8;
2014-11-30;42,6;null;null;20,6;70,1;
2014-12-31;81,3;null;null;20,8;70,4;
2015-01-31;16,4;null;null;21,2;62,3;
2015-02-28;56,7;null;null;21,6;66,6;
2015-03-31;16,9;null;null;21,7;64;
2015-04-30;106,1;null;null;21,9;75,9;
2015-05-31;113,4;null;null;20,5;88,2;
2015-06-30;121,5;null;null;19,3;91,7;
2015-07-31;64,2;null;null;18,3;88;
2015-08-31;55,4;null;null;17,4;83,9;
2015-09-30;21,2;null;null;19,1;70,7;
2015-10-31;31,9;null;null;20,1;64,4;
2015-11-30;1;null;null;21,6;54,4;
2015-12-31;7,9;null;null;21,6;56,2;
2016-01-31;253,6;null;null;22,3;74,8;
2016-02-29;50,5;null;null;21,9;66,1;
2016-03-31;2,4;null;null;22,4;62,1;
2016-04-30;32,8;null;null;21,8;66,8;
2016-05-31;99,6;null;null;20,9;79,1;
2016-06-30;43,3;null;null;19,9;84,6;
2016-07-31;45,3;null;null;18,8;82,6;
2016-08-31;34,7;null;null;19,1;77,7;
2016-09-30;28,9;null;null;19,9;76,9;
