Nome: CIPO
Codigo Estacao: 83192
Latitude: -11.10138888
Longitude: -38.52416666
Altitude: 143.53
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;35;35,1;27,9;22,7;58,6;
2010-02-28;20,5;35,3;28;23;62,8;
2010-03-31;134,2;34,5;27,9;23,1;65,7;
2010-04-30;152,3;31,8;26,3;22,4;77,1;
2010-05-31;59,1;31,8;25,8;21,4;70,1;
2010-06-30;80,6;28,6;23,9;20,3;76,5;
2010-07-31;140,5;28,1;22,9;19,3;80,9;
2010-08-31;40,2;28,2;22,3;17,7;75,5;
2010-09-30;34,7;29,8;23,4;18,4;73,3;
2010-10-31;59,4;33,7;26,2;20,9;65;
2010-11-30;4,1;34,7;26,9;21,1;55,4;
2010-12-31;31,3;35,3;27,5;21,6;57,8;
2011-01-31;38,7;34,6;27,2;21,6;60,7;
2011-02-28;14,8;34,4;27,4;22;62,4;
2011-03-31;26,9;35,5;28,2;22,9;62,5;
2011-04-30;127,2;32,5;26,4;21,5;69,6;
2011-05-31;35;30,1;24,8;20,4;74,4;
2011-06-30;42;29,4;23,4;18,6;76,3;
2011-07-31;47,8;28,9;22,6;17,2;74,5;
2011-08-31;20,2;30,5;23,5;17,6;66,6;
2011-09-30;6,5;30,9;23,7;17,4;63,1;
2011-10-31;65,1;32,7;25,8;20,6;65,1;
2011-11-30;86,6;31,6;25,4;20,6;66,5;
2011-12-31;1,6;34,5;26,9;20,8;55,4;
2012-01-31;8,3;34,7;27,1;21,4;55,5;
2012-02-29;63,9;33,5;26,4;20,9;63,3;
2012-03-31;13,7;34,7;26,8;20,3;59,2;
2012-04-30;1,5;34,4;26,7;20,3;57,7;
2012-05-31;22;31,9;25,4;20,4;67,1;
2012-06-30;18,6;30,4;24,3;19,2;69,3;
2012-07-31;45,7;28,8;23,1;18,2;74,8;
2012-08-31;56,1;29;22,8;17,5;71,4;
2012-09-30;33,1;31;24,3;18,5;65,4;
2012-10-31;13,3;32,4;25,2;19,7;63,2;
2012-11-30;27,9;34,8;27,1;21,8;62,6;
2012-12-31;1,2;35,4;27,5;21,6;58,6;
2013-01-31;21,3;35,3;27,8;22,4;56,6;
2013-02-28;3,1;35,9;28;21,9;53,2;
2013-03-31;14,7;36,1;28,3;22,4;55,4;
2013-04-30;63;33,6;27,4;22,4;64,4;
2013-05-31;65,7;30,3;25,1;21,2;77,2;
2013-06-30;46,1;29,6;24,1;19,5;78,9;
2013-07-31;91,4;28,3;22,8;17,8;81,3;
2013-08-31;67,3;28,5;22,7;17,8;77,3;
2013-09-30;40,1;30,5;23,7;18;70,4;
2013-10-31;49,3;31,9;25;18,8;67,4;
2013-11-30;19,1;33;26;20;64,3;
2013-12-31;138,7;34;26,7;21,1;64,7;
2014-01-31;6,3;34,6;26,7;19,7;60,2;
2014-02-28;31,6;33,4;26,6;20,4;67,5;
2014-03-31;49,1;33,8;26,7;20,6;66,8;
2014-04-30;64,1;33,7;26,8;21;67,2;
2014-05-31;82,6;30,7;24,8;19,4;71,7;
2014-06-30;65,9;29,3;23,5;18;78,1;
2014-07-31;95,9;28,4;22,7;17,9;80,4;
2014-08-31;49,8;29,5;22,7;16,5;72,8;
2014-09-30;28,5;31,7;24,5;18,4;63,8;
2014-10-31;38,1;32,2;25;19;63,9;
2014-11-30;112,4;33;26,1;20,6;65,6;
2014-12-31;41,2;33;26,2;20,5;63,9;
2015-01-31;17,7;35,2;27,1;20,6;58,3;
2015-02-28;98,7;34,5;27,2;21,8;63,4;
2015-03-31;8,6;35,2;27,5;21,4;58,7;
2015-04-30;32,9;34,7;27,4;21,8;66,7;
2015-05-31;112,1;31,3;25,7;21;73,1;
2015-06-30;89,9;28,6;23,5;19,3;79,1;
2015-07-31;72,2;28,9;23;18,1;74,9;
2015-08-31;78;28,9;22,5;16,8;76,1;
2015-09-30;12,4;32,9;25,1;18,4;66,7;
2015-10-31;27,7;33,5;26;19,8;63,9;
2015-11-30;3,6;37;27,8;20,9;59,4;
2015-12-31;34,6;35,6;27,6;21,1;61;
2016-01-31;154,3;33,6;27,2;22;68,7;
2016-02-29;22,7;34,6;27,1;20,9;65,5;
2016-03-31;10,9;35,5;27,8;21;60,7;
2016-04-30;22,1;34,5;27;20,4;64,1;
2016-05-31;110,4;31,6;25,3;19,5;72,1;
2016-06-30;51,3;30;23,9;18,3;77,1;
2016-07-31;34;29,3;22,9;16,8;82,6;
2016-08-31;28,3;30,7;23,4;16,4;79;
2016-09-30;18,2;32;24,6;18,1;73,5;
2016-10-31;21,4;34,4;26,4;20;65,9;
2016-11-30;17,5;35,3;27,3;20,8;64,3;
2016-12-31;27,7;35,7;27,5;21,3;63,3;
2017-01-31;0;36;27,6;20,6;62,3;
2017-02-28;16,6;35,5;27,7;20,8;60,4;
2017-03-31;28,7;35;27,6;20,9;64;
2017-04-30;49,2;32,9;26,5;20,6;68,4;
2017-05-31;48,6;31,5;25,4;19,6;73,9;
2017-06-30;81,3;29,7;23,9;18,5;81,9;
2017-07-31;96,2;27,1;22;16,9;85,2;
2017-08-31;25,5;29,7;23,4;17,4;79,5;
2017-09-30;145;28,4;22,8;17,6;83,1;
2017-10-31;31,6;31,7;24,7;18,7;75,4;
2017-11-30;16,8;34,3;26,8;19,9;67,1;
2017-12-31;41,2;35,1;27,1;20,9;66,5;
2018-01-31;25;35,3;27,3;20,5;64,5;
2018-02-28;14,4;35,3;27,9;21,8;62,6;
2018-03-31;101,8;34,5;27,6;21,1;64,3;
2018-04-30;42,2;32,6;26;19,6;70,8;
