Nome: ITABAIANINHA
Codigo Estacao: 83195
Latitude: -11.27222221
Longitude: -37.79499999
Altitude: 205.59
Situacao: Temporariamente Fechada
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;16;32,4;26,7;23;74,1;
2010-02-28;139,3;31,1;26,3;23,1;79,7;
2010-03-31;107;32,1;26,8;23,4;80,4;
2010-04-30;190,8;29,7;25,5;22,7;86,7;
2010-05-31;143,6;29,6;25,1;21,9;85,7;
2010-06-30;232,3;26,8;23;20,6;90;
2010-07-31;260,4;26,4;22,5;19,8;90;
2010-08-31;109,7;26,6;22;18,8;84,8;
2010-09-30;77,5;27,3;22,7;19,4;82;
2010-10-31;47,8;30,6;25,1;21,5;77,9;
2010-11-30;2,4;31,5;25,5;21,9;78,7;
2010-12-31;5,7;32,5;26,4;22,5;77,5;
2011-01-31;77,7;31,3;26;22,3;80,7;
2011-02-28;82,5;30,8;25,9;22,4;81,3;
2011-03-31;106,7;32,4;26,6;22,9;82,5;
2011-04-30;221,6;29,9;25,2;22;86,7;
2011-05-31;166,1;28;23,9;20,8;88,7;
2011-06-30;81,2;27,8;23;19,6;88;
2011-07-31;107,5;26,4;22;18,6;86,9;
2011-08-31;83,1;27,4;22,5;18,9;85,1;
2011-09-30;29,4;27,4;22,5;18,8;82,4;
2011-10-31;123,1;29,7;24,5;21;81,6;
2011-11-30;86,1;29,2;24,4;21,2;83,6;
2011-12-31;15,3;31,7;25,7;21,9;79,5;
2012-01-31;33,7;31,4;25,7;21,9;78,1;
2012-02-29;122;30,7;25,5;21,8;76,9;
2012-03-31;42,1;31,2;25,6;21,4;74,6;
2012-04-30;12,9;31;25,4;21,1;74,5;
2012-05-31;116,6;29,1;24,4;20,9;80,3;
2012-06-30;70,2;27,6;23,2;19,9;84,9;
2012-07-31;108,9;26,7;22,4;18,9;82,2;
2012-08-31;125,6;26,7;21,9;18;81,1;
2012-09-30;61,8;27,9;23;19,1;78,4;
2012-10-31;45;28,6;23,6;19,9;79,9;
2012-11-30;4,8;32;25,7;21,8;74,3;
2012-12-31;8,7;32,1;26;21,8;72,6;
2013-01-31;73,2;32,4;26,4;22,5;74,5;
2013-02-28;20,9;32,2;26,5;22,7;73,2;
2013-03-31;11,6;33,1;27,1;23,2;72,7;
2013-04-30;144,2;31;25,9;22,5;78,9;
2013-05-31;244;28,4;24,3;21,4;87,2;
2013-06-30;163,2;27,9;23,6;20,4;86,7;
2013-07-31;292,7;26,6;22,6;19,6;86,9;
2013-08-31;134,5;26,7;22,5;19,4;84;
2013-09-30;56,2;28,1;23,4;20,1;78,9;
2013-10-31;206,4;28,8;24,1;20,9;80,1;
2013-11-30;74,9;29,4;24,7;21,5;77,3;
2013-12-31;124,5;31;25,6;22,4;77,4;
2014-01-31;22;31,2;25,7;21,8;72,4;
2014-02-28;86,1;30,4;25,6;22,1;77,7;
2014-03-31;73,3;30,5;25,8;22,5;79,3;
2014-04-30;176,1;30,7;25,8;22,5;80,5;
2014-05-31;102,4;28,7;24,3;21,3;83,9;
2014-06-30;155,2;27,2;23,1;20,2;85;
2014-07-31;211,4;26,6;22,5;19,7;85,9;
2014-08-31;103,7;27;22,5;19;81,4;
2014-09-30;38,9;28,1;23,2;19,8;79,8;
2014-10-31;76,3;29;24;20,6;78,4;
2014-11-30;84,2;30;24,8;21,5;79,4;
2014-12-31;27,8;30,7;25,4;21,8;76,8;
2015-01-31;10,1;31,8;26;22,2;71,4;
2015-02-28;63,5;31,8;26,3;22,7;77,2;
2015-03-31;29;31,9;26,2;22,5;75,7;
2015-04-30;95,7;31,5;26,3;22,8;79,1;
2015-05-31;324,1;29,2;24,8;21,8;83,8;
2015-06-30;142,3;27,3;24;21,3;85;
2015-07-31;91,7;26,6;24;22;79,7;
2015-08-31;108,1;26,6;23,1;20,3;80,4;
2015-09-30;28;29,2;24;20,3;77;
2015-10-31;39,4;30,2;24,8;21,2;75,1;
2015-11-30;6,6;32,8;26,3;22,3;70,8;
2015-12-31;26,3;32,2;26,3;22,5;72,2;
2016-01-31;189,8;31,2;26,3;23,2;80,6;
2016-02-29;74,6;31,4;26,2;22,7;75,6;
2016-03-31;28,1;32,2;26,8;22,8;73,6;
2016-04-30;37,5;31,5;26,3;22,4;73;
2016-05-31;212,8;29,2;24,7;21,4;80,9;
2016-06-30;128,2;28,1;23,5;20,3;83,2;
2016-07-31;59;27,5;23;19,4;81;
2016-08-31;44;28,1;23;19,3;78,7;
2016-09-30;55,3;28,8;23,7;20,1;78;
2016-10-31;13,3;30,7;25,1;21,5;74,6;
2016-11-30;10,3;31,8;26;22,2;71,1;
2016-12-31;40,6;32,3;26,4;22,6;71,2;
2017-01-31;0;32,2;26,4;22,2;67,3;
2017-02-28;26,9;32,1;26,5;22,4;69,2;
2017-03-31;107,4;32;26,5;22,5;73;
2017-04-30;205;29,8;25,4;22,2;83,4;
2017-05-31;140,6;28,6;24,4;21,3;83,2;
2017-06-30;163,5;27,1;23,2;20,2;84,9;
2017-07-31;162,4;25,6;21,6;18,4;84;
2017-08-31;63,3;26,6;22,1;18,8;83,3;
2017-09-30;327,5;26,4;22,2;19,4;83,2;
2017-10-31;74,6;28,5;23,8;20,2;79,1;
2017-11-30;23,9;31;25,2;21,5;75,1;
2017-12-31;88,9;31,7;25,8;22,2;76,6;
2018-01-31;26,2;31,8;26;22,1;73,4;
2018-02-28;39,5;32;26,4;22,4;73,2;
2018-03-31;123,8;32,1;26,3;22,5;76,3;
2018-04-30;143,9;30;25,2;21,4;77,3;
2018-05-31;156,5;28,6;24,1;20,7;81,8;
2018-06-30;165,1;27,5;23,2;20;82,2;
2018-07-31;65,8;26,9;22,4;18,8;79,6;
