Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-03-14
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;492,5;31,1;24,9;21,7;88,3;
2010-02-28;315,7;32,6;26;22,3;85,1;
2010-03-31;308;32,7;26,1;22,4;85,9;
2010-04-30;133,8;33,4;26,3;21,6;79,6;
2010-05-31;7,4;34,2;26,1;20,6;75,1;
2010-06-30;6,9;34,9;24,9;17,7;65,2;
2010-07-31;0;35,2;24,9;17,1;58,9;
2010-08-31;0;35,9;24,7;15,9;52,1;
2010-09-30;72,2;37,3;27,7;20,6;58,7;
2010-10-31;165,2;34,2;26,8;22,4;75,5;
2010-11-30;270,5;32,5;25,9;22,4;83,2;
2010-12-31;497,1;31,2;25,3;22;85,6;
2011-01-31;346,8;30,7;24,9;21,8;86,5;
2011-02-28;363,4;30,5;24,8;21,8;88;
2011-03-31;242,5;31,3;25,1;22;88;
2011-04-30;106,2;32,2;25,3;21,4;84,4;
2011-05-31;27,2;32,8;25,4;20,6;76,6;
2011-06-30;,8;34,1;24,8;18;65,4;
2011-07-31;0;35,2;24,9;16,8;55,9;
2011-08-31;0;37,2;27;18,7;51,3;
2011-09-30;69,1;37,4;27,6;20,2;54,9;
2011-10-31;258,5;33;26;21,8;80,3;
2011-11-30;302,6;31,6;25,4;21,7;86;
2011-12-31;340,1;31,3;25,2;21,7;87;
2012-01-31;587,5;30;24,3;21,2;90,4;
2012-02-29;388,7;31,3;24,7;20,9;85,7;
2012-03-31;257,7;31,8;25,1;21,3;85,4;
2012-04-30;106,2;32,6;25,9;21,9;84;
2012-05-31;40,8;32,3;25,4;20,4;78,4;
2012-06-30;5,1;33,2;25,1;19,3;72,5;
2012-07-31;0;34,3;24,6;16,8;59,8;
2012-08-31;0;35,8;25,4;16,5;47,7;
2012-09-30;84,4;36;26,8;20,3;63;
2012-10-31;236,2;33,4;25,8;21,4;79,6;
2012-11-30;351,4;31,3;25,3;22;85,3;
2012-12-31;223,8;32;25,5;21,5;85,1;
2013-01-31;430;30,3;25;21,8;90;
2013-02-28;292,7;31,1;24,9;21,3;87,1;
2013-03-31;471,7;31,9;25,6;21,7;86,6;
2013-04-30;305,1;31,4;25,5;21,8;86,9;
2013-05-31;21,6;32,9;25,8;20,8;79,2;
2013-06-30;0;33,7;25,7;19,8;71,3;
2013-07-31;0;34,3;25,2;17,8;60,6;
2013-08-31;0;35,8;26,2;18;49,7;
2013-09-30;99;34,5;26,4;20,7;70;
2013-10-31;200,9;33,2;25,9;21,3;79,7;
2013-11-30;453,6;31,4;25,1;21,1;86,1;
