Nome: FEIRA DE SANTANA
Codigo Estacao: 83221
Latitude: -12.1961111
Longitude: -38.96722221
Altitude: 229.52
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-12-17
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;66,6;33,4;26,8;21,8;73,3;
2010-02-28;16,2;34,1;27,4;22,7;69,5;
2010-03-31;86,9;33,5;27,5;23,2;73,4;
2010-04-30;169,5;29,9;25,4;22,2;83,2;
2010-05-31;49,7;29,6;24,8;20,7;80,7;
2010-06-30;82,3;26,9;22,9;19,9;83,7;
2010-07-31;173,3;25,9;21,9;18,8;88,5;
2010-08-31;34,4;26,3;21,3;17,3;85,3;
2010-09-30;45,7;27,1;22,4;18,6;83;
2010-10-31;40,1;31,8;25,2;20,3;89,5;
2010-11-30;4,6;33,4;26;21;91,6;
2010-12-31;81,5;33,5;26,5;21,5;79,6;
2011-01-31;77,4;32,5;25,8;21;82;
2011-02-28;15,1;34;26,6;20,6;78,2;
2011-03-31;50;33,9;26,9;21,8;78,4;
2011-04-30;117,3;30,9;25,2;20,9;83,1;
2011-05-31;35,1;28,1;23,3;20;92,7;
2011-06-30;65;27,1;22;18,1;93,8;
2011-07-31;21,5;27,8;21,9;17,7;92,1;
2011-08-31;25,4;28,7;22,6;18,4;88,9;
2011-09-30;24,5;29,1;22,9;18,5;84,3;
2011-10-31;96,6;30,7;24,2;18,8;85,9;
2011-11-30;107,9;29,5;24;18,9;85,1;
2011-12-31;51,8;31,5;25,3;19,2;86,1;
2012-01-31;5,9;33,2;26,6;21,3;79;
2012-02-29;29,4;33,2;26,3;20,8;82,6;
2012-03-31;3,3;34,3;26,5;20,4;81,9;
2012-04-30;13,1;32,3;25,6;19;79;
2012-05-31;60,1;29,8;24,4;20,4;79;
2012-06-30;62,3;28,6;23,1;19,1;81,5;
2012-07-31;27,6;27,7;22,2;18,2;81,1;
2012-08-31;56,3;27,2;21,8;17,4;79,4;
2012-09-30;20,1;29,8;23,3;18;69,1;
2012-10-31;15;31;24,3;19,5;69;
2012-11-30;77;32,1;26,1;22,2;69,1;
2012-12-31;1,8;33,9;26,5;20,7;62,5;
2013-01-31;123,2;33,8;26,7;20,9;67;
2013-02-28;5,7;33,5;26,5;20,7;68;
2013-03-31;1;34,2;27,3;21,3;67,1;
2013-04-30;76;31,2;25,6;20,7;77,4;
2013-05-31;39,5;28,5;24;20;84,7;
2013-06-30;112,3;27,1;23,1;19,2;86,8;
2013-07-31;74,2;26,4;22,1;18,1;87;
2013-08-31;54;27,1;22,1;17,5;83,6;
2013-09-30;34,6;28,8;23,1;17,9;82,6;
2013-10-31;72;30,3;24,1;19;77,1;
2013-11-30;38,8;32;25,3;19,6;74,6;
2013-12-31;66,2;32,6;26,2;21,2;72,7;
2014-01-31;19,4;33,2;26,2;19,5;70,1;
2014-02-28;41,6;31,6;25,7;20,3;76,7;
2014-03-31;23,2;32,1;26;20,6;75;
2014-04-30;19,6;32,8;26,4;20,7;70,9;
2014-05-31;98,9;29,2;24,3;19,6;81,4;
2014-06-30;69,8;27,3;22,6;17,6;81,1;
2014-07-31;122,3;26,7;22;17,3;84,2;
2014-08-31;57,1;27,2;21,5;16;81,1;
2014-09-30;26,4;29,4;23,1;18,1;76,4;
2014-10-31;54,2;30;23,8;19,2;75,1;
2014-11-30;27,6;31,4;25,2;20,4;75,2;
2014-12-31;109,4;31,6;25,5;20,8;82,2;
2015-01-31;13;33,1;26,2;20,4;77,4;
2015-02-28;97,5;33;26,4;21,1;76,8;
2015-03-31;25,4;33,3;26,4;20,8;76,9;
2015-04-30;112,2;31,5;26;21,5;82,3;
2015-05-31;161;27,9;23,7;20,4;86,7;
2015-06-30;99,1;26,6;22,8;19,5;90,4;
2015-07-31;83,5;26,6;22,1;18,1;88,8;
2015-08-31;25,7;27;21,7;16,8;86,5;
2015-09-30;22;29,8;23,5;18,2;76,1;
2015-10-31;11,2;31,5;24,5;19,3;77,7;
2015-11-30;4,1;34,7;26,8;21,3;66,2;
2015-12-31;1,8;34,9;27;21,4;67,5;
2016-01-31;235,4;31,8;26,3;22,4;85,2;
2016-02-29;5,6;32,2;26,6;21,6;74,6;
2016-03-31;10,2;33,7;27,3;22;70,8;
2016-04-30;23,4;32,6;25,9;20,6;73,5;
2016-05-31;61,4;29,4;24,4;20,4;82,6;
2016-06-30;55,8;28,1;23,3;20,1;84,6;
2016-07-31;44,9;27,8;22,6;18;80,8;
2016-08-31;29,8;29,1;23,1;18,1;75,9;
2016-09-30;33,5;29,6;23,8;19,4;77,4;
2016-10-31;14,3;32,8;25,9;21,1;70,4;
2016-11-30;null;null;null;null;null;
2016-12-31;7,6;32,9;27,2;21,9;69,7;
2017-01-31;2,6;33,9;26,7;21;68,1;
2017-02-28;0;33,3;26,7;21,6;69,4;
2017-03-31;30,3;33,2;26,9;21,4;71,3;
2017-04-30;51,6;30,6;25,4;21,5;80,1;
2017-05-31;40,8;30,1;24,5;20,3;86;
2017-06-30;null;27,4;23;19,4;84;
2017-07-31;84,3;25,5;21,2;17,5;87;
2017-08-31;13,3;27,7;22,4;18;81,1;
2017-09-30;70,3;27,6;22,6;18,7;81,4;
2017-10-31;5,6;31,1;24,4;19,5;75;
2017-11-30;34,8;32,4;25,6;20,7;68,7;
2017-12-31;14,4;32,5;26,6;22;67,4;
2018-01-31;46,3;32,1;26,3;21,7;74,1;
2018-02-28;9,1;32,1;26,4;20,5;69,7;
2018-03-31;73,8;32,7;26,4;19,8;71,6;
2018-04-30;154,3;30,9;26;19,1;76,2;
2018-05-31;79,3;29,3;23,8;17,4;85,4;
2018-06-30;101,1;27,3;22,3;16,3;84,1;
2018-07-31;8,7;27,6;21,9;15,3;83,6;
2018-08-31;35,2;29,3;23,1;16,2;81,9;
2018-09-30;2,6;29,7;24,8;19,4;77,8;
2018-10-31;34;29,6;25,2;20,5;74,8;
2018-11-30;25,3;29,9;25,4;20,1;76,2;
2018-12-31;null;28;null;19,8;79,6;

